drug,Adipogenesis,Allograft Rejection,Androgen Response,Angiogenesis,Apical Junction,Apical Surface,Apoptosis,Bile Acid Metabolism,Cholesterol Homeostasis,Coagulation,Complement,DNA Repair,E2F Targets,Epithelial Mesenchymal Transition,Estrogen Response Early,Estrogen Response Late,Fatty Acid Metabolism,G2/M Checkpoint,Glycolysis,Hedgehog Signaling,Heme Metabolism,Hypoxia,IL-2 STAT5 Signaling,IL-6 JAK STAT3 Signaling,Inflammatory Response,Interferon Alpha Response,Interferon Gamma Response,KRAS Signaling Dn,KRAS Signaling Up,Mitotic Spindle,mTORc1 Signaling,MYC Targets V1,MYC Targets V2,Myogenesis,Notch Signaling,Oxidative Phosphorylation,p53 Pathway,Pancreas Beta Cells,Peroxisome,PI3K AKT mTOR Signaling,Protein Secretion,Reactive Oxygen Species Pathway,Spermatogenesis,TGF Beta Signaling,TNFa Signaling Via NFkB,Unfolded Protein Response,UV Response Dn,UV Response Up,WNT Beta Catenin Signaling,Xenobiotic Metabolism
A-443654,-0.153417,-0.067469,-0.173209,-0.100278,-0.072158,-0.102879,-0.152977,-0.123514,-0.297556,0.082982,-0.077599,-0.197652,-0.233052,-0.125833,-0.144581,-0.123436,-0.168041,-0.236992,-0.173547,0.107290,-0.105955,-0.153997,-0.126729,-0.113651,-0.059074,-0.144213,-0.117201,0.211152,-0.067657,-0.131357,-0.276500,-0.340353,-0.315236,0.066702,-0.126622,-0.238207,-0.161290,0.212492,-0.157827,-0.167225,-0.249652,-0.297453,0.077959,-0.183273,-0.150103,-0.194233,-0.142606,-0.126188,-0.069587,-0.055191
AG-490,-0.010960,-0.054911,-0.073567,0.007440,-0.006373,0.087756,0.054643,-0.071691,0.103334,-0.094865,-0.050304,-0.114606,-0.128860,0.068820,0.001470,0.055516,-0.078547,-0.116679,-0.049552,0.064289,-0.026591,0.091297,0.078721,0.061555,0.077423,-0.073664,0.045236,0.078475,0.070932,-0.090245,-0.086236,-0.254016,-0.210309,0.085459,0.098185,-0.142477,0.057035,0.078042,-0.090652,-0.094146,-0.103663,-0.115347,-0.000763,-0.006196,0.113119,0.002090,0.079081,-0.068310,0.116289,0.049904
AM-404,-0.001421,-0.081034,0.103948,0.094703,0.005934,0.100689,0.075370,-0.075381,-0.096709,-0.074951,0.047565,-0.000445,-0.054257,0.098977,0.088644,0.101428,0.073366,0.028710,0.088971,-0.019941,0.062138,0.087472,0.056114,-0.096149,-0.047873,-0.109541,-0.056777,-0.088934,0.058390,0.097198,0.109127,0.046357,-0.023089,-0.069982,-0.027817,-0.163324,0.086600,-0.091061,0.005033,0.076552,0.014645,0.190785,0.073083,0.001529,0.123292,0.030975,0.057116,0.059528,0.001165,0.005878
AMG-9810,-0.026479,-0.077727,-0.043400,-0.039175,0.088908,0.021696,0.006070,0.077211,0.000543,-0.003812,-0.010066,-0.120818,-0.140636,-0.019887,-0.021973,0.006880,-0.019723,-0.122620,0.051546,0.129096,0.020883,0.211866,0.061273,-0.139931,0.027631,-0.014579,-0.020786,0.081741,0.100385,-0.025719,-0.083328,-0.245205,-0.166999,0.033622,-0.213382,-0.157515,0.043011,0.015445,0.020199,-0.038068,-0.048286,0.016385,0.024735,0.002652,0.108403,-0.091776,-0.012136,-0.016931,0.130990,-0.017190
AT-CSC-07,-0.117878,0.042689,-0.113630,-0.100985,-0.063273,-0.132828,-0.042623,-0.102581,-0.185104,0.006935,0.012658,-0.175614,-0.174640,-0.058129,-0.141312,-0.168731,-0.134769,-0.133429,-0.108341,0.124013,-0.065808,-0.092306,-0.033535,-0.057500,0.062247,-0.116649,-0.073595,0.054488,0.045758,-0.100249,-0.168776,-0.230617,-0.111624,0.064124,-0.016142,-0.154295,-0.076414,-0.021820,-0.153044,-0.126657,-0.108935,-0.221569,-0.078944,0.101233,-0.095539,-0.042732,-0.079281,-0.102764,-0.071218,-0.063092
AT-CSC-18,-0.130641,-0.004989,-0.100946,-0.123139,-0.052037,-0.012578,0.012338,-0.062221,-0.109474,-0.092432,-0.066379,-0.007295,-0.125027,-0.056573,0.089505,-0.069791,-0.088690,-0.094486,-0.079429,0.119538,-0.005208,-0.052483,0.065202,-0.015092,-0.003322,-0.005488,-0.007126,0.029078,-0.052235,-0.031380,-0.141573,-0.143445,0.019234,-0.092730,-0.128326,-0.142831,-0.000336,-0.126201,-0.077561,-0.006478,0.113501,0.010505,-0.090571,-0.075360,0.067264,0.128972,-0.045958,-0.092584,0.092063,-0.043242
AZD-1480,0.125929,0.063188,0.106759,-0.103739,-0.058513,0.090010,0.085234,-0.051942,0.097291,0.088254,-0.039922,0.066921,0.146946,0.090565,0.071794,0.056019,0.079140,0.136475,0.057447,-0.132526,-0.064806,0.046699,-0.056230,-0.083200,-0.049563,-0.060307,-0.039738,-0.143552,0.042435,0.093638,0.114059,0.136864,0.123785,0.055410,0.102925,0.139404,0.082745,-0.071609,0.110684,0.085105,0.122034,0.187946,0.032845,0.128126,0.028840,0.088877,0.117431,0.061698,-0.072437,0.066662
AZD-7545,0.091984,0.047687,0.085386,-0.001825,0.072258,0.111652,0.089888,0.017482,-0.105375,0.029121,0.004872,-0.093439,-0.047592,0.101615,0.083645,0.078691,-0.074712,-0.113218,0.089087,-0.090571,-0.053132,0.103956,-0.000697,0.110848,0.071570,0.175715,0.115380,0.010976,0.097389,-0.053600,0.077819,-0.082125,0.080549,0.004083,0.100120,-0.004343,0.126951,-0.118097,0.092242,0.002568,-0.109628,0.078480,-0.145442,0.012351,0.089709,-0.091155,0.080559,-0.068193,-0.074345,0.004603
AZD-7762,-0.107413,0.042558,-0.104853,-0.133049,-0.044117,-0.092458,-0.067360,-0.045485,-0.105830,0.089796,-0.047498,-0.125934,-0.261397,-0.128369,-0.074452,-0.075957,-0.088813,-0.222972,-0.085945,-0.121954,0.095275,-0.058916,-0.083657,0.071300,0.046580,-0.069324,0.051042,0.099932,0.037129,-0.073527,-0.113126,-0.199103,-0.416965,0.083466,-0.146287,-0.195216,0.086281,0.131408,-0.070703,-0.081843,-0.068478,-0.156311,0.094694,-0.134665,-0.070272,-0.087451,-0.099391,-0.089384,-0.093342,0.058486
BH3I-1,-0.100226,-0.061391,-0.003390,-0.140962,-0.059076,-0.112019,-0.083807,-0.092115,-0.133577,-0.123662,-0.114364,0.090386,0.131331,-0.108924,-0.084963,-0.084637,-0.086458,0.083784,-0.004472,-0.103766,-0.100745,-0.064504,-0.073365,-0.098804,-0.062772,-0.089849,-0.064846,-0.096390,-0.050842,0.079550,0.006445,0.140951,0.094671,-0.105063,-0.130516,-0.031256,-0.054517,-0.137987,-0.057595,0.012451,-0.005108,-0.138830,0.086852,-0.002056,-0.062973,0.059127,-0.090459,0.001132,-0.116285,-0.013171
BI-2536,-0.104374,-0.067971,0.092971,0.004533,0.059356,-0.081059,0.019061,-0.074334,0.262965,-0.008436,0.046339,-0.152547,-0.195021,-0.067384,0.087592,0.085972,-0.042546,-0.145756,0.068169,-0.012672,0.043752,0.055838,0.004133,-0.014943,-0.056700,-0.213276,-0.100062,0.089584,0.042088,0.043496,0.109594,-0.215317,-0.284601,-0.058282,-0.130782,-0.142706,0.078414,0.013790,-0.062658,0.001170,0.105751,-0.137370,0.112265,0.093380,0.089234,0.088296,0.057365,-0.008478,0.085617,-0.061004
BIX-02188,-0.014621,-0.009511,-0.019694,-0.249396,-0.085891,-0.105468,0.128998,0.099742,-0.061948,0.038287,0.006995,-0.101015,-0.125160,-0.110213,-0.015130,-0.076108,-0.003078,-0.152072,-0.094588,-0.143702,0.096266,0.014119,0.019709,-0.003054,0.002572,0.058742,0.091790,-0.073986,0.028428,-0.109672,0.014601,-0.039248,-0.114271,-0.165591,-0.175344,-0.062127,0.076634,0.021828,0.002766,0.102794,0.134317,0.144752,-0.006029,0.150158,0.057008,0.030599,0.013292,-0.075951,-0.034655,0.092811
BMS-509744,-0.015772,0.117283,0.010942,0.009360,0.010473,0.060656,0.110207,0.122728,0.149773,0.040720,0.089359,-0.153811,-0.224051,-0.017740,0.000409,0.016741,0.056134,-0.184613,-0.020549,-0.168681,0.156555,0.076919,0.016116,0.114466,0.138317,0.156121,0.117901,0.029107,0.099923,-0.055756,-0.068743,-0.243648,-0.398639,0.031152,-0.039144,-0.038343,0.036268,-0.141012,0.124868,-0.098213,0.100875,-0.009044,-0.126922,0.120342,0.099899,-0.172568,0.047886,-0.088533,0.044164,0.122783
BW-B70C,-0.008956,0.061601,0.066189,0.118713,0.012506,0.176678,0.105578,0.072516,-0.160767,0.090323,0.093908,-0.162652,-0.247084,0.128622,0.058277,0.091827,-0.067809,-0.205294,0.028804,0.097826,0.091463,0.087019,0.089231,0.087013,0.068612,0.169949,0.118561,0.110455,0.074827,-0.077038,-0.129334,-0.306876,-0.351253,-0.004628,-0.003598,-0.119913,-0.009911,0.029023,0.085711,-0.014968,-0.014413,-0.102328,-0.115942,0.168010,0.082498,-0.144938,0.079987,-0.001717,-0.088728,0.086421
CD-1530,-0.096665,-0.080929,-0.158973,-0.165901,-0.076561,-0.088388,0.062353,0.054404,-0.118375,-0.097096,0.077669,-0.129391,-0.170797,0.085980,-0.053387,-0.077576,-0.112248,-0.232472,0.075194,-0.095951,0.083506,0.077553,-0.048489,-0.079104,0.039095,0.073214,0.044409,0.110085,0.089227,-0.118241,-0.107539,-0.146701,0.156650,-0.065363,-0.107734,-0.119940,0.085174,-0.160529,-0.125048,-0.102429,-0.138456,0.097502,0.065759,0.122379,0.135807,0.149711,-0.043942,-0.102574,-0.144449,0.098837
CG-930,0.096364,0.056997,0.086332,-0.135797,-0.063608,0.114441,0.055502,0.087340,0.032100,0.009409,-0.046798,0.097310,0.165374,-0.081960,0.053804,0.081840,0.104887,0.122300,0.104146,-0.174693,0.095265,-0.005161,-0.047536,-0.082765,-0.059418,0.119668,0.069258,-0.076705,-0.005966,0.115396,0.109437,0.041921,0.124068,-0.063974,0.092426,0.097634,0.089971,-0.127385,0.014910,0.084731,0.098052,0.110521,0.053132,0.005878,-0.071131,0.100420,-0.004202,0.004171,-0.131146,0.102912
CGP-12177,0.104573,-0.064168,0.136424,0.117447,0.004019,0.127987,0.062509,0.076578,0.000295,0.037395,-0.054043,0.023903,0.168200,0.070679,0.090808,0.122343,0.088316,0.149475,0.009445,-0.019558,-0.014406,0.016636,0.006198,-0.061437,0.053058,-0.070138,-0.047509,-0.106362,0.057348,0.072260,0.082701,0.086713,0.145381,0.046345,-0.013303,0.041391,0.019397,-0.128804,0.104099,0.078442,-0.060040,-0.099570,0.000469,0.086673,0.081375,0.077254,0.058378,0.075663,-0.013275,-0.046169
CGS-21680,-0.086896,0.007341,-0.122663,-0.150993,-0.012027,-0.147037,-0.115906,0.092356,-0.139022,-0.008882,-0.056876,-0.072617,-0.141767,-0.035742,-0.034901,-0.016141,-0.121544,-0.029441,-0.137953,-0.022762,0.093800,-0.138502,-0.043916,-0.044499,-0.092235,-0.181343,-0.140457,0.013720,-0.058043,-0.022904,-0.146939,-0.193638,-0.145270,-0.069703,-0.000695,-0.235719,-0.096250,0.082771,0.004944,-0.104507,-0.152707,-0.214228,0.110274,-0.024266,-0.138808,-0.095001,-0.036126,-0.111005,-0.006930,0.000953
CNQX,0.071616,-0.079308,-0.071460,-0.128357,0.000399,-0.156025,-0.057615,-0.078179,0.009080,0.055889,-0.063622,0.021190,0.099794,0.066201,-0.083233,-0.071926,-0.076548,0.068724,0.005479,-0.082324,-0.090061,-0.074169,-0.077683,-0.081353,-0.061318,0.093774,0.004551,0.004374,-0.064152,0.014418,0.075140,0.150671,0.159951,-0.098393,-0.128204,0.155163,-0.078675,-0.101501,-0.083038,-0.007954,0.000458,-0.026809,0.012033,-0.080904,-0.056445,-0.015691,-0.067030,-0.058550,-0.114155,-0.051010
CO-102862,-0.058918,-0.035287,-0.094100,-0.115518,-0.064327,-0.131193,-0.085315,0.072860,-0.141245,-0.010707,-0.069297,-0.067021,-0.095998,-0.129951,0.002411,-0.055229,-0.059374,-0.106368,-0.103845,0.096893,-0.019324,-0.107843,-0.013764,-0.084074,0.006211,0.100672,-0.058770,0.097632,0.019633,-0.085640,-0.118847,-0.009868,-0.142690,-0.072831,-0.186590,0.096159,-0.096484,0.112338,-0.023073,-0.099205,-0.081912,-0.197437,0.082346,-0.114577,-0.108524,-0.020452,-0.066385,-0.112826,-0.132753,-0.059422
EPZ-5676,-0.041465,0.119761,0.106146,0.129624,-0.057023,-0.101128,0.052859,-0.096321,-0.086080,-0.058971,0.038027,-0.155804,-0.251412,0.058622,-0.048774,-0.075831,-0.160052,-0.120199,-0.071868,-0.087642,0.046101,-0.037083,0.074016,0.144066,0.117032,0.082690,0.106235,-0.118784,0.104557,-0.078867,0.135603,-0.084508,0.205264,-0.110147,0.172998,-0.105433,-0.032837,-0.160902,-0.112238,-0.088795,-0.083754,-0.148443,-0.047384,0.160629,0.129848,0.183849,0.095464,0.067160,-0.186014,0.047234
EX-527,0.057926,0.054858,0.066835,-0.019211,-0.071792,0.121965,0.063511,-0.003843,-0.077428,-0.076371,-0.071647,0.082229,0.007657,-0.007228,-0.056481,0.006178,0.060433,0.055342,-0.067936,-0.093261,-0.060298,-0.113756,0.010826,-0.076965,-0.069486,-0.119111,-0.069415,-0.094059,-0.063749,-0.005617,0.102912,0.158046,0.151634,-0.082886,-0.089964,-0.016642,0.040638,0.010788,-0.003034,-0.076225,-0.001461,-0.116523,-0.000882,-0.008180,-0.018578,0.116973,-0.003582,-0.011615,-0.104035,-0.067013
GBR-12783,-0.017803,0.068627,0.129350,-0.100336,0.002267,0.098671,0.048775,0.071974,0.137194,0.004259,0.062776,-0.083241,-0.073542,0.070254,0.070487,0.062338,-0.046859,-0.080782,0.052344,-0.114766,0.052071,0.058817,0.045151,-0.002426,-0.030722,0.021969,0.064029,-0.009051,0.047479,-0.046836,-0.000153,-0.068083,-0.077403,0.058946,-0.165442,-0.096999,-0.042728,-0.148297,0.049287,-0.052547,-0.007426,-0.075357,0.077137,0.085047,-0.002570,-0.071292,0.057144,-0.003506,-0.071023,0.068692
