hallmark,short_name,category,n_genes_input,n_genes_mapped,n_unmapped,score_mean,score_std
HALLMARK_ADIPOGENESIS,Adipogenesis,Metabolic,200,176,24,-0.018317,0.140590
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Immune,200,196,4,0.004585,0.095791
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Other,100,98,2,-0.012554,0.150959
HALLMARK_ANGIOGENESIS,Angiogenesis,Development,36,36,0,-0.034567,0.152071
HALLMARK_APICAL_JUNCTION,Apical Junction,Development,200,182,18,-0.005922,0.080605
HALLMARK_APICAL_SURFACE,Apical Surface,Development,44,34,10,-0.011479,0.146304
HALLMARK_APOPTOSIS,Apoptosis,Stress & DNA Damage,161,158,3,0.000689,0.107699
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Metabolic,112,101,11,-0.004641,0.107981
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,Metabolic,74,60,14,-0.022649,0.208304
HALLMARK_COAGULATION,Coagulation,Immune,138,134,4,-0.003152,0.113571
HALLMARK_COMPLEMENT,Complement,Immune,200,187,13,0.000248,0.088045
HALLMARK_DNA_REPAIR,DNA Repair,Stress & DNA Damage,150,139,11,-0.039584,0.156621
HALLMARK_E2F_TARGETS,E2F Targets,Proliferation,200,186,14,-0.064513,0.242434
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Development,200,196,4,-0.008325,0.121691
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Other,200,200,0,-0.002208,0.119915
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Other,200,200,0,-0.003974,0.115425
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Metabolic,158,143,15,-0.023343,0.138387
HALLMARK_G2_M_CHECKPOINT,G2/M Checkpoint,Proliferation,200,194,6,-0.052406,0.208855
HALLMARK_GLYCOLYSIS,Glycolysis,Metabolic,200,187,13,-0.019771,0.113191
HALLMARK_HEDGEHOG_SIGNALING,Hedgehog Signaling,Signaling,36,36,0,-0.023277,0.147184
HALLMARK_HEME_METABOLISM,Heme Metabolism,Metabolic,200,195,5,0.003136,0.115722
HALLMARK_HYPOXIA,Hypoxia,Stress & DNA Damage,200,193,7,-0.004692,0.110882
HALLMARK_IL_2_STAT5_SIGNALING,IL-2 STAT5 Signaling,Immune,199,177,22,-0.002550,0.091613
HALLMARK_IL_6_JAK_STAT3_SIGNALING,IL-6 JAK STAT3 Signaling,Immune,87,87,0,0.007935,0.123755
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,Immune,200,194,6,0.010862,0.100393
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,Immune,97,83,14,0.000075,0.173397
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Immune,200,179,21,0.006436,0.119162
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Signaling,200,192,8,0.015703,0.154083
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Signaling,200,195,5,0.012176,0.086699
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Proliferation,199,179,20,-0.025736,0.132078
HALLMARK_MTORC1_SIGNALING,mTORc1 Signaling,Signaling,200,196,4,-0.025356,0.182774
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Proliferation,200,195,5,-0.066887,0.264653
HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Proliferation,58,57,1,-0.066584,0.282865
HALLMARK_MYOGENESIS,Myogenesis,Development,200,194,6,0.007508,0.128094
HALLMARK_NOTCH_SIGNALING,Notch Signaling,Signaling,32,28,4,-0.029874,0.153736
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,Metabolic,200,199,1,-0.043772,0.207303
HALLMARK_P53_PATHWAY,p53 Pathway,Stress & DNA Damage,200,196,4,0.004902,0.118135
HALLMARK_PANCREAS_BETA_CELLS,Pancreas Beta Cells,Development,40,40,0,-0.012945,0.172331
HALLMARK_PEROXISOME,Peroxisome,Metabolic,104,98,6,-0.016351,0.118870
HALLMARK_PI3K_AKT_MTOR_SIGNALING,PI3K AKT mTOR Signaling,Signaling,105,102,3,-0.026532,0.120707
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Other,96,95,1,-0.018245,0.170854
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Metabolic,49,46,3,-0.034673,0.195102
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Development,135,123,12,-0.004368,0.122020
HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Signaling,54,52,2,-0.021926,0.156341
HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,TNFa Signaling Via NFkB,Immune,200,199,1,0.008541,0.151665
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Stress & DNA Damage,113,110,3,-0.016690,0.180895
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Stress & DNA Damage,144,143,1,-0.005894,0.114893
HALLMARK_UV_RESPONSE_UP,UV Response Up,Stress & DNA Damage,158,156,2,-0.018548,0.111740
HALLMARK_WNT_BETA_CATENIN_SIGNALING,WNT Beta Catenin Signaling,Signaling,42,39,3,-0.010547,0.138212
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Metabolic,200,189,11,0.000595,0.101150
