drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
carbidopa,-0.2827838063240051,-0.2827838063240051,-0.31880122423171997,-0.24676638841629028,0.036017417907714844,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0008,0.04088,0.9992,1.0
cefotiam,-0.2566220164299011,-0.2566220164299011,-0.28788861632347107,-0.22535541653633118,0.031266599893569946,2,2,1.0,,,0.0019,0.08090833333333333,0.9981,1.0
QL-XII-47,-0.22699248790740967,-0.21197434266408285,-0.2791907787322998,-0.11347782611846924,0.058283026009018045,6,6,1.0,,,0.0001,0.012775,1.0,1.0
benzatropine,-0.2185453474521637,-0.2185453474521637,-0.2185453474521637,-0.2185453474521637,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.0549,0.5671098039215686,0.9453,1.0
asiatic-acid,-0.21718484163284302,-0.21718484163284302,-0.21865597367286682,-0.2157137095928192,0.0014711320400238037,2,2,1.0,,,0.0102,0.23328260869565218,0.9898,1.0
emetine,-0.21554775536060333,-0.22207244783639907,-0.30858802795410156,-0.1413375437259674,0.06062005722411941,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0001,0.012775,1.0,1.0
vicriviroc,-0.20908428728580475,-0.14986947178840637,-0.22323167324066162,0.02594614028930664,0.09704089714451525,6,6,0.8333333333333334,CCK receptor antagonist,CCR5,0.0006,0.038325,0.9994,1.0
withaferin-a,-0.20536395907402039,-0.16648025314013162,-0.2641621232032776,0.09891748428344727,0.10765603646760794,9,9,0.8888888888888888,IKK inhibitor,NAMPT,0.0001,0.012775,0.9999,1.0
securinine,-0.20367899537086487,-0.20367899537086487,-0.20367899537086487,-0.20367899537086487,0.0,1,1,1.0,TP53 activator,GABRA1,0.0815,0.6673507462686566,0.9188,1.0
ouabain,-0.19986838102340698,-0.16408007379089082,-0.35301750898361206,0.18471623957157135,0.11977042111747638,14,14,0.9285714285714286,ATPase inhibitor,ATP1A1,0.0001,0.012775,1.0,1.0
ivermectin,-0.19769850373268127,-0.19769850373268127,-0.2388797104358673,-0.15651729702949524,0.041181206703186035,2,2,1.0,,,0.0228,0.4161,0.9772,1.0
puromycin,-0.1893472671508789,-0.1846773543141105,-0.31389737129211426,-0.057857945561409,0.07927224126875632,11,11,1.0,,,0.0003,0.0219,0.9997,1.0
nutlin-3,-0.18920713663101196,-0.15990899503231049,-0.2907055914402008,0.0738489031791687,0.10487304854732937,8,8,0.875,MDM inhibitor,MDM2,0.0003,0.0219,0.9997,1.0
cymarin,-0.18752947449684143,-0.18752947449684143,-0.18752947449684143,-0.18752947449684143,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.1078,0.7248131578947369,0.8926,1.0
bortezomib,-0.18687134981155396,-0.18204340090354285,-0.23199957609176636,-0.1085776537656784,0.03625889934146276,12,12,1.0,Proteasome inhibitor,PSMB1,0.0003,0.0219,0.9997,1.0
amikacin,-0.18431250751018524,-0.18431250751018524,-0.2304362654685974,-0.13818874955177307,0.04612375795841217,2,2,1.0,,,0.0396,0.5671098039215686,0.9604,1.0
digitoxin,-0.1803470253944397,-0.1803470253944397,-0.1803470253944397,-0.1803470253944397,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.1207,0.7807303797468355,0.8793,1.0
piperacillin,-0.17991012334823608,-0.17991012334823608,-0.27212631702423096,-0.08769392967224121,0.09221619367599487,2,2,1.0,,,0.0448,0.5671098039215686,0.9552,1.0
demeclocycline,-0.17774760723114014,-0.17774760723114014,-0.2434443235397339,-0.11205089092254639,0.06569671630859375,2,2,1.0,,,0.0472,0.5671098039215686,0.9528,1.0
staurosporine,-0.17676132917404175,-0.17463617399334908,-0.2141171395778656,-0.10628056526184082,0.03280664518023879,8,8,1.0,PKC inhibitor,CDK2,0.0021,0.08254615384615384,0.9979,1.0
alfaxalone,-0.17612531781196594,-0.17612531781196594,-0.17612531781196594,-0.17612531781196594,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.1315,0.7895230769230769,0.8688,1.0
tribenoside,-0.1759759783744812,-0.1759759783744812,-0.2686014175415039,-0.0833505392074585,0.0926254391670227,2,2,1.0,,,0.0494,0.5671098039215686,0.9506,1.0
pancuronium,-0.17331203818321228,-0.17331203818321228,-0.17331203818321228,-0.17331203818321228,0.0,1,1,1.0,,,0.1369,0.7895230769230769,0.8633,1.0
SB-205607,-0.17263731360435486,-0.1425519734621048,-0.1854684054851532,-0.05354772508144379,0.05183899094457801,8,8,1.0,Delta 1 opioid receptor agonist,OPRD1,0.0033,0.11241999999999999,0.9967,1.0
tunicamycin,-0.1716325730085373,-0.1716325730085373,-0.18967172503471375,-0.15359342098236084,0.018039152026176453,2,2,1.0,GLCNAC phosphotransferase inhibitor,GNPTAB,0.0566,0.5671098039215686,0.9434,1.0
NSC-632839,-0.17004527151584625,-0.16413896282513937,-0.23379892110824585,-0.10396511852741241,0.04160545936033113,9,9,1.0,Ubiquitin specific protease inhibitor,SENP2,0.0047,0.15010625,0.9953,1.0
vinblastine,-0.166682630777359,-0.15308632873571837,-0.24343329668045044,0.10451817512512207,0.08304451199372151,13,13,0.9230769230769231,Tubulin inhibitor,TUBB,0.0008,0.04088,0.9992,1.0
thapsigargin,-0.16388782858848572,-0.138933132092158,-0.20579171180725098,0.06588846445083618,0.07675806607597035,9,9,0.8888888888888888,ATPase inhibitor,ATP2A1,0.007,0.181405,0.9931,1.0
nicardipine,-0.16309139132499695,-0.13164538145065308,-0.1646990180015564,-0.06714573502540588,0.04561285935361667,3,3,1.0,Calcium channel blocker,CACNA1C,0.0697,0.6248543859649123,0.9304,1.0
sulbactam,-0.1617603600025177,-0.1617603600025177,-0.1617603600025177,-0.1617603600025177,0.0,1,1,1.0,,,0.167,0.8339718446601943,0.8332,1.0
JW-7-24-1,-0.1603371500968933,-0.16125229597091675,-0.19089215993881226,-0.11932557821273804,0.02523037487759374,5,5,1.0,,,0.039,0.5671098039215686,0.9614,1.0
sulmazole,-0.15871483087539673,-0.15378665328025817,-0.23923736810684204,-0.0679827332496643,0.05451818355007874,5,5,1.0,,,0.0421,0.5671098039215686,0.958,1.0
cyproterone,-0.15612279623746872,-0.15612279623746872,-0.1772388219833374,-0.13500677049160004,0.021116025745868683,2,2,1.0,Androgen receptor antagonist,AR,0.0855,0.6673507462686566,0.9145,1.0
flucloxacillin,-0.1534349024295807,-0.1534349024295807,-0.2430793046951294,-0.06379050016403198,0.0896444022655487,2,2,1.0,,,0.0908,0.682335294117647,0.9092,1.0
