drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
desoxycortone,-0.2088923454284668,-0.2088923454284668,-0.2088923454284668,-0.2088923454284668,0.0,1,1,1.0,Mineralocorticoid receptor agonist,NR3C2,0.0028,0.3431,0.9975,0.9995
anisomycin,-0.1851981282234192,-0.1851981282234192,-0.1851981282234192,-0.1851981282234192,0.0,1,1,1.0,,,0.0091,0.37132666666666664,0.9913,0.9995
tetrabenazine,-0.14245402812957764,-0.14245402812957764,-0.1533442735671997,-0.13156378269195557,0.01089024543762207,2,2,1.0,Vesicular monoamine transporter inhibitor,SLC18A2,0.0086,0.37132666666666664,0.9914,0.9995
GDC-0980,-0.1352570652961731,-0.1371018707752228,-0.17774704098701477,-0.08157801628112793,0.03269387487110626,5,5,1.0,MTOR inhibitor,MTOR,0.0014,0.2384666666666667,0.9986,0.9995
naltriben,-0.13389460742473602,-0.13389460742473602,-0.17525887489318848,-0.09253033995628357,0.041364267468452454,2,2,1.0,Opioid receptor antagonist,OPRD1,0.0145,0.39535263157894734,0.9855,0.9995
terbutaline,-0.1271612048149109,-0.1271612048149109,-0.1498878002166748,-0.10443460941314697,0.022726595401763916,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.0198,0.4421260869565218,0.9802,0.9995
orteronel,-0.12499919533729553,-0.11988721787929535,-0.1811506152153015,-0.05042612552642822,0.04556297069653863,6,6,1.0,Cytochrome P450 inhibitor,CYP17A1,0.0005,0.2384666666666667,0.9995,0.9995
atovaquone,-0.12459111213684082,-0.12315848469734192,-0.1976105272769928,-0.05402994155883789,0.05779889632916624,5,5,1.0,,,0.0043,0.3431,0.9957,0.9995
penitrem-a,-0.11817961931228638,-0.11817961931228638,-0.11817961931228638,-0.11817961931228638,0.0,1,1,1.0,Potassium channel blocker,KCNMA1,0.096,0.7008986486486487,0.9044,0.9995
mephentermine,-0.11619722843170166,-0.11619722843170166,-0.1252201795578003,-0.10717427730560303,0.009022951126098633,2,2,1.0,,,0.0332,0.5241399999999999,0.9668,0.9995
dopamine,-0.11505002528429031,-0.11505002528429031,-0.13981612026691437,-0.09028393030166626,0.024766094982624054,2,2,1.0,Dopamine receptor agonist,DRD1,0.0359,0.5241399999999999,0.9641,0.9995
GBR-13069,-0.11151319742202759,-0.1095796525478363,-0.1468268632888794,-0.06846535205841064,0.03355060055642657,4,4,1.0,Dopamine uptake inhibitor,SLC6A3,0.0147,0.39535263157894734,0.9853,0.9995
diflorasone,-0.10985943675041199,-0.10985943675041199,-0.11902722716331482,-0.10069164633750916,0.009167790412902832,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.046,0.6027179487179487,0.954,0.9995
