drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
dactinomycin,-0.26110464334487915,-0.23477352327770656,-0.28287848830223083,-0.15601620078086853,0.04430819933565865,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0001,0.01022,1.0,1.0
staurosporine,-0.25539587438106537,-0.25446905568242073,-0.3145585060119629,-0.20041489601135254,0.032511014835117355,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.01022,1.0,1.0
cefotiam,-0.24224843084812164,-0.24224843084812164,-0.25851550698280334,-0.22598135471343994,0.0162670761346817,2,2,1.0,,,0.0045,0.13178421052631578,0.9955,1.0
triptolide,-0.22190898656845093,-0.22572854587009974,-0.33290570974349976,-0.12941837310791016,0.0603622359350323,7,7,1.0,,,0.0001,0.01022,0.9999,1.0
PIK-75,-0.21710985898971558,-0.20555165741178724,-0.2881808578968048,-0.0671376883983612,0.06574863886466549,9,9,1.0,PI3K inhibitor,PIK3CA,0.0001,0.01022,1.0,1.0
ivermectin,-0.2146383374929428,-0.2146383374929428,-0.22431600093841553,-0.2049606740474701,0.009677663445472717,2,2,1.0,,,0.0166,0.3262538461538461,0.9834,1.0
tunicamycin,-0.2085115760564804,-0.2085115760564804,-0.24998843669891357,-0.16703471541404724,0.041476860642433167,2,2,1.0,GLCNAC phosphotransferase inhibitor,GNPTAB,0.0198,0.3488896551724138,0.9802,1.0
idarubicin,-0.20750170946121216,-0.20169471842902048,-0.31840407848358154,-0.05788549780845642,0.08483981187802317,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0007,0.03577,0.9993,1.0
camptothecin,-0.20422068238258362,-0.1979161836206913,-0.27364951372146606,-0.11833524703979492,0.048427883497041156,8,8,1.0,Topoisomerase inhibitor,TOP1,0.0005,0.03577,0.9995,1.0
SN-38,-0.20317032933235168,-0.20136893540620804,-0.22713184356689453,-0.16418075561523438,0.02258376266834979,6,6,1.0,Topoisomerase inhibitor,TOP1,0.0007,0.03577,0.9993,1.0
alfaxalone,-0.20252060890197754,-0.20252060890197754,-0.20252060890197754,-0.20252060890197754,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.0876,0.7377112676056338,0.9125,1.0
carbidopa,-0.202117457985878,-0.202117457985878,-0.22065415978431702,-0.18358075618743896,0.018536701798439026,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.025,0.4120967741935484,0.975,1.0
cymarin,-0.2000291347503662,-0.2000291347503662,-0.2000291347503662,-0.2000291347503662,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0933,0.7377112676056338,0.907,1.0
withaferin-a,-0.19986194372177124,-0.09584490292602116,-0.3400157690048218,0.21127116680145264,0.1947827886593747,9,9,0.6666666666666666,IKK inhibitor,NAMPT,0.001,0.04645454545454546,0.999,1.0
amikacin,-0.19849619269371033,-0.19849619269371033,-0.22702258825302124,-0.16996979713439941,0.028526395559310913,2,2,1.0,,,0.0283,0.43434999999999996,0.9717,1.0
celastrol,-0.19825534522533417,-0.12428705394268036,-0.30320221185684204,0.1474393606185913,0.17389218292603822,6,6,0.6666666666666666,,,0.0015,0.063875,0.9985,1.0
cilastatin,-0.19040945172309875,-0.07319539785385132,-0.28084731101989746,0.17200595140457153,0.18410535019215915,7,7,0.5714285714285714,Dehydropeptidase inhibitor,DPEP1,0.004,0.13094375,0.996,1.0
GSK-1059615,-0.18766307830810547,-0.15548051538921537,-0.31543588638305664,0.10432034730911255,0.09730884285207964,21,21,0.9047619047619048,,,0.0001,0.01022,1.0,1.0
doxorubicin,-0.18616656959056854,-0.16977356645193967,-0.32831352949142456,0.06282198429107666,0.09910085245958933,11,11,0.9090909090909091,Topoisomerase inhibitor,TOP2A,0.0007,0.03577,0.9993,1.0
fludarabine,-0.1852577179670334,-0.1293819167961677,-0.27862903475761414,0.08488226681947708,0.12479200803210569,12,12,0.75,DNA synthesis inhibitor,RRM1,0.0003,0.02555,0.9997,1.0
QL-X-138,-0.18521632254123688,-0.11036157608032227,-0.282494455575943,0.09396392107009888,0.14644951541559645,6,6,0.6666666666666666,,,0.0041,0.13094375,0.9959,1.0
demeclocycline,-0.1828085035085678,-0.1828085035085678,-0.21430721879005432,-0.1513097882270813,0.03149871528148651,2,2,1.0,,,0.047,0.5298847826086956,0.953,1.0
