drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
emetine,-0.29734931886196136,-0.2787664979696274,-0.40614861249923706,-0.1757606863975525,0.07287760056569467,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0001,0.0511,1.0,1.0
diflorasone,-0.2569804787635803,-0.2569804787635803,-0.26387983560562134,-0.2500811219215393,0.006899356842041016,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0042,0.33726,0.9958,1.0
BIX-02188,-0.2493961602449417,-0.2493961602449417,-0.27321726083755493,-0.2255750596523285,0.02382110059261322,2,2,1.0,,,0.0062,0.33726,0.9938,1.0
crotamiton,-0.23095573484897614,-0.23095573484897614,-0.23095573484897614,-0.23095573484897614,0.0,1,1,1.0,,,0.0596,0.742819512195122,0.9406,1.0
zimelidine,-0.22708019614219666,-0.22708019614219666,-0.25587642192840576,-0.19828397035598755,0.028796225786209106,2,2,1.0,Serotonin reuptake inhibitor,SLC6A4,0.0175,0.48410526315789465,0.9825,1.0
voriconazole,-0.22114518284797668,-0.21448313693205515,-0.27835458517074585,-0.1323094367980957,0.057387948309916566,6,6,1.0,Cytochrome P450 inhibitor,CYP2C19,0.0008,0.2044,0.9992,1.0
anisomycin,-0.22047370672225952,-0.22047370672225952,-0.22047370672225952,-0.22047370672225952,0.0,1,1,1.0,,,0.0771,0.8155142857142857,0.9232,1.0
flucloxacillin,-0.2204241380095482,-0.2204241380095482,-0.33912861347198486,-0.10171966254711151,0.11870447546243668,2,2,1.0,,,0.023,0.5864333333333333,0.977,1.0
metoprolol,-0.21626918017864227,-0.21626918017864227,-0.3078177869319916,-0.12472057342529297,0.0915486067533493,2,2,1.0,Adrenergic receptor antagonist,ADRB1,0.026,0.6039090909090908,0.974,1.0
alclometasone,-0.21195653080940247,-0.21195653080940247,-0.24086993932724,-0.18304312229156494,0.028913408517837524,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.03,0.6112346153846153,0.97,1.0
dichlorobenzamil,-0.20866680145263672,-0.20866680145263672,-0.20866680145263672,-0.20866680145263672,0.0,1,1,1.0,,,0.0927,0.8223906249999999,0.9077,1.0
prednicarbate,-0.19439487159252167,-0.19439487159252167,-0.28319454193115234,-0.10559520125389099,0.08879967033863068,2,2,1.0,Phospholipase activator,NR3C1,0.0556,0.7285025641025641,0.9444,1.0
cilastatin,-0.1931285858154297,-0.06025385643754687,-0.2095680832862854,0.1548958122730255,0.16257401264181343,7,7,0.5714285714285714,Dehydropeptidase inhibitor,DPEP1,0.0059,0.33726,0.9942,1.0
CPCCOEt,-0.19139805436134338,-0.19139805436134338,-0.19139805436134338,-0.19139805436134338,0.0,1,1,1.0,Glutamate receptor antagonist,GRM1,0.1272,0.8638986577181208,0.8728,1.0
molsidomine,-0.18608494848012924,-0.10965401058395703,-0.2515321969985962,0.12719014286994934,0.1583953152055735,6,6,0.6666666666666666,Guanylyl cyclase activator,GUCY1A1,0.0114,0.4481076923076923,0.9886,1.0
rifapentine,-0.1834847331047058,-0.10925959263529096,-0.2556059956550598,0.184674471616745,0.1681020806563528,7,7,0.7142857142857143,RNA polymerase inhibitor,CYP2C8,0.0114,0.4481076923076923,0.9887,1.0
QL-X-138,-0.17891070246696472,-0.15399152288834253,-0.34524840116500854,0.21863506734371185,0.18004771819946266,6,6,0.8333333333333334,,,0.0169,0.48410526315789465,0.9831,1.0
nifedipine,-0.17536412179470062,-0.12830259331635066,-0.20537713170051575,0.15264254808425903,0.11625917563324614,7,7,0.8571428571428571,Calcium channel blocker,CACNA1C,0.018,0.48410526315789465,0.9821,1.0
perindopril,-0.17488643527030945,-0.17488643527030945,-0.17488643527030945,-0.17488643527030945,0.0,1,1,1.0,Angiotensin converting enzyme inhibitor,ACE,0.1658,0.8638986577181208,0.8344,1.0
apicidin,-0.174012191593647,-0.174012191593647,-0.2104964256286621,-0.1375279575586319,0.036484234035015106,2,2,1.0,HDAC inhibitor,HDAC6,0.0953,0.8223906249999999,0.9047,1.0
asiatic-acid,-0.17374180257320404,-0.17374180257320404,-0.2054852545261383,-0.14199835062026978,0.031743451952934265,2,2,1.0,,,0.096,0.8223906249999999,0.904,1.0
celastrol,-0.17053323984146118,-0.10340358316898346,-0.26160863041877747,0.11776262521743774,0.15023418101293734,6,6,0.6666666666666666,,,0.0278,0.6112346153846153,0.9722,1.0
naftifine,-0.17015469074249268,-0.17015469074249268,-0.17015469074249268,-0.17015469074249268,0.0,1,1,1.0,,,0.1799,0.8638986577181208,0.8203,1.0
NVP-AUY922,-0.16973556578159332,-0.1527507483959198,-0.29716455936431885,0.240482360124588,0.1463935304888561,10,10,0.9,HSP inhibitor,HSP90AA1,0.0082,0.3809272727272727,0.9918,1.0
rimantadine,-0.1689198762178421,-0.1689198762178421,-0.2253676950931549,-0.1124720573425293,0.056447818875312805,2,2,1.0,,,0.1074,0.8315363636363636,0.8926,1.0
apigenin,-0.16872161626815796,-0.131819310096594,-0.38452666997909546,0.13830304145812988,0.15371139418784177,13,13,0.7692307692307693,,,0.0048,0.33726,0.9954,1.0
QL-XI-92,-0.16786539554595947,-0.17599101861317953,-0.2481793761253357,-0.10072821378707886,0.04543279039093813,9,9,1.0,,,0.0174,0.48410526315789465,0.9827,1.0
isradipine,-0.16780228912830353,-0.051163698945726664,-0.19421011209487915,0.1587262749671936,0.14950431672993406,7,7,0.5714285714285714,Calcium channel blocker,CACNA1C,0.0295,0.6112346153846153,0.9706,1.0
GDC-0980,-0.1676941215991974,-0.12233938276767731,-0.2222672700881958,0.09572608768939972,0.11201329051987317,5,5,0.8,MTOR inhibitor,MTOR,0.0517,0.714018918918919,0.9486,1.0
mephentermine,-0.16757696866989136,-0.16757696866989136,-0.20485436916351318,-0.13029956817626953,0.037277400493621826,2,2,1.0,,,0.1114,0.8371382352941176,0.8886,1.0
pancuronium,-0.1668289303779602,-0.1668289303779602,-0.1668289303779602,-0.1668289303779602,0.0,1,1,1.0,,,0.1929,0.8638986577181208,0.8071,1.0
galantamine,-0.16652245819568634,-0.17086151668003627,-0.2533077299594879,-0.08453202247619629,0.05817175994837386,7,7,1.0,Acetylcholinesterase inhibitor,ACHE,0.0331,0.6131999999999999,0.9672,1.0
ibrutinib,-0.1661394238471985,-0.13307814300060272,-0.3107830286026001,0.18644098937511444,0.13330967339965796,14,14,0.8571428571428571,BTK inhibitor,BTK,0.0055,0.33726,0.9945,1.0
CD-1530,-0.1659005731344223,-0.17168384293715158,-0.19099247455596924,-0.15815848112106323,0.01401433643165058,3,3,1.0,Retinoid receptor agonist,RARG,0.1021,0.8223906249999999,0.8984,1.0
tranilast,-0.1651795208454132,-0.14952025243214198,-0.2116050124168396,-0.07852941751480103,0.04231861901151585,7,7,1.0,,,0.0358,0.6131999999999999,0.9646,1.0
amsacrine,-0.16459369659423828,-0.14180133598191397,-0.26850345730781555,0.12414377927780151,0.11743370726697691,7,7,0.8571428571428571,Topoisomerase inhibitor,TOP2A,0.0376,0.6197935483870968,0.9625,1.0
indirubin,-0.16457566618919373,-0.17281121015548706,-0.22410589456558228,-0.12270170450210571,0.038623601974659895,8,8,1.0,CDK inhibitor,CDK5,0.0241,0.5864333333333333,0.9759,1.0
acadesine,-0.1630750223994255,-0.11841381713747978,-0.2671695947647095,0.11966437101364136,0.14644919793061753,4,4,0.75,,,0.0724,0.8042695652173913,0.9276,1.0
QL-XII-47,-0.16304348409175873,-0.1535558986167113,-0.34625786542892456,0.12660431861877441,0.15747623795712656,6,6,0.8333333333333334,,,0.0423,0.6754781249999999,0.9577,1.0
HG-5-113-01,-0.16211062669754028,-0.11825083196163177,-0.22872954607009888,0.1323545277118683,0.11986294531540384,6,6,0.8333333333333334,,,0.0452,0.6793294117647058,0.9548,1.0
tunicamycin,-0.16166451573371887,-0.16166451573371887,-0.2494412064552307,-0.07388782501220703,0.08777669072151184,2,2,1.0,GLCNAC phosphotransferase inhibitor,GNPTAB,0.1265,0.8638986577181208,0.8735,1.0
tanespimycin,-0.1616554856300354,-0.14413061267451235,-0.3418685495853424,0.1972474455833435,0.11313634874915664,19,19,0.8947368421052632,HSP inhibitor,HSP90AA1,0.0033,0.33726,0.9967,1.0
desoxycortone,-0.16147524118423462,-0.16147524118423462,-0.16147524118423462,-0.16147524118423462,0.0,1,1,1.0,Mineralocorticoid receptor agonist,NR3C2,0.215,0.8638986577181208,0.7852,1.0
dopamine,-0.16130849719047546,-0.16130849719047546,-0.248260498046875,-0.07435649633407593,0.08695200085639954,2,2,1.0,Dopamine receptor agonist,DRD1,0.1277,0.8638986577181208,0.8723,1.0
asenapine,-0.16081276535987854,-0.16081276535987854,-0.1959766149520874,-0.12564891576766968,0.03516384959220886,2,2,1.0,Dopamine receptor antagonist,ADRB2,0.129,0.8638986577181208,0.871,1.0
U-0126,-0.16043877601623535,-0.09540370450570033,-0.2852404713630676,0.12200766801834106,0.14744295727662,13,13,0.6923076923076923,MEK inhibitor,MAP2K1,0.0137,0.48410526315789465,0.9863,1.0
icariin,-0.15946537256240845,-0.15946537256240845,-0.1876937747001648,-0.1312369704246521,0.028228402137756348,2,2,1.0,,,0.1335,0.8638986577181208,0.8665,1.0
lasalocid,-0.15907779335975647,-0.08308498892519209,-0.2904679775238037,0.16873961687088013,0.16418237888785595,9,9,0.6666666666666666,,,0.036,0.6131999999999999,0.9643,1.0
CHIR-99021,-0.15874433517456055,-0.15874433517456055,-0.15874433517456055,-0.15874433517456055,0.0,1,1,1.0,,,0.2293,0.8638986577181208,0.7708,1.0
tribenoside,-0.1584874615073204,-0.1584874615073204,-0.196778804063797,-0.12019611895084381,0.03829134255647659,2,2,1.0,,,0.136,0.8638986577181208,0.864,1.0
ethisterone,-0.15841081738471985,-0.15841081738471985,-0.18316924571990967,-0.13365238904953003,0.02475842833518982,2,2,1.0,,,0.1362,0.8638986577181208,0.8638,1.0
betamethasone,-0.1578565537929535,-0.10091151048739751,-0.25905799865722656,0.12569397687911987,0.12619599362729828,12,12,0.75,Glucocorticoid receptor agonist,NR3C1,0.0158,0.48410526315789465,0.9842,1.0
levonorgestrel,-0.15768083930015564,-0.09875829304967608,-0.22278103232383728,0.11384201049804688,0.1287273423690463,7,7,0.7142857142857143,Estrogen receptor agonist,PGR,0.0591,0.742819512195122,0.9414,1.0
parthenolide,-0.15665334463119507,-0.11997887256898378,-0.2781112492084503,0.17629241943359375,0.12240446216994066,19,19,0.8421052631578947,,,0.0062,0.33726,0.9938,1.0
dorzolamide,-0.15630634874105453,-0.15630634874105453,-0.2176256775856018,-0.09498701989650726,0.06131932884454727,2,2,1.0,Carbonic anhydrase inhibitor,CA1,0.1428,0.8638986577181208,0.8572,1.0
