sig_idx,cmap_name,cell_iname,moa,target,enrichment_score
108740,emetine,U2OS,Protein synthesis inhibitor,RPS2,-0.406149
100610,apigenin,A549,,,-0.384527
108719,emetine,A375,Protein synthesis inhibitor,RPS2,-0.347357
91441,QL-XII-47,HA1E,,,-0.346258
113098,hyoscyamine,HT29,,,-0.345645
91388,QL-X-138,A375,,,-0.345248
123722,puromycin,ASC,,,-0.343905
127660,tanespimycin,HA1E,HSP inhibitor,HSP90AA1,-0.341869
130075,triciribine,HCC515,Akt inhibitor,AKT3,-0.341481
106847,dexamethasone,MCF7,Glucocorticoid receptor agonist,NR3C1,-0.339823
110821,flucloxacillin,PC3,,,-0.339129
102794,brucine,HCC515,,,-0.337741
108728,emetine,HT29,Protein synthesis inhibitor,RPS2,-0.335100
128348,testosterone,A375,,,-0.329368
101499,batimastat,A549,,,-0.327754
126140,selegiline,PC3,Monoamine oxidase inhibitor,MAOA,-0.324717
117310,mestranol,VCAP,Estrogen receptor agonist,ESR1,-0.320787
102563,brefeldin-a,HA1E,,,-0.318093
1992,AZD-7762,HA1E,CHK inhibitor,CHEK1,-0.315082
115904,lonidamine,MCF7,,,-0.312198
109943,etoposide,HCC515,Topoisomerase inhibitor,TOP2A,-0.311324
124184,radicicol,A375,,,-0.311297
126537,sirolimus,MCF7,MTOR inhibitor,FKBP1A,-0.311180
126959,streptozotocin,MCF7,,,-0.310927
113162,ibrutinib,HUVEC,BTK inhibitor,BTK,-0.310783
91437,QL-XII-47,A375,,,-0.309269
108737,emetine,PHH,Protein synthesis inhibitor,RPS2,-0.307989
117808,metoprolol,MCF7,Adrenergic receptor antagonist,ADRB1,-0.307818
105740,cyclopamine,ASC,Smoothened receptor antagonist,SMO,-0.307647
109628,estriol,PC3,Estrogen receptor agonist,ESR1,-0.306637
111885,geldanamycin,A375,HSP inhibitor,HSP90AA1,-0.306511
116456,manumycin-a,HCT116,NFKB pathway inhibitor,FNTA,-0.305997
108724,emetine,HA1E,Protein synthesis inhibitor,RPS2,-0.304997
131578,withaferin-a,HA1E,IKK inhibitor,NAMPT,-0.304889
117395,metergoline,A549,Dopamine receptor agonist,HTR1A,-0.304699
97928,XMD-1185H,HS578T,,,-0.304023
85078,JW-7-24-1,A375,,,-0.303564
111225,fluticasone,HA1E,Glucocorticoid receptor agonist,NR3C1,-0.302311
105622,curcumin,YAPC,Lipoxygenase inhibitor,PTGS1,-0.299436
107354,dihydrexidine,A549,Dopamine receptor agonist,DRD1,-0.299364
120032,norgestrel,MCF7,,,-0.298733
89413,NVP-AUY922,HA1E,HSP inhibitor,HSP90AA1,-0.297165
98112,Y-27632,PC3,Rho associated kinase inhibitor,ROCK1,-0.294965
89971,PD-0325901,A375,MEK inhibitor,MAP2K1,-0.294929
93758,SB-205607,MCF7,Delta 1 opioid receptor agonist,OPRD1,-0.294776
120977,paclitaxel,HCC515,Tubulin inhibitor,TUBB,-0.294713
116885,megestrol-acetate,PC3,DNA inhibitor,PGR,-0.294434
126739,sorafenib,SKB,KIT inhibitor,FGFR1,-0.294172
1546,AT-CSC-18,A375,,,-0.293496
122844,potassium-canrenoate,A549,Mineralocorticoid receptor antagonist,NR3C2,-0.292631
