drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
dichlorobenzamil,-0.15129590034484863,-0.15129590034484863,-0.15129590034484863,-0.15129590034484863,0.0,1,1,1.0,,,0.0107,0.3246352941176471,0.9898,0.9999
CHIR-99021,-0.12619000673294067,-0.12619000673294067,-0.12619000673294067,-0.12619000673294067,0.0,1,1,1.0,,,0.0319,0.49348,0.9684,0.9999
silibinin,-0.1196489930152893,-0.1196489930152893,-0.1196489930152893,-0.1196489930152893,0.0,1,1,1.0,,,0.0396,0.5325157894736843,0.9607,0.9999
QL-X-138,-0.11780470609664917,-0.12474773327509563,-0.2520100772380829,0.05884754657745361,0.09688496463569496,6,6,0.8333333333333334,,,0.0001,0.017033333333333334,0.9999,0.9999
estrone,-0.11259996891021729,-0.08031975974639256,-0.1354702115058899,0.05453234165906906,0.05693870099758341,9,9,0.8888888888888888,Estrogen receptor agonist,ESR1,0.0001,0.017033333333333334,0.9999,0.9999
tunicamycin,-0.10862788558006287,-0.10862788558006287,-0.11932271718978882,-0.09793305397033691,0.010694831609725952,2,2,1.0,GLCNAC phosphotransferase inhibitor,GNPTAB,0.0184,0.4273818181818182,0.9816,0.9999
emetine,-0.10669626295566559,-0.11145254522562027,-0.17741355299949646,-0.04194419085979462,0.04000250782765215,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0001,0.017033333333333334,0.9999,0.9999
dinoprost,-0.10637138783931732,-0.10637138783931732,-0.11868545413017273,-0.09405732154846191,0.012314066290855408,2,2,1.0,Prostacyclin analog,PTGDR,0.0207,0.4428666666666667,0.9793,0.9999
levobunolol,-0.1024416983127594,-0.0471989115079244,-0.1117994487285614,0.07264441251754761,0.08482809522132322,3,3,0.6666666666666666,Adrenergic receptor antagonist,ADRB1,0.023,0.4561148148148148,0.9772,0.9999
orciprenaline,-0.10019940137863159,-0.10019940137863159,-0.11206954717636108,-0.0883292555809021,0.011870145797729492,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.0329,0.49348,0.9671,0.9999
nifedipine,-0.09943234920501709,-0.08250659491334643,-0.15251708030700684,0.06516391038894653,0.06869220248731643,7,7,0.8571428571428571,Calcium channel blocker,CACNA1C,0.0018,0.1533,0.9982,0.9999
brefeldin-a,-0.0991872251033783,-0.10636135664853183,-0.17286479473114014,-0.04386335611343384,0.03960276507169068,11,11,1.0,,,0.0005,0.063875,0.9995,0.9999
MMPX,-0.09677243232727051,-0.09968134760856628,-0.14183828234672546,-0.06043332815170288,0.03329702672370561,3,3,1.0,,,0.0338,0.49348,0.9662,0.9999
penitrem-a,-0.09570369124412537,-0.09570369124412537,-0.09570369124412537,-0.09570369124412537,0.0,1,1,1.0,Potassium channel blocker,KCNMA1,0.1098,0.7360987341772152,0.8906,0.9999
QL-XII-47,-0.09534004330635071,-0.10992532844344775,-0.22141951322555542,-0.0436948761343956,0.05635455135890672,6,6,1.0,,,0.0053,0.30149,0.9947,0.9999
anisomycin,-0.09464919567108154,-0.09464919567108154,-0.09464919567108154,-0.09464919567108154,0.0,1,1,1.0,,,0.1136,0.7360987341772152,0.8868,0.9999
alfaxalone,-0.0942489504814148,-0.0942489504814148,-0.0942489504814148,-0.0942489504814148,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.1161,0.7381111111111112,0.8841,0.9999
tubocurarine,-0.09399577975273132,-0.06911008263176138,-0.12783905863761902,0.06098067760467529,0.06164230942908375,11,11,0.8181818181818182,Acetylcholine receptor antagonist,CHRNA2,0.0012,0.12264,0.9988,0.9999
alclometasone,-0.091215118765831,-0.091215118765831,-0.11435148119926453,-0.06807875633239746,0.023136362433433533,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0595,0.6162058823529412,0.9405,0.9999
GW-4064,-0.0908278226852417,-0.0908278226852417,-0.10622027516365051,-0.07543537020683289,0.015392452478408813,2,2,1.0,FXR agonist,NR1H4,0.0602,0.6162058823529412,0.9398,0.9999
formoterol,-0.09077790379524231,-0.07534646562167577,-0.13910174369812012,0.033451080322265625,0.05354858037780122,7,7,0.8571428571428571,Adrenergic receptor agonist,ADRB2,0.0073,0.3105307692307692,0.9928,0.9999
serotonin,-0.09049487113952637,-0.09049487113952637,-0.09571617841720581,-0.08527356386184692,0.005221307277679443,2,2,1.0,Growth factor receptor activator,HTR1A,0.0615,0.6162058823529412,0.9385,0.9999
