drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
biotin,-0.24075990915298462,-0.24075990915298462,-0.2623821496963501,-0.21913766860961914,0.02162224054336548,2,2,1.0,,,0.0019,0.16181666666666666,0.9981,1.0
penitrem-a,-0.2406000792980194,-0.2406000792980194,-0.2406000792980194,-0.2406000792980194,0.0,1,1,1.0,Potassium channel blocker,KCNMA1,0.0192,0.445592,0.9809,1.0
demeclocycline,-0.2285042256116867,-0.2285042256116867,-0.2978251576423645,-0.1591832935810089,0.0693209320306778,2,2,1.0,,,0.0036,0.2044,0.9964,1.0
emetine,-0.21348104625940323,-0.1959847554564476,-0.24791958928108215,-0.0913129448890686,0.04677173153963745,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0001,0.0511,1.0,1.0
nicardipine,-0.21066823601722717,-0.10324499011039734,-0.2377943992614746,0.13872766494750977,0.1714585110746777,3,3,0.6666666666666666,Calcium channel blocker,CACNA1C,0.0065,0.3019545454545454,0.9936,1.0
tunicamycin,-0.19582635164260864,-0.19582635164260864,-0.20383059978485107,-0.1878221035003662,0.008004248142242432,2,2,1.0,GLCNAC phosphotransferase inhibitor,GNPTAB,0.0186,0.445592,0.9814,1.0
staurosporine,-0.18765030801296234,-0.1843913495540619,-0.2503340244293213,-0.09655684232711792,0.051036293596861064,8,8,1.0,PKC inhibitor,CDK2,0.0002,0.0511,0.9998,1.0
artesunate,-0.1828644573688507,-0.18883773684501648,-0.3212772309780121,-0.08900350332260132,0.07444979438804677,7,7,1.0,,,0.0015,0.15330000000000002,0.9985,1.0
mitomycin-c,-0.18212486803531647,-0.09531865020593007,-0.2105107307434082,0.13373667001724243,0.14408397216258453,6,6,0.6666666666666666,,,0.0028,0.17885,0.9972,1.0
tribenoside,-0.1811419278383255,-0.1811419278383255,-0.24555769562721252,-0.11672616004943848,0.06441576778888702,2,2,1.0,,,0.0338,0.5380529411764706,0.9662,1.0
colchicine,-0.17662328481674194,-0.17662328481674194,-0.17662328481674194,-0.17662328481674194,0.0,1,1,1.0,Microtubule inhibitor,TUBB,0.1113,0.6935890243902438,0.889,1.0
cyproterone,-0.1765325963497162,-0.1765325963497162,-0.23610526323318481,-0.11695992946624756,0.05957266688346863,2,2,1.0,Androgen receptor antagonist,AR,0.0403,0.5380529411764706,0.9597,1.0
ivermectin,-0.17524906992912292,-0.17524906992912292,-0.21408939361572266,-0.1364087462425232,0.03884032368659973,2,2,1.0,,,0.0425,0.5380529411764706,0.9575,1.0
WHI-P154,-0.1750844568014145,-0.1750844568014145,-0.17727220058441162,-0.17289671301841736,0.0021877437829971313,2,2,1.0,JAK inhibitor,EGFR,0.0427,0.5380529411764706,0.9573,1.0
sulmazole,-0.1748005747795105,-0.16883041858673095,-0.19282269477844238,-0.116363525390625,0.02714424736641521,5,5,1.0,,,0.0136,0.38997368421052636,0.9866,1.0
ethambutol,-0.1745763123035431,-0.1745763123035431,-0.19474083185195923,-0.15441179275512695,0.020164519548416138,2,2,1.0,,,0.0434,0.5380529411764706,0.9566,1.0
brefeldin-a,-0.17378896474838257,-0.15946786241097885,-0.26895731687545776,0.08206093311309814,0.09081805484813545,11,11,0.9090909090909091,,,0.0006,0.1022,0.9994,1.0
QL-XII-47,-0.17293724417686462,-0.16921864449977875,-0.22454383969306946,-0.10211092233657837,0.0360320453202376,6,6,1.0,,,0.0059,0.30149,0.9941,1.0
carbidopa,-0.17245057225227356,-0.17245057225227356,-0.1928846836090088,-0.15201646089553833,0.02043411135673523,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0472,0.5380529411764706,0.9528,1.0
olopatadine,-0.17039640992879868,-0.17039640992879868,-0.1851261705160141,-0.15566664934158325,0.014729760587215424,2,2,1.0,Histamine receptor antagonist,HRH1,0.0503,0.5380529411764706,0.9497,1.0
ZG-10,-0.16854745149612427,-0.16854745149612427,-0.17322593927383423,-0.1638689637184143,0.004678487777709961,2,2,1.0,,,0.0548,0.5385153846153846,0.9452,1.0
cinnarizine,-0.16663163900375366,-0.15181761980056763,-0.16822534799575806,-0.12059587240219116,0.022086694487010644,3,3,1.0,Calcium channel blocker,HRH1,0.0523,0.5380529411764706,0.9481,1.0
levonorgestrel,-0.1656869351863861,-0.09693517429488045,-0.2015211582183838,0.1364755630493164,0.12661607266657118,7,7,0.7142857142857143,Estrogen receptor agonist,PGR,0.0089,0.33215,0.9911,1.0
guanethidine,-0.1636900007724762,-0.1636900007724762,-0.1750820279121399,-0.1522979736328125,0.011392027139663696,2,2,1.0,,,0.0652,0.5744344827586206,0.9348,1.0
ursolic-acid,-0.1622275710105896,-0.1596781930753163,-0.2279125452041626,-0.08594019711017609,0.04924346657412919,7,7,1.0,STAT inhibitor,HSD11B1,0.0116,0.370475,0.9884,1.0
rottlerin,-0.16132810711860657,-0.11787882447242737,-0.24447935819625854,0.14752167463302612,0.1253663075696113,14,14,0.7857142857142857,,,0.0012,0.1533,0.9988,1.0
noretynodrel,-0.16043822467327118,-0.10593597319993106,-0.2250734567642212,0.18297415971755981,0.13092109419695222,11,11,0.8181818181818182,Progestogen hormone,PGR,0.0027,0.17885,0.9973,1.0
securinine,-0.15848666429519653,-0.15848666429519653,-0.15848666429519653,-0.15848666429519653,0.0,1,1,1.0,TP53 activator,GABRA1,0.1665,0.7669023622047243,0.8336,1.0
thapsigargin,-0.15845805406570435,-0.1699956109126409,-0.24644997715950012,-0.11238878965377808,0.04697622706917895,9,9,1.0,ATPase inhibitor,ATP2A1,0.0085,0.33215,0.9915,1.0
anisomycin,-0.15658754110336304,-0.15658754110336304,-0.15658754110336304,-0.15658754110336304,0.0,1,1,1.0,,,0.1743,0.7669023622047243,0.8259,1.0
CNQX,-0.15602454543113708,-0.07403441270192464,-0.2002996802330017,0.12833529710769653,0.135001235087162,6,6,0.6666666666666666,Glutamate receptor antagonist,GRIA1,0.0213,0.445592,0.9788,1.0
asiatic-acid,-0.15556887537240982,-0.15556887537240982,-0.17515365779399872,-0.13598409295082092,0.019584782421588898,2,2,1.0,,,0.0855,0.6383797101449276,0.9145,1.0
ZD-7114,-0.15549492835998535,-0.08012210081020991,-0.2515316605567932,0.12747164070606232,0.1500807550469854,6,6,0.6666666666666666,Adrenergic receptor agonist,ADRB3,0.0218,0.445592,0.9782,1.0
pterostilbene,-0.15484119951725006,-0.1415572389960289,-0.2936166226863861,0.08410792052745819,0.11381309270692466,6,6,0.8333333333333334,PPAR receptor agonist,PTGS2,0.023,0.45203846153846156,0.977,1.0
HA-14-1,-0.15367218106985092,-0.15367218106985092,-0.15722697973251343,-0.15011738240718842,0.003554798662662506,2,2,1.0,BCL inhibitor,BCL2,0.0903,0.6571028169014086,0.9097,1.0
exemestane,-0.15319980680942535,-0.16492982539865705,-0.27711665630340576,-0.1082184910774231,0.04701147285156198,9,9,1.0,Aromatase inhibitor,CYP19A1,0.0145,0.38997368421052636,0.9856,1.0
