drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
A-443654,-0.1529768705368042,-0.13072928921742874,-0.23133200407028198,0.0814170241355896,0.08282774278166616,11,11,0.9090909090909091,,,0.0001,0.0511,1.0,1.0
orciprenaline,-0.14575546234846115,-0.14575546234846115,-0.15495237708091736,-0.13655854761600494,0.009196914732456207,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.0136,0.47586875,0.9864,1.0
ambrisentan,-0.14417626708745956,-0.14417626708745956,-0.18645934760570526,-0.10189318656921387,0.0422830805182457,2,2,1.0,Endothelin receptor antagonist,EDNRA,0.0149,0.47586875,0.9851,1.0
mephentermine,-0.14142757654190063,-0.14142757654190063,-0.21241962909698486,-0.0704355239868164,0.07099205255508423,2,2,1.0,,,0.0181,0.48545,0.9819,1.0
hydralazine,-0.13741078972816467,-0.13741078972816467,-0.1767244040966034,-0.09809717535972595,0.03931361436843872,2,2,1.0,,,0.0215,0.48545,0.9785,1.0
demeclocycline,-0.13727062940597534,-0.13727062940597534,-0.16386494040489197,-0.11067631840705872,0.026594310998916626,2,2,1.0,,,0.0216,0.48545,0.9784,1.0
cefotiam,-0.13667148351669312,-0.13667148351669312,-0.16512686014175415,-0.10821610689163208,0.028455376625061035,2,2,1.0,,,0.0226,0.48545,0.9774,1.0
sulmazole,-0.13191744685173035,-0.1300240695476532,-0.17223423719406128,-0.08544918894767761,0.03707922036083402,5,5,1.0,,,0.009,0.47586875,0.9911,1.0
staurosporine,-0.12900548428297043,-0.13474265299737453,-0.1841161847114563,-0.07848140597343445,0.03576570909308697,8,8,1.0,PKC inhibitor,CDK2,0.0008,0.13626666666666667,0.9992,1.0
molsidomine,-0.12708283960819244,-0.07783437768618266,-0.16112956404685974,0.15187615156173706,0.1071291902955307,6,6,0.8333333333333334,Guanylyl cyclase activator,GUCY1A1,0.0038,0.3832499999999999,0.9962,1.0
guanethidine,-0.12412673234939575,-0.12412673234939575,-0.1667810082435608,-0.08147245645523071,0.04265427589416504,2,2,1.0,,,0.0431,0.5508829268292683,0.9569,1.0
vicriviroc,-0.1238417848944664,-0.061096725364526115,-0.203251451253891,0.16184315085411072,0.135416846200625,6,6,0.6666666666666666,CCK receptor antagonist,CCR5,0.0057,0.4161,0.9943,1.0
amikacin,-0.12378531694412231,-0.12378531694412231,-0.15077441930770874,-0.09679621458053589,0.026989102363586426,2,2,1.0,,,0.0436,0.5508829268292683,0.9564,1.0
perindopril,-0.1235758513212204,-0.1235758513212204,-0.1235758513212204,-0.1235758513212204,0.0,1,1,1.0,Angiotensin converting enzyme inhibitor,ACE,0.1308,0.7057178947368421,0.8692,1.0
benzatropine,-0.12156233191490173,-0.12156233191490173,-0.12156233191490173,-0.12156233191490173,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.1373,0.7097222222222223,0.8629,1.0
flucloxacillin,-0.11948564648628235,-0.11948564648628235,-0.16081947088241577,-0.07815182209014893,0.04133382439613342,2,2,1.0,,,0.0538,0.5610571428571429,0.9462,1.0
naringenin,-0.11905288696289062,-0.09708709376198905,-0.1672276258468628,0.0410304069519043,0.06607817910958332,7,7,0.8571428571428571,TRPV antagonist,CYP19A1,0.0095,0.47586875,0.9906,1.0
austricine,-0.11662451922893524,-0.11815955489873886,-0.15339988470077515,-0.08598929643630981,0.030309435982745814,4,4,1.0,,,0.0281,0.512825,0.9719,1.0
CGS-21680,-0.1159062534570694,-0.1159062534570694,-0.17004618048667908,-0.06176632642745972,0.05413992702960968,2,2,1.0,Adenosine receptor agonist,ADORA1,0.0628,0.5964459016393443,0.9372,1.0
nifedipine,-0.11547243595123291,-0.11882035327809197,-0.1582062840461731,-0.07865699380636215,0.02632099102493903,7,7,1.0,Calcium channel blocker,CACNA1C,0.0126,0.47586875,0.9874,1.0
tubaic-acid,-0.11505761742591858,-0.11483917385339737,-0.130996435880661,-0.09824502468109131,0.011593521652067564,4,4,1.0,,,0.031,0.5462413793103448,0.969,1.0
dinoprost,-0.11481070518493652,-0.11481070518493652,-0.1708778738975525,-0.05874353647232056,0.05606716871261597,2,2,1.0,Prostacyclin analog,PTGDR,0.0653,0.5964459016393443,0.9347,1.0
dopamine,-0.1141946092247963,-0.1141946092247963,-0.12199972569942474,-0.10638949275016785,0.0078051164746284485,2,2,1.0,Dopamine receptor agonist,DRD1,0.0666,0.5964459016393443,0.9334,1.0
streptozotocin,-0.11323453485965729,-0.11323453485965729,-0.14464446902275085,-0.08182460069656372,0.03140993416309357,2,2,1.0,,,0.069,0.5964459016393443,0.931,1.0
PIK-75,-0.11286848783493042,-0.0971991659866439,-0.16412365436553955,0.07799574732780457,0.07009757473206023,9,9,0.8888888888888888,PI3K inhibitor,PIK3CA,0.0083,0.47586875,0.9917,1.0
fludarabine,-0.11279304325580597,-0.07556672394275665,-0.20406055450439453,0.14756876230239868,0.11402854950878406,12,12,0.75,DNA synthesis inhibitor,RRM1,0.0018,0.22995,0.9982,1.0
tanespimycin,-0.11171954870223999,-0.06542933928339105,-0.23725345730781555,0.11171853542327881,0.1057056039146963,19,19,0.6842105263157895,HSP inhibitor,HSP90AA1,0.0002,0.0511,0.9998,1.0
nicardipine,-0.11085700988769531,-0.10204959909121196,-0.11745414137840271,-0.07783764600753784,0.01733098458582101,3,3,1.0,Calcium channel blocker,CACNA1C,0.0743,0.6026555555555556,0.9258,1.0
montelukast,-0.11025689542293549,-0.053511167565981545,-0.16988080739974976,0.13537156581878662,0.12137696245616841,6,6,0.6666666666666666,Leukotriene receptor antagonist,CYSLTR1,0.0194,0.48545,0.9806,1.0
josamycin,-0.1092696264386177,-0.1092696264386177,-0.15098488330841064,-0.06755436956882477,0.04171525686979294,2,2,1.0,,,0.08,0.6193939393939394,0.92,1.0
dactinomycin,-0.10677763819694519,-0.1024344348245197,-0.13794267177581787,-0.04896646738052368,0.03052169268994118,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0131,0.47586875,0.9872,1.0
tribenoside,-0.10676580667495728,-0.10676580667495728,-0.1287025809288025,-0.08482903242111206,0.021936774253845215,2,2,1.0,,,0.0893,0.6496,0.9107,1.0
carbidopa,-0.10568511486053467,-0.10568511486053467,-0.12972527742385864,-0.0816449522972107,0.024040162563323975,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0922,0.6496,0.9078,1.0
