drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
QL-XII-47,-0.21965131163597107,-0.21857337653636932,-0.2664504945278168,-0.16530752182006836,0.029673147438054586,6,6,1.0,,,0.0001,0.008516666666666667,1.0,1.0
penitrem-a,-0.1767127513885498,-0.1767127513885498,-0.1767127513885498,-0.1767127513885498,0.0,1,1,1.0,Potassium channel blocker,KCNMA1,0.0281,0.5522730769230769,0.9723,1.0
CHIR-99021,-0.16239699721336365,-0.16239699721336365,-0.16239699721336365,-0.16239699721336365,0.0,1,1,1.0,,,0.043,0.6204999999999999,0.9571,1.0
emetine,-0.16202351450920105,-0.142824187874794,-0.22565388679504395,0.11307433247566223,0.0910057356350037,10,10,0.9,Protein synthesis inhibitor,RPS2,0.0001,0.008516666666666667,1.0,1.0
vinblastine,-0.15959563851356506,-0.12082947217501126,-0.26776280999183655,0.09689682722091675,0.10022509192292098,13,13,0.8461538461538461,Tubulin inhibitor,TUBB,0.0001,0.008516666666666667,1.0,1.0
cefazolin,-0.15456201136112213,-0.15456201136112213,-0.17032787203788757,-0.1387961506843567,0.015765860676765442,2,2,1.0,,,0.0159,0.41366666666666674,0.9841,1.0
bortezomib,-0.1529790759086609,-0.1524366835753123,-0.2187349498271942,-0.0621148943901062,0.0516956675183056,12,12,1.0,Proteasome inhibitor,PSMB1,0.0001,0.008516666666666667,1.0,1.0
cymarin,-0.14725714921951294,-0.14725714921951294,-0.14725714921951294,-0.14725714921951294,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0699,0.6472666666666667,0.9305,1.0
azacitidine,-0.1458396092057228,-0.14159239828586578,-0.256316602230072,0.04421153664588928,0.0739429193066794,12,12,0.9166666666666666,DNA methyltransferase inhibitor,DNMT1,0.0001,0.008516666666666667,1.0,1.0
vincristine,-0.1447417438030243,-0.14413910020481457,-0.31340712308883667,-0.07901030778884888,0.06269794140315431,11,11,1.0,Tubulin inhibitor,TUBB,0.0001,0.008516666666666667,0.9999,1.0
losartan,-0.14168423414230347,-0.13656201362609863,-0.1628996729850769,-0.09628885984420776,0.022982668949425293,5,5,1.0,Angiotensin receptor antagonist,AGTR1,0.0046,0.18081538461538463,0.9955,1.0
acitretin,-0.13317667692899704,-0.13317667692899704,-0.14497064054012299,-0.1213827133178711,0.011793963611125946,2,2,1.0,Retinoid receptor agonist,RARA,0.0387,0.6204999999999999,0.9613,1.0
tunicamycin,-0.12976056337356567,-0.12976056337356567,-0.15503066778182983,-0.10449045896530151,0.02527010440826416,2,2,1.0,GLCNAC phosphotransferase inhibitor,GNPTAB,0.0443,0.6204999999999999,0.9557,1.0
securinine,-0.12823903560638428,-0.12823903560638428,-0.12823903560638428,-0.12823903560638428,0.0,1,1,1.0,TP53 activator,GABRA1,0.1151,0.7738960526315789,0.885,1.0
digitoxin,-0.12799006700515747,-0.12799006700515747,-0.12799006700515747,-0.12799006700515747,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.1171,0.7771181818181818,0.8831,1.0
A-443654,-0.12351420521736145,-0.0977942564270713,-0.1898576021194458,0.0919961929321289,0.0686776798942724,11,11,0.9090909090909091,,,0.001,0.073,0.999,1.0
ivermectin,-0.12306645512580872,-0.12306645512580872,-0.1357402801513672,-0.11039263010025024,0.012673825025558472,2,2,1.0,,,0.0577,0.6204999999999999,0.9423,1.0
homatropine,-0.12256896495819092,-0.06729957035609654,-0.18220943212509155,0.15735411643981934,0.12581334626033555,7,7,0.7142857142857143,Acetylcholine receptor antagonist,CHRM1,0.0062,0.22629999999999997,0.9938,1.0
dinoprost,-0.1209132969379425,-0.1209132969379425,-0.12630993127822876,-0.11551666259765625,0.005396634340286255,2,2,1.0,Prostacyclin analog,PTGDR,0.0626,0.6322372549019608,0.9374,1.0
benzatropine,-0.11874759197235107,-0.11874759197235107,-0.11874759197235107,-0.11874759197235107,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.1399,0.8410458823529412,0.8603,1.0
estropipate,-0.11799831688404083,-0.06006631441414356,-0.1847713589668274,0.16558536887168884,0.12428873865269327,8,8,0.75,,,0.0075,0.2555,0.9925,1.0
brefeldin-a,-0.1164056658744812,-0.09564258022741838,-0.17042264342308044,0.2006412148475647,0.09793729698189167,11,11,0.9090909090909091,,,0.0028,0.15897777777777777,0.9972,1.0
dienestrol,-0.11549736559391022,-0.11549736559391022,-0.17004597187042236,-0.06094875931739807,0.054548606276512146,2,2,1.0,Estrogen receptor agonist,ESR1,0.0777,0.6472666666666667,0.9223,1.0
guanadrel,-0.11498695611953735,-0.11498695611953735,-0.15393275022506714,-0.07604116201400757,0.038945794105529785,2,2,1.0,Adrenergic inhibitor,SLC6A2,0.0793,0.6472666666666667,0.9207,1.0
ampicillin,-0.11491429805755615,-0.10599339256683986,-0.12478315830230713,-0.07828272134065628,0.02000432579030238,3,3,1.0,,,0.0695,0.6472666666666667,0.9305,1.0
roxithromycin,-0.11475890874862671,-0.11475890874862671,-0.15898525714874268,-0.07053256034851074,0.04422634840011597,2,2,1.0,,,0.0804,0.6472666666666667,0.9196,1.0
calcipotriol,-0.11475366353988647,-0.038550237814585366,-0.13205546140670776,0.13115841150283813,0.12020983679165433,3,3,0.6666666666666666,Vitamin D receptor agonist,VDR,0.0706,0.6472666666666667,0.9296,1.0
norgestrel,-0.11468496918678284,-0.06606561442216237,-0.16516131162643433,0.0810149610042572,0.09884077234990041,6,6,0.6666666666666666,,,0.0162,0.41366666666666674,0.9838,1.0
megestrol,-0.1138630174100399,-0.1138630174100399,-0.13450831174850464,-0.09321772307157516,0.020645294338464737,2,2,1.0,,,0.0836,0.6472666666666667,0.9164,1.0
NSC-632839,-0.11318355798721313,-0.09383837381998698,-0.1805388629436493,0.07000082731246948,0.06988771161069118,9,9,0.8888888888888888,Ubiquitin specific protease inhibitor,SENP2,0.008,0.2555,0.992,1.0
austricine,-0.11293178796768188,-0.10024553537368774,-0.11895322799682617,-0.056165337562561035,0.025595263338433025,4,4,1.0,,,0.042,0.6204999999999999,0.958,1.0
SB-366791,-0.11254105716943741,-0.11254105716943741,-0.12331345677375793,-0.10176865756511688,0.010772399604320526,2,2,1.0,TRPV antagonist,TRPV1,0.0877,0.6688761194029851,0.9123,1.0
sericetin,-0.11153712868690491,-0.0909063071012497,-0.2025502324104309,0.06199926137924194,0.0982352436009255,4,4,0.75,,,0.0456,0.6204999999999999,0.9544,1.0
naringenin,-0.11084246635437012,-0.07944404653140477,-0.18095329403877258,0.12713631987571716,0.0907622349921669,7,7,0.8571428571428571,TRPV antagonist,CYP19A1,0.0188,0.43667272727272727,0.9812,1.0
ouabain,-0.11083397269248962,-0.09591899785612311,-0.23241549730300903,0.13128691911697388,0.08450957429316207,14,14,0.8571428571428571,ATPase inhibitor,ATP1A1,0.0022,0.140525,0.9978,1.0
rifampicin,-0.1092606633901596,-0.06669465079903603,-0.16119062900543213,0.08636140823364258,0.09029474463386093,8,8,0.75,RNA polymerase inhibitor,NR1I2,0.0153,0.41366666666666674,0.9847,1.0
anisomycin,-0.108784019947052,-0.108784019947052,-0.108784019947052,-0.108784019947052,0.0,1,1,1.0,,,0.1867,0.9247134615384616,0.8135,1.0
alfacalcidol,-0.10870125889778137,-0.10870125889778137,-0.12236011028289795,-0.0950424075126648,0.013658851385116577,2,2,1.0,Vitamin D receptor agonist,VDR,0.0993,0.7146802816901409,0.9007,1.0
