drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
cytisine,-0.3541315197944641,-0.3541315197944641,-0.3541315197944641,-0.3541315197944641,0.0,1,1,1.0,Acetylcholine receptor agonist,CHRNA2,0.0165,0.319375,0.9838,1.0
naftifine,-0.30591607093811035,-0.30591607093811035,-0.30591607093811035,-0.30591607093811035,0.0,1,1,1.0,,,0.0493,0.48016379310344826,0.9512,1.0
A-443654,-0.29755568504333496,-0.2751789472319863,-0.3780391216278076,-0.085610032081604,0.08024203839765198,11,11,1.0,,,0.0001,0.017033333333333334,1.0,1.0
temsirolimus,-0.2839227616786957,-0.2668443577630179,-0.3593175709247589,-0.14451652765274048,0.06131734811897917,7,7,1.0,MTOR inhibitor,MTOR,0.0008,0.06813333333333334,0.9992,1.0
carbidopa,-0.2817326486110687,-0.2817326486110687,-0.28235453367233276,-0.2811107635498047,0.0006218850612640381,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0178,0.319375,0.9822,1.0
QL-XII-47,-0.2808917462825775,-0.2722204302748044,-0.4003298878669739,-0.13448521494865417,0.10881470020311068,6,6,1.0,,,0.0005,0.06132,0.9995,1.0
GDC-0980,-0.27690351009368896,-0.225314724445343,-0.37398332357406616,0.058955252170562744,0.15549959066629876,5,5,0.8,MTOR inhibitor,MTOR,0.0047,0.20014166666666666,0.9953,1.0
OBAA,-0.27457818388938904,-0.23898803939421973,-0.4583495855331421,0.08360370993614197,0.13696690400614348,12,12,0.9166666666666666,Phospholipase inhibitor,PLA2G1B,0.0001,0.017033333333333334,0.9999,1.0
amikacin,-0.27136868238449097,-0.27136868238449097,-0.27735233306884766,-0.2653850317001343,0.0059836506843566895,2,2,1.0,,,0.0238,0.3577,0.9762,1.0
cefotiam,-0.27004650235176086,-0.27004650235176086,-0.28098636865615845,-0.2591066360473633,0.010939866304397583,2,2,1.0,,,0.0246,0.35911944444444444,0.9754,1.0
sulbactam,-0.27003568410873413,-0.27003568410873413,-0.27003568410873413,-0.27003568410873413,0.0,1,1,1.0,,,0.0959,0.6049987654320987,0.9044,1.0
tunicamycin,-0.26898660510778427,-0.26898660510778427,-0.3362210988998413,-0.20175211131572723,0.06723449379205704,2,2,1.0,GLCNAC phosphotransferase inhibitor,GNPTAB,0.0253,0.35911944444444444,0.9747,1.0
sulmazole,-0.26605018973350525,-0.2448951005935669,-0.31105345487594604,-0.14003893733024597,0.05779041364966755,5,5,1.0,,,0.0092,0.22386666666666666,0.9909,1.0
ceramide,-0.26497402787208557,-0.16612898026193892,-0.3674832284450531,0.1534501314163208,0.18803720929953308,7,7,0.7142857142857143,,,0.003,0.18907000000000002,0.997,1.0
GSK-1059615,-0.2631029784679413,-0.2573517007487161,-0.3883679509162903,-0.11478471755981445,0.07872979913565063,21,21,1.0,,,0.0001,0.017033333333333334,1.0,1.0
artesunate,-0.26279470324516296,-0.2766748517751694,-0.3895359933376312,-0.16052347421646118,0.08332442388917927,7,7,1.0,,,0.0035,0.18907000000000002,0.9967,1.0
azacitidine,-0.2571219801902771,-0.19786213586727777,-0.44524121284484863,0.22472962737083435,0.186954039528495,12,12,0.8333333333333334,DNA methyltransferase inhibitor,DNMT1,0.0006,0.06132,0.9994,1.0
dihydrexidine,-0.2517223507165909,-0.24622133746743202,-0.3337118625640869,-0.09407854080200195,0.07505366826866719,8,8,1.0,Dopamine receptor agonist,DRD1,0.0029,0.18907000000000002,0.9971,1.0
idarubicin,-0.2491942048072815,-0.2166187678064619,-0.27817976474761963,-0.10472637414932251,0.06144396993345157,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0057,0.20805,0.9943,1.0
staurosporine,-0.24854803085327148,-0.2442191280424595,-0.32270169258117676,-0.1416720747947693,0.05691260044064784,8,8,1.0,PKC inhibitor,CDK2,0.0037,0.18907000000000002,0.9963,1.0
HG-5-113-01,-0.24420560896396637,-0.20090399434169134,-0.3438892364501953,0.15335820615291595,0.1679314434555723,6,6,0.8333333333333334,,,0.0092,0.22386666666666666,0.9908,1.0
