drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
emetine,-0.20019470155239105,-0.15305808596313,-0.2527579665184021,0.059295911341905594,0.0924131733636582,10,10,0.9,Protein synthesis inhibitor,RPS2,0.0001,0.0511,1.0,1.0
dopamine,-0.18944674730300903,-0.18944674730300903,-0.22696298360824585,-0.15193051099777222,0.037516236305236816,2,2,1.0,Dopamine receptor agonist,DRD1,0.0028,0.2384666666666667,0.9972,1.0
JW-7-24-1,-0.1763465404510498,-0.18303050398826598,-0.33484750986099243,-0.09831279516220093,0.08208393937078118,5,5,1.0,,,0.0006,0.07665,0.9994,1.0
QL-XII-47,-0.17054671049118042,-0.17008705685536066,-0.2320733219385147,-0.09782609343528748,0.03922275135573354,6,6,1.0,,,0.0002,0.0511,0.9998,1.0
levobunolol,-0.1572030782699585,-0.12670342127482095,-0.16588252782821655,-0.05702465772628784,0.049397576043080475,3,3,1.0,Adrenergic receptor antagonist,ADRB1,0.0122,0.5195166666666667,0.9878,1.0
diflorasone,-0.14787476509809494,-0.14787476509809494,-0.2220960557460785,-0.07365347445011139,0.07422129064798355,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0273,0.6408791666666667,0.9727,1.0
indirubin,-0.14004704356193542,-0.12534473463892937,-0.1807267665863037,-0.0449383407831192,0.04939132129202129,8,8,1.0,CDK inhibitor,CDK5,0.0012,0.12264,0.9988,1.0
metoprolol,-0.1393575668334961,-0.1393575668334961,-0.1456034779548645,-0.13311165571212769,0.006245911121368408,2,2,1.0,Adrenergic receptor antagonist,ADRB1,0.0394,0.681654716981132,0.9606,1.0
QL-X-138,-0.13116483390331268,-0.13751893242200217,-0.27944520115852356,0.047777414321899414,0.11200505454660412,6,6,0.8333333333333334,,,0.0066,0.34237,0.9935,1.0
rutin,-0.13059699535369873,-0.08331253322271201,-0.1744808554649353,0.07949382066726685,0.09096116942579334,13,13,0.7692307692307693,Antioxidant,AKR1C3,0.0004,0.06813333333333334,0.9996,1.0
reboxetine,-0.12800128757953644,-0.06525216145174843,-0.16490915417671204,0.11202138662338257,0.11077798658690502,7,7,0.7142857142857143,Adrenergic receptor antagonist,SLC6A2,0.0095,0.4413181818181818,0.9907,1.0
cefotaxime,-0.12783905863761902,-0.12783905863761902,-0.16928941011428833,-0.08638870716094971,0.04145035147666931,2,2,1.0,,,0.0603,0.681654716981132,0.9397,1.0
beclometasone,-0.12747402489185333,-0.12747402489185333,-0.1545262634754181,-0.10042178630828857,0.02705223858356476,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0611,0.681654716981132,0.9389,1.0
reserpine,-0.12727126479148865,-0.12727126479148865,-0.16069114208221436,-0.09385138750076294,0.03341987729072571,2,2,1.0,Vesicular monoamine transporter inhibitor,SLC18A1,0.0617,0.681654716981132,0.9383,1.0
PD-166793,-0.12560836970806122,-0.12560836970806122,-0.17658987641334534,-0.0746268630027771,0.05098150670528412,2,2,1.0,Collagenase inhibitor,MMP2,0.0644,0.681654716981132,0.9356,1.0
