drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
dopamine,-0.14713886380195618,-0.14713886380195618,-0.15693074464797974,-0.13734698295593262,0.00979188084602356,2,2,1.0,Dopamine receptor agonist,DRD1,0.0019,0.1213625,0.9981,1.0
emetine,-0.13917559385299683,-0.12313341200351716,-0.14955735206604004,-0.056540995836257935,0.02954159186279679,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0001,0.017033333333333334,1.0,1.0
JW-7-24-1,-0.1379776895046234,-0.09011014699935913,-0.18182513117790222,0.09107479453086853,0.0994341843781245,5,5,0.8,,,0.0001,0.017033333333333334,0.9999,1.0
indirubin,-0.13065102696418762,-0.09655517898499966,-0.18883322179317474,0.07940536737442017,0.09627728059241802,8,8,0.75,CDK inhibitor,CDK5,0.0001,0.017033333333333334,1.0,1.0
QL-XII-47,-0.12849754095077515,-0.07807119935750961,-0.18945437669754028,0.07146984338760376,0.09866185912690066,6,6,0.6666666666666666,,,0.0003,0.03066,0.9997,1.0
QL-X-138,-0.12080016732215881,-0.11991419394810994,-0.20428606867790222,-0.05180460214614868,0.049109094716794525,6,6,1.0,,,0.0006,0.0511,0.9994,1.0
demeclocycline,-0.12017552554607391,-0.12017552554607391,-0.18331122398376465,-0.05703982710838318,0.06313569843769073,2,2,1.0,,,0.0176,0.6162058823529412,0.9824,1.0
securinine,-0.11731612682342529,-0.11731612682342529,-0.11731612682342529,-0.11731612682342529,0.0,1,1,1.0,TP53 activator,GABRA1,0.0764,0.7867999999999999,0.924,1.0
losartan,-0.11544954776763916,-0.07410851120948792,-0.1385047435760498,0.07089030742645264,0.0775366591223445,5,5,0.8,Angiotensin receptor antagonist,AGTR1,0.0047,0.24017,0.9955,1.0
BH3I-1,-0.11436358094215393,-0.0856939647346735,-0.14124709367752075,0.07040448486804962,0.06398125788757504,8,8,0.875,BCL inhibitor,BCL2L1,0.0003,0.03066,0.9997,1.0
ampicillin,-0.11131131649017334,-0.08049108584721883,-0.17228376865386963,0.042121827602386475,0.09020293745831806,3,3,0.6666666666666666,,,0.0267,0.6643,0.9733,1.0
OMDM-2,-0.11027827858924866,-0.11027827858924866,-0.1534062623977661,-0.0671502947807312,0.043127983808517456,2,2,1.0,,,0.0312,0.6643,0.9688,1.0
olopatadine,-0.10497686266899109,-0.10497686266899109,-0.1680331826210022,-0.04192054271697998,0.06305631995201111,2,2,1.0,Histamine receptor antagonist,HRH1,0.0425,0.7488793103448276,0.9575,1.0
tranilast,-0.10296329855918884,-0.05492772800581796,-0.12636595964431763,0.1022336483001709,0.08767149595231713,7,7,0.7142857142857143,,,0.0066,0.3066,0.9934,1.0
apigenin,-0.09881812334060669,-0.09057741325635177,-0.17963455617427826,0.13111889362335205,0.07024352358820649,13,13,0.9230769230769231,,,0.0008,0.0584,0.9993,1.0
mephentermine,-0.09628379344940186,-0.09628379344940186,-0.1086357831954956,-0.0839318037033081,0.01235198974609375,2,2,1.0,,,0.066,0.7864956521739132,0.934,1.0
GSK-690693,-0.09568563103675842,-0.04279152055581411,-0.12779957056045532,0.14130350947380066,0.10167121672491417,6,6,0.6666666666666666,Akt inhibitor,AKT3,0.0128,0.5031384615384615,0.9872,1.0
ivermectin,-0.09534402191638947,-0.09534402191638947,-0.11697471141815186,-0.07371333241462708,0.02163068950176239,2,2,1.0,,,0.0686,0.7864956521739132,0.9314,1.0
ascorbic-acid,-0.09252184629440308,-0.08886757493019104,-0.11035743355751038,-0.06372344493865967,0.019212799518866747,3,3,1.0,Antioxidant,SLC23A1,0.0689,0.7864956521739132,0.9313,1.0
cefotaxime,-0.08973529934883118,-0.08973529934883118,-0.11472213268280029,-0.06474846601486206,0.024986833333969116,2,2,1.0,,,0.0866,0.7867999999999999,0.9134,1.0
enalapril,-0.08960950374603271,-0.056879907846450806,-0.1400446891784668,0.06385186314582825,0.07486067750642841,7,7,0.7142857142857143,Angiotensin converting enzyme inhibitor,ACE,0.0205,0.6162058823529412,0.9796,1.0
