drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
securinine,-0.26861175894737244,-0.26861175894737244,-0.26861175894737244,-0.26861175894737244,0.0,1,1,1.0,TP53 activator,GABRA1,0.0332,0.3770044444444444,0.9669,1.0
cymarin,-0.2613515853881836,-0.2613515853881836,-0.2613515853881836,-0.2613515853881836,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0377,0.40134791666666664,0.9625,1.0
asiatic-acid,-0.2574434280395508,-0.2574434280395508,-0.2717980444431305,-0.24308881163597107,0.014354616403579712,2,2,1.0,,,0.0081,0.2434764705882353,0.9919,1.0
GDC-0980,-0.2519572973251343,-0.2397346615791321,-0.27894213795661926,-0.1631350815296173,0.0408164948471277,5,5,1.0,MTOR inhibitor,MTOR,0.0017,0.08686999999999999,0.9983,1.0
bortezomib,-0.2500840276479721,-0.23852585007747015,-0.2879325747489929,-0.16227957606315613,0.04131342580382519,12,12,1.0,Proteasome inhibitor,PSMB1,0.0001,0.012775,1.0,1.0
ivermectin,-0.24996817111968994,-0.24996817111968994,-0.2653898596763611,-0.2345464825630188,0.015421688556671143,2,2,1.0,,,0.0111,0.2519758620689655,0.9889,1.0
staurosporine,-0.2483152449131012,-0.24847061187028885,-0.2942660450935364,-0.1911073923110962,0.034283356279474604,8,8,1.0,PKC inhibitor,CDK2,0.0003,0.03066,0.9997,1.0
NSC-632839,-0.24693626165390015,-0.2229950659804874,-0.28052595257759094,-0.09848903119564056,0.054870739240036194,9,9,1.0,Ubiquitin specific protease inhibitor,SENP2,0.0001,0.012775,0.9999,1.0
fluvastatin,-0.24542364478111267,-0.24542364478111267,-0.26107731461524963,-0.2297699749469757,0.015653669834136963,2,2,1.0,HMGCR inhibitor,HMGCR,0.0136,0.2519758620689655,0.9864,1.0
naftifine,-0.24477940797805786,-0.24477940797805786,-0.24477940797805786,-0.24477940797805786,0.0,1,1,1.0,,,0.0686,0.531130303030303,0.9319,1.0
