drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
fluvastatin,-0.6340601444244385,-0.6340601444244385,-0.6431552171707153,-0.6249650716781616,0.009095072746276855,2,2,1.0,HMGCR inhibitor,HMGCR,0.0001,0.004258333333333334,0.9999,1.0
GDC-0980,-0.6165133714675903,-0.5518355011940003,-0.725432276725769,-0.2524622678756714,0.162657439697086,5,5,1.0,MTOR inhibitor,MTOR,0.0001,0.004258333333333334,1.0,1.0
ivermectin,-0.5706765949726105,-0.5706765949726105,-0.5732304453849792,-0.5681227445602417,0.0025538504123687744,2,2,1.0,,,0.0012,0.02555,0.9988,1.0
JW-7-24-1,-0.5625841617584229,-0.4207346737384796,-0.6388106346130371,0.11279594898223877,0.2746966941844288,5,5,0.8,,,0.0001,0.004258333333333334,0.9999,1.0
thapsigargin,-0.5618410706520081,-0.47838840550846523,-0.7260489463806152,-0.13514909148216248,0.1954776332611184,9,9,1.0,ATPase inhibitor,ATP2A1,0.0001,0.004258333333333334,1.0,1.0
simvastatin,-0.49760404229164124,-0.3512685365147061,-0.614051103591919,0.06763166189193726,0.23514492498023415,9,9,0.8888888888888888,HMGCR inhibitor,HMGCR,0.0001,0.004258333333333334,1.0,1.0
asiatic-acid,-0.49656563997268677,-0.49656563997268677,-0.5099301934242249,-0.4832010865211487,0.013364553451538086,2,2,1.0,,,0.0055,0.07026249999999999,0.9945,1.0
nutlin-3,-0.4746882766485214,-0.4020169135183096,-0.7112535238265991,0.22004544734954834,0.30510512092203945,8,8,0.875,MDM inhibitor,MDM2,0.0001,0.004258333333333334,1.0,1.0
topotecan,-0.4712962210178375,-0.40821759237183464,-0.5512182712554932,0.09494078159332275,0.1887099370750587,9,9,0.8888888888888888,Topoisomerase inhibitor,TOP1,0.0001,0.004258333333333334,1.0,1.0
camptothecin,-0.46489547193050385,-0.4459839537739754,-0.5891771912574768,-0.2813265323638916,0.08264352742822473,8,8,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.004258333333333334,1.0,1.0
sunitinib,-0.4599839895963669,-0.39294026494026185,-0.6668506860733032,0.11979025602340698,0.2505920423673558,10,10,0.9,KIT inhibitor,FLT1,0.0001,0.004258333333333334,1.0,1.0
WHI-P154,-0.43908044695854187,-0.43908044695854187,-0.43967747688293457,-0.43848341703414917,0.0005970299243927002,2,2,1.0,JAK inhibitor,EGFR,0.0141,0.15010625,0.9859,1.0
verteporfin,-0.4267089515924454,-0.4267089515924454,-0.4370364248752594,-0.41638147830963135,0.010327473282814026,2,2,1.0,,,0.0173,0.1700057692307692,0.9827,1.0
niguldipine,-0.4201965034008026,-0.45696452756722766,-0.7036024332046509,-0.04708226025104523,0.19935125053011757,9,9,1.0,Calcium channel blocker,ADRA1A,0.0004,0.012023529411764705,0.9996,1.0
triptolide,-0.41853758692741394,-0.3989750019141606,-0.4638274312019348,-0.3300965428352356,0.04869278121943028,7,7,1.0,,,0.0008,0.02044,0.9992,1.0
mevastatin,-0.41714683175086975,-0.3343747705221176,-0.6012861728668213,0.09808075428009033,0.28516310368105857,4,4,0.75,HMGCR inhibitor,HMGCR,0.0045,0.06051315789473683,0.9955,1.0
pitavastatin,-0.4146762490272522,-0.4002564921975136,-0.6227819919586182,-0.10710994899272919,0.19014384700283551,6,6,1.0,HMGCR inhibitor,HMGCR,0.0015,0.027375000000000003,0.9985,1.0
bortezomib,-0.4101800173521042,-0.3929180974761645,-0.47667956352233887,-0.30173641443252563,0.051770217241831354,12,12,1.0,Proteasome inhibitor,PSMB1,0.0001,0.004258333333333334,1.0,1.0
artesunate,-0.4090617895126343,-0.35555131307670046,-0.5496736168861389,-0.09232501685619354,0.13707079549066073,7,7,1.0,,,0.001,0.022217391304347828,0.9991,1.0
idarubicin,-0.4040735960006714,-0.38130612884249004,-0.49344703555107117,-0.23637858033180237,0.07624015162823425,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0014,0.0264962962962963,0.9986,1.0
amsacrine,-0.4025454819202423,-0.3796424354825701,-0.6826648712158203,0.11499828100204468,0.26524628063189615,7,7,0.8571428571428571,Topoisomerase inhibitor,TOP2A,0.0014,0.0264962962962963,0.9986,1.0
