drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
apicidin,-0.21776296198368073,-0.21776296198368073,-0.2991315722465515,-0.13639435172080994,0.08136861026287079,2,2,1.0,HDAC inhibitor,HDAC6,0.0054,0.370475,0.9946,1.0
cefotiam,-0.19477064907550812,-0.19477064907550812,-0.24426060914993286,-0.14528068900108337,0.049489960074424744,2,2,1.0,,,0.0108,0.523775,0.9892,1.0
sulbactam,-0.18092873692512512,-0.18092873692512512,-0.18092873692512512,-0.18092873692512512,0.0,1,1,1.0,,,0.061,0.7153999999999999,0.9394,1.0
dinoprost,-0.17593435943126678,-0.17593435943126678,-0.274174302816391,-0.07769441604614258,0.0982399433851242,2,2,1.0,Prostacyclin analog,PTGDR,0.0197,0.5701684210526315,0.9803,1.0
demeclocycline,-0.1742962822318077,-0.1742962822318077,-0.18260076642036438,-0.16599179804325104,0.008304484188556671,2,2,1.0,,,0.0203,0.5701684210526315,0.9797,1.0
emetine,-0.17357037961483002,-0.18905743956565857,-0.35353735089302063,-0.10106411576271057,0.07754378303332131,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0003,0.0511,0.9997,1.0
guanethidine,-0.1710665076971054,-0.1710665076971054,-0.18094861507415771,-0.1611844003200531,0.009882107377052307,2,2,1.0,,,0.0233,0.5812625,0.9767,1.0
ascorbic-acid,-0.1584496796131134,-0.10161539912223816,-0.24314653873443604,0.09675002098083496,0.1444645732945297,3,3,0.6666666666666666,Antioxidant,SLC23A1,0.0271,0.5812625,0.9731,1.0
QL-X-138,-0.15729168057441711,-0.14893588920434317,-0.4350507855415344,0.11989960074424744,0.16535078739425776,6,6,0.8333333333333334,,,0.0036,0.370475,0.9964,1.0
nifedipine,-0.15383434295654297,-0.11159879820687431,-0.17957958579063416,0.09046605229377747,0.08540090053410292,7,7,0.8571428571428571,Calcium channel blocker,CACNA1C,0.0048,0.370475,0.9952,1.0
alfaxalone,-0.1516292691230774,-0.1516292691230774,-0.1516292691230774,-0.1516292691230774,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.1183,0.777489247311828,0.8818,1.0
HG-5-113-01,-0.1505780667066574,-0.11001557608445485,-0.22555756568908691,0.1615966260433197,0.1286244307668047,6,6,0.8333333333333334,,,0.0055,0.370475,0.9945,1.0
tanespimycin,-0.14888787269592285,-0.13795967243219676,-0.3213805556297302,0.11709532141685486,0.09642628728135885,19,19,0.8947368421052632,HSP inhibitor,HSP90AA1,0.0001,0.0511,1.0,1.0
metoprolol,-0.14741454273462296,-0.14741454273462296,-0.24200260639190674,-0.05282647907733917,0.09458806365728378,2,2,1.0,Adrenergic receptor antagonist,ADRB1,0.0495,0.6451375,0.9505,1.0
carbidopa,-0.14667373895645142,-0.14667373895645142,-0.17458844184875488,-0.11875903606414795,0.027914702892303467,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0505,0.6451375,0.9495,1.0
diflorasone,-0.14216352254152298,-0.14216352254152298,-0.18527428805828094,-0.09905275702476501,0.043110765516757965,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0577,0.7153999999999999,0.9423,1.0
megestrol-acetate,-0.13717322051525116,-0.10359237343072891,-0.22888994216918945,0.08886688947677612,0.11733677074875078,4,4,0.75,DNA inhibitor,PGR,0.0273,0.5812625,0.9727,1.0
