drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
QL-XII-47,-0.20135299861431122,-0.18718634794155756,-0.29557108879089355,-0.09524659812450409,0.06693665857737659,6,6,1.0,,,0.0001,0.017033333333333334,1.0,1.0
alfaxalone,-0.19447439908981323,-0.19447439908981323,-0.19447439908981323,-0.19447439908981323,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.0334,0.46128108108108107,0.9667,1.0
perindopril,-0.18943870067596436,-0.18943870067596436,-0.18943870067596436,-0.18943870067596436,0.0,1,1,1.0,Angiotensin converting enzyme inhibitor,ACE,0.0374,0.5029315789473684,0.9629,1.0
PIK-75,-0.17347502708435059,-0.13207548360029855,-0.24330949783325195,0.15873782336711884,0.11356926811440196,9,9,0.8888888888888888,PI3K inhibitor,PIK3CA,0.0001,0.017033333333333334,1.0,1.0
carbidopa,-0.17256325483322144,-0.17256325483322144,-0.20663529634475708,-0.1384912133216858,0.034072041511535645,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0146,0.32174074074074077,0.9854,1.0
biotin,-0.16919534653425217,-0.16919534653425217,-0.20874759554862976,-0.12964309751987457,0.039552249014377594,2,2,1.0,,,0.0166,0.32174074074074077,0.9834,1.0
ZG-10,-0.16918398439884186,-0.16918398439884186,-0.269857257604599,-0.06851071119308472,0.10067327320575714,2,2,1.0,,,0.0166,0.32174074074074077,0.9834,1.0
tribenoside,-0.16869401931762695,-0.16869401931762695,-0.21449381113052368,-0.12289422750473022,0.04579979181289673,2,2,1.0,,,0.0168,0.32174074074074077,0.9832,1.0
dantrolene,-0.16858695447444916,-0.16858695447444916,-0.2445814311504364,-0.09259247779846191,0.07599447667598724,2,2,1.0,Calcium channel blocker,RYR1,0.017,0.32174074074074077,0.983,1.0
ambrisentan,-0.16353502869606018,-0.16353502869606018,-0.17079493403434753,-0.15627512335777283,0.0072599053382873535,2,2,1.0,Endothelin receptor antagonist,EDNRA,0.0221,0.40332500000000004,0.9779,1.0
dactinomycin,-0.16316676139831543,-0.17603179812431335,-0.30575600266456604,-0.1000746488571167,0.056227135091556295,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0001,0.017033333333333334,1.0,1.0
staurosporine,-0.16313107311725616,-0.1789710409939289,-0.3148442804813385,-0.1400778591632843,0.05252190983364132,8,8,1.0,PKC inhibitor,CDK2,0.0003,0.02555,0.9997,1.0
cymarin,-0.16229724884033203,-0.16229724884033203,-0.16229724884033203,-0.16229724884033203,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0722,0.6361068965517241,0.9282,1.0
ivermectin,-0.16125895082950592,-0.16125895082950592,-0.17985400557518005,-0.1426638960838318,0.018595054745674133,2,2,1.0,,,0.0237,0.41199375,0.9763,1.0
digitoxigenin,-0.15789258480072021,-0.15789258480072021,-0.1898798942565918,-0.12590527534484863,0.03198730945587158,2,2,1.0,,,0.0269,0.41654242424242427,0.9731,1.0
pancuronium,-0.1549026370048523,-0.1549026370048523,-0.1549026370048523,-0.1549026370048523,0.0,1,1,1.0,,,0.0866,0.7018735294117646,0.9137,1.0
vicriviroc,-0.15099935233592987,-0.14030066629250845,-0.184925377368927,-0.07236534357070923,0.04099021772909861,6,6,1.0,CCK receptor antagonist,CCR5,0.0028,0.1168,0.9972,1.0
triptolide,-0.14994806051254272,-0.15911559547696794,-0.3261096477508545,-0.08749186992645264,0.0718534276288951,7,7,1.0,,,0.0026,0.1168,0.9976,1.0
doxorubicin,-0.14703112840652466,-0.12999468499963934,-0.3299221098423004,0.07225501537322998,0.09462572271109151,11,11,0.9090909090909091,Topoisomerase inhibitor,TOP2A,0.0002,0.02555,0.9998,1.0
