drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
QL-XII-47,-0.21584847569465637,-0.21748971939086914,-0.2856813669204712,-0.14694353938102722,0.04522145916871858,6,6,1.0,,,0.0001,0.0073,1.0,1.0
ivermectin,-0.2010561227798462,-0.2010561227798462,-0.23109343647956848,-0.1710188090801239,0.03003731369972229,2,2,1.0,,,0.0017,0.07897272727272726,0.9983,1.0
carbidopa,-0.18304184079170227,-0.18304184079170227,-0.19080141186714172,-0.17528226971626282,0.007759571075439453,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0061,0.22265000000000001,0.9939,1.0
JW-7-24-1,-0.18132057785987854,-0.16029656529426575,-0.21236535906791687,-0.08323168754577637,0.05026748455012231,5,5,1.0,,,0.0006,0.03406666666666666,0.9994,1.0
digitoxigenin,-0.1770392656326294,-0.1770392656326294,-0.20711874961853027,-0.14695978164672852,0.03007948398590088,2,2,1.0,,,0.008,0.23846666666666666,0.992,1.0
isradipine,-0.17398762702941895,-0.1089913717338017,-0.23028552532196045,0.08328032493591309,0.11970468997014036,7,7,0.7142857142857143,Calcium channel blocker,CACNA1C,0.0001,0.0073,0.9999,1.0
perindopril,-0.17231342196464539,-0.17231342196464539,-0.17231342196464539,-0.17231342196464539,0.0,1,1,1.0,Angiotensin converting enzyme inhibitor,ACE,0.0536,0.48910000000000003,0.9465,1.0
alfaxalone,-0.1711648404598236,-0.1711648404598236,-0.1711648404598236,-0.1711648404598236,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.0546,0.4894842105263158,0.9457,1.0
AT-CSC-07,-0.16873136162757874,-0.11333226598799229,-0.19433486461639404,0.14612263441085815,0.10703877367507392,8,8,0.875,,,0.0001,0.0073,0.9999,1.0
pancuronium,-0.16687536239624023,-0.16687536239624023,-0.16687536239624023,-0.16687536239624023,0.0,1,1,1.0,,,0.0608,0.5093245901639344,0.9395,1.0
amikacin,-0.1656067669391632,-0.1656067669391632,-0.18482157588005066,-0.14639195799827576,0.01921480894088745,2,2,1.0,,,0.0147,0.2928423076923077,0.9853,1.0
tribenoside,-0.16519954800605774,-0.16519954800605774,-0.20833876729011536,-0.12206032872200012,0.04313921928405762,2,2,1.0,,,0.0149,0.2928423076923077,0.9851,1.0
benzatropine,-0.16495782136917114,-0.16495782136917114,-0.16495782136917114,-0.16495782136917114,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.0641,0.5199222222222222,0.936,1.0
ambrisentan,-0.16219663619995117,-0.16219663619995117,-0.17211228609085083,-0.1522809863090515,0.009915649890899658,2,2,1.0,Endothelin receptor antagonist,EDNRA,0.0171,0.3066,0.9829,1.0
bortezomib,-0.15506812930107117,-0.1494302973151207,-0.2165055274963379,-0.04903632402420044,0.04136490231975857,12,12,1.0,Proteasome inhibitor,PSMB1,0.0001,0.0073,0.9999,1.0
biotin,-0.15410447120666504,-0.15410447120666504,-0.16846203804016113,-0.13974690437316895,0.014357566833496094,2,2,1.0,,,0.0233,0.34894000000000003,0.9767,1.0
emetine,-0.15230205655097961,-0.17217877358198166,-0.23923426866531372,-0.123247891664505,0.03945317256488939,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0001,0.0073,0.9999,1.0
ouabain,-0.14912396669387817,-0.10988203542573112,-0.26211875677108765,0.07289749383926392,0.09548091077202833,14,14,0.7857142857142857,ATPase inhibitor,ATP1A1,0.0001,0.0073,0.9999,1.0
manumycin-a,-0.14594095945358276,-0.11017961693661553,-0.22272875905036926,0.19932836294174194,0.11013716436130495,14,14,0.8571428571428571,NFKB pathway inhibitor,FNTA,0.0001,0.0073,0.9999,1.0
staurosporine,-0.1418689489364624,-0.15074830129742622,-0.23007136583328247,-0.125515878200531,0.0320945837979161,8,8,1.0,PKC inhibitor,CDK2,0.0016,0.07897272727272726,0.9984,1.0
cefotiam,-0.14156067371368408,-0.14156067371368408,-0.1501297950744629,-0.13299155235290527,0.008569121360778809,2,2,1.0,,,0.0409,0.44515961538461535,0.9591,1.0
roxithromycin,-0.13937703520059586,-0.13937703520059586,-0.18090850114822388,-0.09784556925296783,0.04153146594762802,2,2,1.0,,,0.0444,0.44515961538461535,0.9556,1.0
