drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
digitoxin,-0.2692148983478546,-0.2692148983478546,-0.2692148983478546,-0.2692148983478546,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0143,0.20878,0.986,1.0
benzatropine,-0.2544086277484894,-0.2544086277484894,-0.2544086277484894,-0.2544086277484894,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.0233,0.31184102564102567,0.9771,1.0
QL-XII-47,-0.24137189984321594,-0.23283031582832336,-0.33210599422454834,-0.14906993508338928,0.05903694823196405,6,6,1.0,,,0.0001,0.0063875,1.0,1.0
ouabain,-0.23543140292167664,-0.21642804145812988,-0.44125717878341675,0.0921173095703125,0.11273941977835643,14,14,0.9285714285714286,ATPase inhibitor,ATP1A1,0.0001,0.0063875,1.0,1.0
cymarin,-0.23389136791229248,-0.23389136791229248,-0.23389136791229248,-0.23389136791229248,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0421,0.4137134615384615,0.9581,1.0
emetine,-0.23028309643268585,-0.23231423199176787,-0.3495488166809082,-0.11375206708908081,0.0710681738909882,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0001,0.0063875,1.0,1.0
withaferin-a,-0.22946003079414368,-0.1761555704805586,-0.26111122965812683,0.1297002136707306,0.11690643613706433,9,9,0.8888888888888888,IKK inhibitor,NAMPT,0.0001,0.0063875,1.0,1.0
carbidopa,-0.22634555399417877,-0.22634555399417877,-0.26821935176849365,-0.1844717562198639,0.04187379777431488,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0108,0.18132258064516127,0.9892,1.0
tunicamycin,-0.2171604335308075,-0.2171604335308075,-0.24445348978042603,-0.18986737728118896,0.02729305624961853,2,2,1.0,GLCNAC phosphotransferase inhibitor,GNPTAB,0.0136,0.20439999999999997,0.9864,1.0
pancuronium,-0.21495214104652405,-0.21495214104652405,-0.21495214104652405,-0.21495214104652405,0.0,1,1,1.0,,,0.0602,0.48864375,0.9402,1.0
penitrem-a,-0.2110154628753662,-0.2110154628753662,-0.2110154628753662,-0.2110154628753662,0.0,1,1,1.0,Potassium channel blocker,KCNMA1,0.0639,0.4947409090909091,0.9365,1.0
JW-7-24-1,-0.20912599563598633,-0.21374231576919556,-0.24499118328094482,-0.19463622570037842,0.017878317611074033,5,5,1.0,,,0.0039,0.11722941176470587,0.9961,1.0
vicriviroc,-0.20497684180736542,-0.14907571921745935,-0.2370968759059906,0.06150248646736145,0.10385584293493934,6,6,0.8333333333333334,CCK receptor antagonist,CCR5,0.0011,0.04684166666666667,0.9989,1.0
asiatic-acid,-0.20043320953845978,-0.20043320953845978,-0.25303760170936584,-0.1478288173675537,0.05260439217090607,2,2,1.0,,,0.0279,0.34957045454545455,0.9721,1.0
SB-205607,-0.19695599377155304,-0.15432525798678398,-0.2341596782207489,0.11095046997070312,0.1082347902546912,8,8,0.875,Delta 1 opioid receptor agonist,OPRD1,0.0005,0.02555,0.9995,1.0
roxithromycin,-0.18974770605564117,-0.18974770605564117,-0.19528517127037048,-0.18421024084091187,0.005537465214729309,2,2,1.0,,,0.0387,0.41199375,0.9613,1.0
sulpiride,-0.18955254554748535,-0.11717438101768493,-0.20350682735443115,0.0981357991695404,0.11462116752674656,5,5,0.8,Dopamine receptor antagonist,DRD2,0.011,0.18132258064516127,0.9891,1.0
securinine,-0.1893024444580078,-0.1893024444580078,-0.1893024444580078,-0.1893024444580078,0.0,1,1,1.0,TP53 activator,GABRA1,0.1052,0.6725012345679012,0.8949,1.0
digitoxigenin,-0.1873806118965149,-0.1873806118965149,-0.1902117133140564,-0.1845495104789734,0.002831101417541504,2,2,1.0,,,0.0415,0.4137134615384615,0.9585,1.0
bortezomib,-0.18605323135852814,-0.2020802547534307,-0.2742469310760498,-0.13454222679138184,0.04569811649693092,12,12,1.0,Proteasome inhibitor,PSMB1,0.0001,0.0063875,1.0,1.0
vinblastine,-0.18466290831565857,-0.1711674424318167,-0.3240051567554474,0.17226916551589966,0.10900598943589108,13,13,0.9230769230769231,Tubulin inhibitor,TUBB,0.0002,0.011355555555555556,0.9998,1.0
ivermectin,-0.18157058209180832,-0.18157058209180832,-0.19870112836360931,-0.16444003582000732,0.017130546271800995,2,2,1.0,,,0.0499,0.46254310344827587,0.9501,1.0
SN-38,-0.181378573179245,-0.13726584613323212,-0.24141302704811096,0.11822706460952759,0.11971611428931711,6,6,0.8333333333333334,Topoisomerase inhibitor,TOP1,0.0057,0.14563500000000001,0.9943,1.0
ambrisentan,-0.18048231303691864,-0.18048231303691864,-0.20938009023666382,-0.15158453583717346,0.028897777199745178,2,2,1.0,Endothelin receptor antagonist,EDNRA,0.0517,0.46254310344827587,0.9483,1.0
azacitidine,-0.18042390048503876,-0.1629813238978386,-0.25303876399993896,0.1268492341041565,0.10032182438266667,12,12,0.9166666666666666,DNA methyltransferase inhibitor,DNMT1,0.0001,0.0063875,1.0,1.0
digoxin,-0.1799355000257492,-0.19540045410394669,-0.3881601095199585,-0.11795538663864136,0.06898444015273188,12,12,1.0,ATPase inhibitor,ATP1A1,0.0001,0.0063875,1.0,1.0
paclitaxel,-0.17664888501167297,-0.09105355168382327,-0.24282091856002808,0.22586879134178162,0.16849226876297477,12,12,0.75,Tubulin inhibitor,TUBB,0.0001,0.0063875,0.9999,1.0
