drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
ivermectin,-0.48048651218414307,-0.48048651218414307,-0.48638248443603516,-0.474590539932251,0.00589597225189209,2,2,1.0,,,0.0006,0.013936363636363636,0.9994,1.0
fluvastatin,-0.47265173494815826,-0.47265173494815826,-0.47874340415000916,-0.4665600657463074,0.006091669201850891,2,2,1.0,HMGCR inhibitor,HMGCR,0.0008,0.017033333333333334,0.9992,1.0
GDC-0980,-0.4701300263404846,-0.42410118579864503,-0.5472346544265747,-0.24706557393074036,0.10707587326883351,5,5,1.0,MTOR inhibitor,MTOR,0.0001,0.00365,0.9999,1.0
topotecan,-0.4558694660663605,-0.4102712207370334,-0.503107488155365,-0.07258725166320801,0.12487929637983253,9,9,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.00365,1.0,1.0
JW-7-24-1,-0.44861751794815063,-0.30740296840667725,-0.4540104866027832,0.14156609773635864,0.22969216926449065,5,5,0.8,,,0.0002,0.0063875,0.9999,1.0
epirubicin,-0.416179820895195,-0.40033457179864246,-0.42421242594718933,-0.3418335020542145,0.029205804539557165,6,6,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.00365,1.0,1.0
camptothecin,-0.4119212180376053,-0.42357581853866577,-0.5151938199996948,-0.35620611906051636,0.045763577092591184,8,8,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.00365,1.0,1.0
PIK-75,-0.4069772958755493,-0.29156157705518937,-0.425029456615448,0.35140523314476013,0.23766886993272787,9,9,0.8888888888888888,PI3K inhibitor,PIK3CA,0.0001,0.00365,1.0,1.0
doxorubicin,-0.4004512429237366,-0.34735801274126227,-0.44628188014030457,-0.11913785338401794,0.10584971283392906,11,11,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.00365,1.0,1.0
thapsigargin,-0.4002053737640381,-0.3964475558863746,-0.5357311964035034,-0.16787034273147583,0.12774430850672822,9,9,1.0,ATPase inhibitor,ATP2A1,0.0001,0.00365,1.0,1.0
triptolide,-0.39546632766723633,-0.388248690537044,-0.4740528464317322,-0.2852160930633545,0.05756391990794346,7,7,1.0,,,0.0002,0.0063875,0.9998,1.0
SN-38,-0.39299941062927246,-0.3602997163931529,-0.44299960136413574,-0.241446852684021,0.07716744238615299,6,6,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.00365,0.9999,1.0
asiatic-acid,-0.38913512229919434,-0.38913512229919434,-0.428938090801239,-0.34933215379714966,0.03980296850204468,2,2,1.0,,,0.0086,0.11877297297297296,0.9914,1.0
dactinomycin,-0.3812568187713623,-0.3768092725012038,-0.42703476548194885,-0.31756392121315,0.033732621838053915,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0001,0.00365,1.0,1.0
idarubicin,-0.38090139627456665,-0.3904339245387486,-0.48005712032318115,-0.32044142484664917,0.045386240574649066,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0005,0.012166666666666668,0.9995,1.0
niguldipine,-0.37857744097709656,-0.37767478161387974,-0.5248541235923767,-0.07721257209777832,0.14487059773032476,9,9,1.0,Calcium channel blocker,ADRA1A,0.0001,0.00365,1.0,1.0
WHI-P154,-0.37800294160842896,-0.37800294160842896,-0.4185693860054016,-0.3374364972114563,0.040566444396972656,2,2,1.0,JAK inhibitor,EGFR,0.0105,0.1341375,0.9895,1.0
lestaurtinib,-0.37794528901576996,-0.3607284426689148,-0.47178247570991516,-0.2174648940563202,0.09909624097861112,6,6,1.0,JAK inhibitor,FLT3,0.0003,0.008516666666666665,0.9997,1.0
nutlin-3,-0.3772081136703491,-0.3210308849811554,-0.5719165802001953,0.19165825843811035,0.23750730023526107,8,8,0.875,MDM inhibitor,MDM2,0.0001,0.00365,1.0,1.0
staurosporine,-0.3761272579431534,-0.37411367893218994,-0.4176996946334839,-0.31110554933547974,0.02936474018881622,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.00365,1.0,1.0
sunitinib,-0.3735449016094208,-0.3272485017776489,-0.5382165908813477,0.11842876672744751,0.2008476802863391,10,10,0.9,KIT inhibitor,FLT1,0.0001,0.00365,1.0,1.0
daunorubicin,-0.37119004130363464,-0.3300092231768828,-0.469215989112854,-0.1344504952430725,0.103613925880073,13,13,1.0,RNA synthesis inhibitor,TOP2A,0.0001,0.00365,0.9999,1.0
methotrexate,-0.3435043692588806,-0.16908788681030273,-0.3656507432460785,0.2018914520740509,0.2624777677944036,3,3,0.6666666666666666,Dihydrofolate reductase inhibitor,DHFR,0.0195,0.1744448275862069,0.9807,1.0
prothionamide,-0.3374106287956238,-0.3374106287956238,-0.3374106287956238,-0.3374106287956238,0.0,1,1,1.0,,,0.0838,0.4757977777777778,0.9162,1.0
amsacrine,-0.329313188791275,-0.3758555906159537,-0.5982275009155273,-0.12277472019195557,0.1496114636310325,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0021,0.035769999999999996,0.998,1.0
