drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
emetine,-0.2049686312675476,-0.20330086648464202,-0.2621808350086212,-0.14610104262828827,0.036809049295376164,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0001,0.008516666666666667,1.0,1.0
alfaxalone,-0.18774834275245667,-0.18774834275245667,-0.18774834275245667,-0.18774834275245667,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.0353,0.47469210526315786,0.9648,1.0
cymarin,-0.1828228235244751,-0.1828228235244751,-0.1828228235244751,-0.1828228235244751,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0447,0.5312023255813954,0.9554,1.0
QL-X-138,-0.17971999943256378,-0.18309196333090463,-0.2653886377811432,-0.09719231724739075,0.06652041473480083,6,6,1.0,,,0.0001,0.008516666666666667,0.9999,1.0
A-443654,-0.1735469102859497,-0.17146595228802075,-0.2344534993171692,-0.10524493455886841,0.03740164653421031,11,11,1.0,,,0.0001,0.008516666666666667,1.0,1.0
carbidopa,-0.17334476113319397,-0.17334476113319397,-0.18655455112457275,-0.16013497114181519,0.013209789991378784,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0117,0.213525,0.9883,1.0
GDC-0980,-0.1702393889427185,-0.1728619247674942,-0.2192964404821396,-0.12517523765563965,0.030084298081757974,5,5,1.0,MTOR inhibitor,MTOR,0.0024,0.08176,0.9976,1.0
digitoxin,-0.16947504878044128,-0.16947504878044128,-0.16947504878044128,-0.16947504878044128,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0681,0.6105105263157894,0.9323,1.0
staurosporine,-0.16885261237621307,-0.16698205098509789,-0.2039533257484436,-0.11646193265914917,0.023759616027352156,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.008516666666666667,0.9999,1.0
QL-XII-47,-0.16583894193172455,-0.1687308500210444,-0.23797395825386047,-0.10431623458862305,0.04374226428361277,6,6,1.0,,,0.0014,0.05961666666666667,0.9986,1.0
amsacrine,-0.16336274147033691,-0.14732000763927186,-0.1890605092048645,-0.05617532879114151,0.04212484231196286,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0008,0.04088,0.9992,1.0
guanethidine,-0.16159789264202118,-0.16159789264202118,-0.16888946294784546,-0.1543063223361969,0.00729157030582428,2,2,1.0,,,0.0223,0.31653611111111113,0.9777,1.0
HG-5-113-01,-0.15954941511154175,-0.12711783746878305,-0.2473609447479248,0.13672024011611938,0.12368416581198767,6,6,0.8333333333333334,,,0.0028,0.08416470588235295,0.9972,1.0
ouabain,-0.1572284698486328,-0.14932924721922194,-0.22611668705940247,0.0801917314529419,0.07771734003674048,14,14,0.9285714285714286,ATPase inhibitor,ATP1A1,0.0001,0.008516666666666667,1.0,1.0
sulbactam,-0.15639498829841614,-0.15639498829841614,-0.15639498829841614,-0.15639498829841614,0.0,1,1,1.0,,,0.0966,0.750075,0.9043,1.0
OBAA,-0.15409554541110992,-0.10908431808153789,-0.18267881870269775,0.08419813215732574,0.08869160245942595,12,12,0.8333333333333334,Phospholipase inhibitor,PLA2G1B,0.0002,0.0146,0.9998,1.0
penitrem-a,-0.15403221547603607,-0.15403221547603607,-0.15403221547603607,-0.15403221547603607,0.0,1,1,1.0,Potassium channel blocker,KCNMA1,0.1028,0.750075,0.8973,1.0
withaferin-a,-0.15189719200134277,-0.08532991343074375,-0.24121862649917603,0.17440712451934814,0.13415649630760587,9,9,0.7777777777777778,IKK inhibitor,NAMPT,0.0016,0.06289230769230769,0.9985,1.0
isradipine,-0.15168419480323792,-0.10215995354311806,-0.22588157653808594,0.07802808284759521,0.10961066133529132,7,7,0.7142857142857143,Calcium channel blocker,CACNA1C,0.0038,0.1022,0.9963,1.0
digoxin,-0.14525864273309708,-0.14255868333081403,-0.23216181993484497,-0.07123039662837982,0.05546272293265108,12,12,1.0,ATPase inhibitor,ATP1A1,0.0005,0.02838888888888889,0.9995,1.0
ceramide,-0.14495587348937988,-0.07635837367602757,-0.18493831157684326,0.1282576322555542,0.11621894070042725,7,7,0.7142857142857143,,,0.0071,0.15117083333333334,0.9931,1.0
bortezomib,-0.14424772560596466,-0.14599360960225263,-0.2311558723449707,-0.07711543887853622,0.04872451388014845,12,12,1.0,Proteasome inhibitor,PSMB1,0.0005,0.02838888888888889,0.9995,1.0
noretynodrel,-0.14319518208503723,-0.10070502216165717,-0.2126774787902832,0.18067127466201782,0.11204896547997928,11,11,0.8181818181818182,Progestogen hormone,PGR,0.0022,0.08030000000000001,0.9978,1.0
verteporfin,-0.14144901931285858,-0.14144901931285858,-0.18042142689228058,-0.10247661173343658,0.038972407579422,2,2,1.0,,,0.0551,0.5865854166666667,0.9449,1.0
ascorbic-acid,-0.1410800814628601,-0.0829280416170756,-0.20931309461593628,0.10160905122756958,0.13342760833163894,3,3,0.6666666666666666,Antioxidant,SLC23A1,0.0564,0.5881714285714286,0.9438,1.0
puromycin,-0.14043334126472473,-0.156614405865019,-0.24120217561721802,-0.10684255510568619,0.03944176956845795,11,11,1.0,,,0.0028,0.08416470588235295,0.9972,1.0
picrotoxin,-0.1393391191959381,-0.10349272191524506,-0.2002202868461609,0.13785019516944885,0.11481993054928899,6,6,0.8333333333333334,GABA receptor antagonist,GABRA1,0.013,0.22313666666666668,0.987,1.0
fludarabine,-0.1391022652387619,-0.12455880890289943,-0.20597127079963684,0.09421968460083008,0.07791144721612724,12,12,0.9166666666666666,DNA synthesis inhibitor,RRM1,0.0013,0.05961666666666667,0.9987,1.0
GSK-1059615,-0.13881924748420715,-0.13575793518906548,-0.2499830722808838,0.064303457736969,0.06604524367658117,21,21,0.9523809523809523,,,0.0001,0.008516666666666667,1.0,1.0
galantamine,-0.13854727149009705,-0.10333795632634844,-0.1789756417274475,0.07127553224563599,0.07965997055984035,7,7,0.8571428571428571,Acetylcholinesterase inhibitor,ACHE,0.0136,0.2241806451612903,0.9864,1.0
sunitinib,-0.13831323385238647,-0.11611595302820206,-0.2001062035560608,0.07302147150039673,0.0715289088790021,10,10,0.9,KIT inhibitor,FLT1,0.0033,0.09368333333333333,0.9967,1.0
