drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
apicidin,-0.31488390266895294,-0.31488390266895294,-0.4701312184333801,-0.15963658690452576,0.15524731576442719,2,2,1.0,HDAC inhibitor,HDAC6,0.0001,0.02555,0.9999,1.0
rimexolone,-0.2073058784008026,-0.2073058784008026,-0.20787370204925537,-0.20673805475234985,0.0005678236484527588,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0211,0.6893679245283019,0.979,0.9970087475149105
brefeldin-a,-0.19676977396011353,-0.1948246183720502,-0.28643012046813965,-0.08492861688137054,0.06553891330358466,11,11,1.0,,,0.0002,0.03406666666666667,0.9998,1.0
MMPX,-0.18447616696357727,-0.15916492541631064,-0.24463734030723572,-0.048381268978118896,0.08209590162276842,3,3,1.0,,,0.0433,0.6893679245283019,0.9569,0.9970087475149105
dydrogesterone,-0.18272767961025238,-0.18272767961025238,-0.18808135390281677,-0.177374005317688,0.005353674292564392,2,2,1.0,Progesterone receptor agonist,PGR,0.0516,0.6893679245283019,0.9484,0.9970087475149105
tozasertib,-0.18178581446409225,-0.1110462173819542,-0.24570083618164062,0.17827528715133667,0.13419548986022828,10,10,0.8,JAK inhibitor,FLT3,0.0012,0.1533,0.9988,1.0
parthenolide,-0.18151992559432983,-0.15025463857148824,-0.3604351580142975,0.14643269777297974,0.13581068692650974,19,19,0.8421052631578947,,,0.0001,0.02555,1.0,1.0
CG-930,-0.17469266057014465,-0.1092048853635788,-0.2840598225593567,0.13257083296775818,0.14963485988536807,10,10,0.7,JNK inhibitor,MAPK8,0.0025,0.21291666666666667,0.9975,1.0
acitretin,-0.1728224754333496,-0.1728224754333496,-0.2504326105117798,-0.09521234035491943,0.07761013507843018,2,2,1.0,Retinoid receptor agonist,RARA,0.0691,0.6893679245283019,0.9309,0.9970087475149105
GW-4064,-0.1711280643939972,-0.1711280643939972,-0.21073979139328003,-0.13151633739471436,0.03961172699928284,2,2,1.0,FXR agonist,NR1H4,0.0732,0.6926888888888889,0.9268,0.9970087475149105
talampicillin,-0.17055124044418335,-0.17055124044418335,-0.17055124044418335,-0.17055124044418335,0.0,1,1,1.0,,,0.1589,0.7857830188679246,0.8417,0.9970087475149105
BMS-509744,-0.1686810553073883,-0.1686810553073883,-0.2157239317893982,-0.12163817882537842,0.04704287648200989,2,2,1.0,,,0.0783,0.7019526315789474,0.9217,0.9970087475149105
norgestrel,-0.16771218180656433,-0.12257552643616994,-0.21320027112960815,0.14808204770088196,0.12471523218593165,6,6,0.8333333333333334,,,0.0186,0.6893679245283019,0.9814,0.9970087475149105
zimelidine,-0.16658103466033936,-0.16658103466033936,-0.16873061656951904,-0.16443145275115967,0.0021495819091796875,2,2,1.0,Serotonin reuptake inhibitor,SLC6A4,0.0835,0.7136966666666668,0.9165,0.9970087475149105
lenalidomide,-0.16475144028663635,-0.13763789534568788,-0.23447978496551514,0.16681987047195435,0.10907840673804609,10,10,0.9,Anti-cancer agent,CRBN,0.0067,0.48910000000000003,0.9933,1.0
saquinavir,-0.162561297416687,-0.1360002557436625,-0.25699400901794434,0.07806980609893799,0.10400609696203802,6,6,0.8333333333333334,,,0.026,0.6893679245283019,0.9741,0.9970087475149105
asiatic-acid,-0.16235849261283875,-0.16235849261283875,-0.19430923461914062,-0.13040775060653687,0.03195074200630188,2,2,1.0,,,0.0922,0.7248338461538462,0.9078,0.9970087475149105
atovaquone,-0.16225934028625488,-0.147730553150177,-0.21060454845428467,-0.08400934934616089,0.04360901594628574,5,5,1.0,,,0.0457,0.6893679245283019,0.9543,0.9970087475149105
dolasetron,-0.16035762429237366,-0.11115437150001525,-0.18672940135002136,0.07369852066040039,0.09496356453911046,5,5,0.8,Serotonin receptor antagonist,HTR3A,0.0501,0.6893679245283019,0.95,0.9970087475149105
hydrocortisone,-0.15792414546012878,-0.09596267342567444,-0.24463734030723572,0.19037961959838867,0.15529978784438547,8,8,0.75,Glucocorticoid receptor agonist,NR3C1,0.019,0.6893679245283019,0.981,0.9970087475149105
clofarabine,-0.15733829140663147,-0.10825601799620523,-0.2671695947647095,0.0886419415473938,0.11226349570609642,9,9,0.7777777777777778,Ribonucleoside reductase inhibitor,POLA1,0.0205,0.6893679245283019,0.9795,0.9970087475149105
etoposide,-0.15695977210998535,-0.11635252833366394,-0.2613832950592041,0.17921265959739685,0.13467055445932635,11,11,0.8181818181818182,Topoisomerase inhibitor,TOP2A,0.0117,0.6893679245283019,0.9883,1.0
amcinonide,-0.15682005882263184,-0.10612809658050537,-0.21103721857070923,0.08865997195243835,0.10971310256335594,8,8,0.75,Glucocorticoid receptor agonist,NR3C1,0.0199,0.6893679245283019,0.9801,0.9970087475149105
ascorbic-acid,-0.15671642124652863,-0.17468815545241037,-0.2186891734600067,-0.1486588716506958,0.03128682593521794,3,3,1.0,Antioxidant,SLC23A1,0.1087,0.7306083333333333,0.8915,0.9970087475149105
HG-5-88-01,-0.15595481544733047,-0.05289524048566818,-0.17934781312942505,0.18745943903923035,0.15918181569415116,6,6,0.6666666666666666,,,0.0385,0.6893679245283019,0.9615,0.9970087475149105
vincamine,-0.1556258201599121,-0.04281490445137024,-0.2123260498046875,0.19752684235572815,0.17297195933556905,5,5,0.6,,,0.0615,0.6893679245283019,0.9389,0.9970087475149105
MK-801,-0.15482820570468903,-0.15482820570468903,-0.1575816571712494,-0.15207475423812866,0.0027534514665603638,2,2,1.0,,,0.1134,0.7306083333333333,0.8866,0.9970087475149105
dexamethasone,-0.15463441610336304,-0.13237208167189046,-0.25609269738197327,0.3254289925098419,0.13676277806354795,19,19,0.8947368421052632,Glucocorticoid receptor agonist,NR3C1,0.0021,0.21291666666666667,0.9979,1.0
methylprednisolone,-0.15410716831684113,-0.054705336689949036,-0.19886979460716248,0.18793711066246033,0.16785904895780823,6,6,0.6666666666666666,Glucocorticoid receptor agonist,NR3C1,0.0418,0.6893679245283019,0.9582,0.9970087475149105
norethindrone,-0.15382777899503708,-0.1557775760690371,-0.20937883853912354,-0.10343211889266968,0.04106234234251767,6,6,1.0,Progestogen hormone,PGR,0.042,0.6893679245283019,0.958,0.9970087475149105
cefotaxime,-0.15278679132461548,-0.15278679132461548,-0.2067650854587555,-0.09880849719047546,0.053978294134140015,2,2,1.0,,,0.1201,0.7306083333333333,0.8799,0.9970087475149105
crotamiton,-0.15253445506095886,-0.15253445506095886,-0.15253445506095886,-0.15253445506095886,0.0,1,1,1.0,,,0.2168,0.8302817518248174,0.7833,0.9970087475149105
radicicol,-0.15145286917686462,-0.15892056789663103,-0.28522244095802307,-0.10209822654724121,0.05276645208781176,9,9,1.0,,,0.0307,0.6893679245283019,0.9696,0.9970087475149105
tibolone,-0.1514168381690979,-0.12094118446111679,-0.23848149180412292,0.11023688316345215,0.10849190511383094,6,6,0.8333333333333334,Androgen receptor agonist,ESR1,0.0487,0.6893679245283019,0.9513,0.9970087475149105
megestrol-acetate,-0.15009644627571106,-0.17481883615255356,-0.29555121064186096,-0.10353124141693115,0.0725625191383949,4,4,1.0,DNA inhibitor,PGR,0.081,0.7136379310344827,0.919,0.9970087475149105
emetine,-0.14942046999931335,-0.08248251080513,-0.27866101264953613,0.1721915602684021,0.1461181577751738,10,10,0.7,Protein synthesis inhibitor,RPS2,0.0226,0.6893679245283019,0.9774,0.9970087475149105
triamcinolone,-0.149312324821949,-0.05654585361480713,-0.17304778099060059,0.1340039074420929,0.1360175462221874,8,8,0.625,Glucocorticoid receptor agonist,NR3C1,0.0341,0.6893679245283019,0.9659,0.9970087475149105
icariin,-0.14929430186748505,-0.14929430186748505,-0.14977648854255676,-0.14881211519241333,0.0004821866750717163,2,2,1.0,,,0.1303,0.7653252873563218,0.8697,0.9970087475149105
geldanamycin,-0.14752328395843506,-0.11547336253252896,-0.28971990942955017,0.1352837085723877,0.12439559822274777,11,11,0.8181818181818182,HSP inhibitor,HSP90AA1,0.023,0.6893679245283019,0.9772,0.9970087475149105
resorcinol,-0.14690136909484863,-0.08818485055650983,-0.24200555682182312,0.16651344299316406,0.1357568431850576,7,7,0.7142857142857143,,,0.0582,0.6893679245283019,0.942,0.9970087475149105
ozagrel,-0.14682024717330933,-0.11463257244655065,-0.2240518033504486,0.08477538824081421,0.09053038607644204,7,7,0.8571428571428571,Thromboxane synthase inhibitor,TBXAS1,0.0582,0.6893679245283019,0.9418,0.9970087475149105
forskolin,-0.14668503403663635,-0.06889534913576566,-0.19715732336044312,0.2485489547252655,0.14705702313421043,13,13,0.7692307692307693,Adenylyl cyclase activator,ADCY2,0.0199,0.6893679245283019,0.9802,0.9970087475149105
