drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
ampicillin,-0.19717592000961304,-0.17318467299143472,-0.20623472332954407,-0.1161433756351471,0.0405034787186123,3,3,1.0,,,0.0019,0.17033333333333334,0.9981,1.0
demeclocycline,-0.18557985126972198,-0.18557985126972198,-0.24296829104423523,-0.12819141149520874,0.057388439774513245,2,2,1.0,,,0.006,0.27872727272727277,0.994,1.0
salsolinol,-0.1848895251750946,-0.1848895251750946,-0.1848895251750946,-0.1848895251750946,0.0,1,1,1.0,,,0.0361,0.4480162790697674,0.9642,1.0
dinoprost,-0.18062281608581543,-0.18062281608581543,-0.21862512826919556,-0.1426205039024353,0.03800231218338013,2,2,1.0,Prostacyclin analog,PTGDR,0.0075,0.2847,0.9925,1.0
alfaxalone,-0.17614895105361938,-0.17614895105361938,-0.17614895105361938,-0.17614895105361938,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.0438,0.4973733333333333,0.9563,1.0
NNC-63-0532,-0.16866235435009003,-0.16866235435009003,-0.18133333325386047,-0.15599137544631958,0.012670978903770447,2,2,1.0,Opioid receptor agonist,OPRL1,0.0118,0.35283333333333333,0.9882,1.0
hydralazine,-0.16457681357860565,-0.16457681357860565,-0.21908685564994812,-0.11006677150726318,0.05451004207134247,2,2,1.0,,,0.0145,0.35283333333333333,0.9855,1.0
piperacillin,-0.16064099967479706,-0.16064099967479706,-0.18345898389816284,-0.13782301545143127,0.022817984223365784,2,2,1.0,,,0.0171,0.3799173913043479,0.9829,1.0
sulmazole,-0.15978968143463135,-0.14495742917060853,-0.25785207748413086,-0.056864142417907715,0.07552180240613977,5,5,1.0,,,0.0035,0.2235625,0.9966,1.0
cefuroxime,-0.15803635120391846,-0.17295325795809427,-0.20333245396614075,-0.15749096870422363,0.021482489351240204,3,3,1.0,,,0.0142,0.35283333333333333,0.9859,1.0
biotin,-0.15644438564777374,-0.15644438564777374,-0.2493564784526825,-0.06353229284286499,0.09291209280490875,2,2,1.0,,,0.0204,0.4009384615384616,0.9796,1.0
