drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
ascorbic-acid,-0.21519699692726135,-0.13945143421490988,-0.23950070142745972,0.036343395709991455,0.12470106704796602,3,3,0.6666666666666666,Antioxidant,SLC23A1,0.0003,0.0511,0.9998,1.0
nifedipine,-0.15874895453453064,-0.14287863671779633,-0.2668982148170471,-0.04961955547332764,0.07370596448387667,7,7,1.0,Calcium channel blocker,CACNA1C,0.0001,0.02555,0.9999,1.0
carbidopa,-0.15848898887634277,-0.15848898887634277,-0.17930537462234497,-0.13767260313034058,0.020816385746002197,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0122,0.3520222222222222,0.9878,1.0
A-443654,-0.15399712324142456,-0.1528572995554317,-0.26145419478416443,-0.05783960223197937,0.05757272746080019,11,11,1.0,,,0.0001,0.02555,1.0,1.0
tribenoside,-0.15175971388816833,-0.15175971388816833,-0.15997618436813354,-0.14354324340820312,0.00821647047996521,2,2,1.0,,,0.019,0.37473333333333336,0.981,1.0
alfaxalone,-0.14828747510910034,-0.14828747510910034,-0.14828747510910034,-0.14828747510910034,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.0747,0.633195652173913,0.9258,1.0
dinoprost,-0.13971272110939026,-0.13971272110939026,-0.19706815481185913,-0.08235728740692139,0.05735543370246887,2,2,1.0,Prostacyclin analog,PTGDR,0.0342,0.5140058823529412,0.9658,1.0
perindopril,-0.13895702362060547,-0.13895702362060547,-0.13895702362060547,-0.13895702362060547,0.0,1,1,1.0,Angiotensin converting enzyme inhibitor,ACE,0.0997,0.6450623529411765,0.9006,1.0
CGS-21680,-0.13850249350070953,-0.13850249350070953,-0.21947678923606873,-0.05752819776535034,0.08097429573535919,2,2,1.0,Adenosine receptor agonist,ADORA1,0.0359,0.5241399999999999,0.9641,1.0
batimastat,-0.1374601386487484,-0.12523767600456873,-0.16721361875534058,-0.06943710893392563,0.03929325864101929,6,6,1.0,,,0.0022,0.1752,0.9978,1.0
saxagliptin,-0.13388830423355103,-0.13388830423355103,-0.16548198461532593,-0.10229462385177612,0.0315936803817749,2,2,1.0,Dipeptidyl peptidase inhibitor,DPP4,0.0449,0.5443260869565217,0.9551,1.0
sulmazole,-0.13236933946609497,-0.09222326874732971,-0.1446162462234497,0.055557429790496826,0.07537945136757258,5,5,0.8,,,0.0114,0.3520222222222222,0.9887,1.0
staurosporine,-0.1288248747587204,-0.1319059170782566,-0.1838756501674652,-0.09495425224304199,0.023231137309480787,8,8,1.0,PKC inhibitor,CDK2,0.0024,0.1752,0.9976,1.0
orciprenaline,-0.12632623314857483,-0.12632623314857483,-0.13850942254066467,-0.11414304375648499,0.012183189392089844,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.0592,0.5945288461538462,0.9408,1.0
