drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
tribenoside,-0.12883837521076202,-0.12883837521076202,-0.18293851613998413,-0.07473823428153992,0.05410014092922211,2,2,1.0,,,0.0163,0.416465,0.9837,1.0
NVP-AUY922,-0.12713125348091125,-0.11499943137168885,-0.22483474016189575,0.08899039030075073,0.08232460709510026,10,10,0.9,HSP inhibitor,HSP90AA1,0.0001,0.01022,1.0,1.0
A-443654,-0.1267290711402893,-0.11830202693288977,-0.18599611520767212,0.04239167273044586,0.05594928773113278,11,11,0.9090909090909091,,,0.0001,0.01022,1.0,1.0
PIK-75,-0.12276676297187805,-0.10484957695007324,-0.1746852695941925,0.08027338981628418,0.07106764939549072,9,9,0.8888888888888888,PI3K inhibitor,PIK3CA,0.0001,0.01022,0.9999,1.0
apigenin,-0.12103995680809021,-0.052560588488212,-0.15262165665626526,0.10190021991729736,0.10151792737045731,13,13,0.6153846153846154,,,0.0001,0.01022,1.0,1.0
androstanol,-0.11238348484039307,-0.11238348484039307,-0.11238348484039307,-0.11238348484039307,0.0,1,1,1.0,,,0.1095,0.7771458333333334,0.8909,1.0
carbidopa,-0.11183260381221771,-0.11183260381221771,-0.17510640621185303,-0.0485588014125824,0.06327380239963531,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0397,0.6162058823529412,0.9603,1.0
progesterone,-0.1116020679473877,-0.08165703548325433,-0.17968600988388062,0.09134000539779663,0.08871644220024354,9,9,0.7777777777777778,Progesterone receptor agonist,CYP17A1,0.0009,0.07665,0.9991,1.0
mephentermine,-0.11156058311462402,-0.11156058311462402,-0.1598125696182251,-0.06330859661102295,0.048251986503601074,2,2,1.0,,,0.0406,0.6162058823529412,0.9594,1.0
demeclocycline,-0.1113479733467102,-0.1113479733467102,-0.11765235662460327,-0.10504359006881714,0.006304383277893066,2,2,1.0,,,0.041,0.6162058823529412,0.959,1.0
staurosporine,-0.11036792397499084,-0.12130554765462875,-0.15968608856201172,-0.09933936595916748,0.023256663563214312,8,8,1.0,PKC inhibitor,CDK2,0.0017,0.12409999999999999,0.9983,1.0
sulmazole,-0.11029917001724243,-0.10939810872077942,-0.16249355673789978,-0.05403709411621094,0.03431633395475539,5,5,1.0,,,0.0122,0.36671764705882354,0.9878,1.0
hydralazine,-0.1091802567243576,-0.1091802567243576,-0.1096305251121521,-0.10872998833656311,0.00045026838779449463,2,2,1.0,,,0.0455,0.6172342105263159,0.9545,1.0
celastrol,-0.1088661402463913,-0.05290568868319193,-0.17197954654693604,0.17134392261505127,0.12049244140148722,6,6,0.6666666666666666,,,0.0048,0.22298181818181817,0.9952,1.0
tanespimycin,-0.1067965179681778,-0.1006730622366855,-0.1943034529685974,0.07709062099456787,0.05945681092348257,19,19,0.9473684210526315,HSP inhibitor,HSP90AA1,0.0001,0.01022,1.0,1.0
QL-X-138,-0.10489373654127121,-0.12109427650769551,-0.2181186079978943,-0.060325220227241516,0.05008639285260796,6,6,1.0,,,0.0078,0.2847,0.9922,1.0
salsolinol,-0.10441896319389343,-0.10441896319389343,-0.10441896319389343,-0.10441896319389343,0.0,1,1,1.0,,,0.1442,0.8986121951219512,0.8561,1.0
guanethidine,-0.10429109632968903,-0.10429109632968903,-0.11312636733055115,-0.0954558253288269,0.008835271000862122,2,2,1.0,,,0.0564,0.6862,0.9436,1.0
cefuroxime,-0.103644460439682,-0.1045999825000763,-0.14878123998641968,-0.0613742470741272,0.035690151482804626,3,3,1.0,,,0.0545,0.6792560975609756,0.9456,1.0
levonorgestrel,-0.10351428389549255,-0.09739189488547188,-0.13618671894073486,-0.054217204451560974,0.02404185476831731,7,7,1.0,Estrogen receptor agonist,PGR,0.009,0.30659999999999993,0.9912,1.0
ampicillin,-0.09994065761566162,-0.04507844646771749,-0.12313202023506165,0.0878373384475708,0.09446132977669226,3,3,0.6666666666666666,,,0.0656,0.7449244444444444,0.9346,1.0
dactinomycin,-0.09972935914993286,-0.07189336253537072,-0.13564729690551758,0.08219586312770844,0.06000164747689741,9,9,0.8888888888888888,RNA polymerase inhibitor,POLR2A,0.0059,0.2319153846153846,0.9941,1.0
geldanamycin,-0.09965372085571289,-0.06245794214985587,-0.2286188006401062,0.10917088389396667,0.1072562065842378,11,11,0.6363636363636364,HSP inhibitor,HSP90AA1,0.0031,0.19801249999999998,0.9969,1.0
flucloxacillin,-0.0989144891500473,-0.0989144891500473,-0.14533355832099915,-0.05249541997909546,0.04641906917095184,2,2,1.0,,,0.0708,0.7771458333333334,0.9292,1.0
U-0126,-0.0945553183555603,-0.08718361017795709,-0.17669758200645447,0.08281457424163818,0.07865849583407457,13,13,0.8461538461538461,MEK inhibitor,MAP2K1,0.0037,0.21007777777777778,0.9963,1.0
levcromakalim,-0.09413734078407288,-0.06510740220546722,-0.11332482099533081,0.06985890865325928,0.06860112475673333,5,5,0.8,Potassium channel activator,KCNJ8,0.0434,0.6172342105263159,0.9567,1.0
GDC-0980,-0.09369513392448425,-0.11403557658195496,-0.15371698141098022,-0.08579021692276001,0.0286893771884731,5,5,1.0,MTOR inhibitor,MTOR,0.0455,0.6172342105263159,0.9546,1.0
dolasetron,-0.0933229923248291,-0.060369211435317996,-0.12729281187057495,0.07060818374156952,0.07056755617727158,5,5,0.8,Serotonin receptor antagonist,HTR3A,0.0459,0.6172342105263159,0.9542,1.0
lestaurtinib,-0.09181869029998779,-0.09333284199237823,-0.13466700911521912,-0.04145127534866333,0.02955495561038697,6,6,1.0,JAK inhibitor,FLT3,0.0304,0.597476923076923,0.9696,1.0
indirubin,-0.09109920263290405,-0.03183065541088581,-0.15430450439453125,0.1633051633834839,0.11489114959065928,8,8,0.625,CDK inhibitor,CDK5,0.0181,0.4204136363636364,0.9819,1.0
sildenafil,-0.09069520235061646,-0.06509466022253037,-0.15993493795394897,0.10256153345108032,0.0804899501034319,10,10,0.8,Phosphodiesterase inhibitor,PDE5A,0.0112,0.3577,0.9888,1.0
noretynodrel,-0.08932584524154663,-0.06119811805811795,-0.1129961609840393,0.0816124677658081,0.06667683026142252,11,11,0.8181818181818182,Progestogen hormone,PGR,0.0145,0.40342105263157896,0.9855,1.0
dinoprost,-0.08869501948356628,-0.08869501948356628,-0.1404629349708557,-0.036927103996276855,0.05176791548728943,2,2,1.0,Prostacyclin analog,PTGDR,0.1082,0.7771458333333334,0.8918,1.0
ibutilide,-0.08853692561388016,-0.08853692561388016,-0.11112363636493683,-0.06595021486282349,0.02258671075105667,2,2,1.0,Potassium channel blocker,KCNH2,0.1088,0.7771458333333334,0.8912,1.0
tramadol,-0.08769941329956055,-0.08289943635463715,-0.1835910677909851,0.07527899742126465,0.06397915958321786,9,9,0.8888888888888888,Opioid receptor agonist,OPRM1,0.0258,0.527352,0.9744,1.0
HG-6-64-01,-0.0871744267642498,-0.030532985180616378,-0.1798812747001648,0.12401193380355835,0.10909340021529104,10,10,0.6,,,0.018,0.4204136363636364,0.982,1.0
orciprenaline,-0.08691412210464478,-0.08691412210464478,-0.0939517617225647,-0.07987648248672485,0.007037639617919922,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.1146,0.780808,0.8854,1.0
cabergoline,-0.08612726628780365,-0.04460371732711792,-0.12361776828765869,0.12503021955490112,0.08780410731856596,10,10,0.7,Dopamine receptor agonist,ADRA1A,0.0201,0.44656956521739133,0.9799,1.0
montelukast,-0.0840047299861908,-0.0506662850578626,-0.20384261012077332,0.09772300720214844,0.10412429714103814,6,6,0.6666666666666666,Leukotriene receptor antagonist,CYSLTR1,0.0594,0.6944954545454546,0.9406,1.0
fludarabine,-0.08391787111759186,-0.05040258293350538,-0.12424659729003906,0.11547505855560303,0.0827052409542762,12,12,0.75,DNA synthesis inhibitor,RRM1,0.015,0.40342105263157896,0.985,1.0
AZD-7762,-0.08365735411643982,-0.06445481549752385,-0.15997028350830078,0.10686436295509338,0.07193915971046849,19,19,0.8421052631578947,CHK inhibitor,CHEK1,0.0056,0.2319153846153846,0.9944,1.0
atovaquone,-0.08355832099914551,-0.06128997802734375,-0.10399320721626282,0.04280689358711243,0.054620087583388925,5,5,0.8,,,0.0856,0.7771458333333334,0.9148,1.0
oxiconazole,-0.0831972062587738,-0.05530746467411518,-0.11579859256744385,0.06096314638853073,0.06927210628812598,4,4,0.75,,,0.0911,0.7771458333333334,0.9089,1.0
tazobactam,-0.08280380070209503,-0.08280380070209503,-0.08543410897254944,-0.08017349243164062,0.0026303082704544067,2,2,1.0,,,0.1299,0.8402392405063289,0.8701,1.0
austricine,-0.08224399387836456,-0.06284037977457047,-0.1376880407333374,0.05081450939178467,0.0709516761419888,4,4,0.75,,,0.0965,0.7771458333333334,0.9035,1.0
GSK-1059615,-0.0813746303319931,-0.07247670704410189,-0.17768198251724243,0.07216954976320267,0.05948247790206295,21,21,0.8571428571428571,,,0.0048,0.22298181818181817,0.9952,1.0
apicidin,-0.08098028600215912,-0.08098028600215912,-0.0932849645614624,-0.06867560744285583,0.012304678559303284,2,2,1.0,HDAC inhibitor,HDAC6,0.1384,0.8840299999999999,0.8616,1.0
naproxen,-0.08068764209747314,-0.06326477655342647,-0.11998867988586426,0.05109447240829468,0.054404936422880766,7,7,0.8571428571428571,Cyclooxygenase inhibitor,PTGS1,0.0725,0.7771458333333334,0.9276,1.0
triamcinolone,-0.08067872747778893,-0.025435700081288815,-0.10859620571136475,0.1177220344543457,0.08835870432920656,8,8,0.625,Glucocorticoid receptor agonist,NR3C1,0.0506,0.6476925,0.9494,1.0
vecuronium,-0.08062374219298363,-0.05722303595393896,-0.12428736686706543,0.06392136216163635,0.06649028503441066,8,8,0.75,Acetylcholine receptor antagonist,CHRNA2,0.0507,0.6476925,0.9493,1.0
GW-441756,-0.0804138034582138,-0.037667371332645416,-0.16850072145462036,0.15949320793151855,0.10340172920291638,12,12,0.5833333333333334,Growth factor receptor inhibitor,NTRK1,0.0232,0.49396666666666667,0.9768,1.0
brefeldin-a,-0.08030268549919128,-0.0810934142632918,-0.19117611646652222,0.05534005165100098,0.057824058050974896,11,11,0.9090909090909091,,,0.0374,0.6162058823529412,0.9628,1.0
alfaxalone,-0.07933253049850464,-0.07933253049850464,-0.07933253049850464,-0.07933253049850464,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.2635,0.9770319999999999,0.7366,0.9881528350515464
cortisone-acetate,-0.0792161226272583,-0.016562036105564663,-0.12854576110839844,0.15624713897705078,0.10016025722741216,7,7,0.5714285714285714,Glucocorticoid receptor agonist,NR3C1,0.0819,0.7771458333333334,0.9184,1.0
galantamine,-0.07877844572067261,-0.05946593838078635,-0.1094312071800232,0.07402557134628296,0.057906030912979904,7,7,0.8571428571428571,Acetylcholinesterase inhibitor,ACHE,0.0842,0.7771458333333334,0.9158,1.0
benzatropine,-0.07794570922851562,-0.07794570922851562,-0.07794570922851562,-0.07794570922851562,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.2734,0.9770319999999999,0.7268,0.9881528350515464
XMD-16144,-0.077877938747406,-0.06127066612243652,-0.1285141408443451,0.055614084005355835,0.061846232690727906,5,5,0.8,,,0.1202,0.8081868421052633,0.8802,1.0
flunisolide,-0.077877938747406,-0.03954320649305979,-0.14373186230659485,0.1473207175731659,0.09391933606851333,12,12,0.6666666666666666,Cytochrome P450 inhibitor,NR3C1,0.0319,0.603737037037037,0.9681,1.0
PD-0325901,-0.07775187492370605,-0.08189611767347042,-0.21165403723716736,0.050045445561409,0.07195494279863436,13,13,0.8461538461538461,MEK inhibitor,MAP2K1,0.0356,0.6162058823529412,0.9644,1.0
CNQX,-0.07768291234970093,-0.04892579714457194,-0.10389882326126099,0.1005372703075409,0.06917205257991367,6,6,0.8333333333333334,Glutamate receptor antagonist,GRIA1,0.0912,0.7771458333333334,0.9088,1.0
gestrinone,-0.07669463753700256,-0.08054459591706593,-0.12202528119087219,-0.048582613468170166,0.02811732865339927,6,6,1.0,Progesterone receptor antagonist,ESR1,0.0964,0.7771458333333334,0.9036,1.0
isradipine,-0.0760374516248703,-0.0621359007699149,-0.1180991530418396,0.05604207515716553,0.053878245072860265,7,7,0.8571428571428571,Calcium channel blocker,CACNA1C,0.1015,0.7771458333333334,0.8987,1.0
OBAA,-0.07592198252677917,-0.06317623828848203,-0.14839035272598267,0.13314874470233917,0.0800230594139937,12,12,0.8333333333333334,Phospholipase inhibitor,PLA2G1B,0.0401,0.6162058823529412,0.9599,1.0
methylprednisolone,-0.07536056637763977,-0.025012870629628498,-0.12455224990844727,0.1657908856868744,0.10743521409897007,6,6,0.6666666666666666,Glucocorticoid receptor agonist,NR3C1,0.1055,0.7771458333333334,0.8945,1.0
cilastatin,-0.07517540454864502,-0.025955256606851305,-0.1258367896080017,0.10602432489395142,0.08479523096751469,7,7,0.5714285714285714,Dehydropeptidase inhibitor,DPEP1,0.1056,0.7771458333333334,0.8946,1.0
ascorbic-acid,-0.0748559832572937,-0.0668792724609375,-0.07665294408798218,-0.04912889003753662,0.012572836439178215,3,3,1.0,Antioxidant,SLC23A1,0.1985,0.9742429906542056,0.8018,1.0
SB-366791,-0.07442498207092285,-0.07442498207092285,-0.11732697486877441,-0.03152298927307129,0.04290199279785156,2,2,1.0,TRPV antagonist,TRPV1,0.1664,0.9420173913043478,0.8336,1.0
SB-205607,-0.07435053586959839,-0.0189850814640522,-0.09473222494125366,0.13892996311187744,0.08541627999913101,8,8,0.625,Delta 1 opioid receptor agonist,OPRD1,0.0852,0.7771458333333334,0.9148,1.0
halcinonide,-0.07403887808322906,-0.056185836593310036,-0.13686910271644592,0.136276513338089,0.09120268540512946,6,6,0.8333333333333334,Glucocorticoid receptor agonist,NR3C1,0.1143,0.780808,0.8857,1.0
fluocinolone-acetonide,-0.0738106518983841,-0.024006845695631846,-0.121074378490448,0.09576886892318726,0.08316111248964088,7,7,0.5714285714285714,Corticosteroid agonist,NR3C1,0.1144,0.780808,0.8859,1.0
BH3I-1,-0.07336543500423431,-0.0322281401604414,-0.1227988600730896,0.14852459728717804,0.09438377864319421,8,8,0.75,BCL inhibitor,BCL2L1,0.0922,0.7771458333333334,0.9078,1.0
curcumin,-0.07326002418994904,-0.029248653911054134,-0.1274508833885193,0.11951020359992981,0.0832500058716118,16,16,0.6875,Lipoxygenase inhibitor,PTGS1,0.0369,0.6162058823529412,0.9631,1.0
cinanserin,-0.07306364923715591,-0.040785497054457664,-0.09552091360092163,0.11951112747192383,0.07139204777653857,8,8,0.75,,,0.0938,0.7771458333333334,0.9062,1.0
tozasertib,-0.07305014133453369,-0.08798161000013352,-0.18178407847881317,-0.042649686336517334,0.04066849687008452,10,10,1.0,JAK inhibitor,FLT3,0.0748,0.7771458333333334,0.9252,1.0
temsirolimus,-0.07302379608154297,-0.05725661984511784,-0.08983778953552246,0.039831697940826416,0.040752672400323924,7,7,0.8571428571428571,MTOR inhibitor,MTOR,0.1221,0.8102999999999999,0.8783,1.0
naltrexone,-0.07299906015396118,-0.07126708577076594,-0.14515435695648193,0.061205148696899414,0.06036915664815738,9,9,0.8888888888888888,Opioid receptor antagonist,OPRD1,0.0923,0.7771458333333334,0.9077,1.0
SB-239063,-0.07233911752700806,-0.05396428114424149,-0.13353964686393738,0.10807329416275024,0.07355016255993731,12,12,0.8333333333333334,P38 MAPK inhibitor,MAPK14,0.0598,0.6944954545454546,0.9402,1.0
sulindac,-0.07223141193389893,-0.03743519385655721,-0.10191535949707031,0.06184118986129761,0.07123732382585381,3,3,0.6666666666666666,Cyclooxygenase inhibitor,AKR1B1,0.2181,0.9770319999999999,0.7822,0.9992605
exemestane,-0.07203620672225952,-0.03094791703754001,-0.12848109006881714,0.0898093581199646,0.07858319010501211,9,9,0.6666666666666666,Aromatase inhibitor,CYP19A1,0.1008,0.7771458333333334,0.8997,1.0
ceramide,-0.07069706916809082,-0.033517267022814067,-0.18256956338882446,0.16415297985076904,0.1078531341401321,7,7,0.7142857142857143,,,0.1435,0.8986121951219512,0.8568,1.0
