drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
anisomycin,-0.2288249135017395,-0.2288249135017395,-0.2288249135017395,-0.2288249135017395,0.0,1,1,1.0,,,0.0077,0.26231333333333334,0.9927,0.9999
tetrabenazine,-0.2180738002061844,-0.2180738002061844,-0.23710718750953674,-0.19904041290283203,0.019033387303352356,2,2,1.0,Vesicular monoamine transporter inhibitor,SLC18A2,0.0004,0.09197999999999999,0.9996,0.9999
cefotaxime,-0.1812293529510498,-0.1812293529510498,-0.21505945920944214,-0.14739924669265747,0.033830106258392334,2,2,1.0,,,0.0061,0.23977692307692308,0.9939,0.9999
atovaquone,-0.18044054508209229,-0.16029130518436432,-0.231793612241745,-0.07513220608234406,0.06666933469522583,5,5,1.0,,,0.0008,0.09197999999999999,0.9992,0.9999
dopamine,-0.17824064195156097,-0.17824064195156097,-0.18139532208442688,-0.17508596181869507,0.0031546801328659058,2,2,1.0,Dopamine receptor agonist,DRD1,0.0072,0.26231333333333334,0.9928,0.9999
doxycycline,-0.16973136365413666,-0.12452433258295059,-0.1884543001651764,0.08383029699325562,0.09564393031499205,6,6,0.8333333333333334,Metalloproteinase inhibitor,MMP8,0.0001,0.0511,0.9999,0.9999
methylprednisolone,-0.151100292801857,-0.0994032012919585,-0.17995482683181763,0.11685013771057129,0.10211343470570487,6,6,0.8333333333333334,Glucocorticoid receptor agonist,NR3C1,0.0016,0.1168,0.9984,0.9999
GBR-13069,-0.1465824842453003,-0.1541495993733406,-0.24285897612571716,-0.08057445287704468,0.06187142073673478,4,4,1.0,Dopamine uptake inhibitor,SLC6A3,0.0091,0.28555882352941175,0.9909,0.9999
beclometasone,-0.1454491764307022,-0.1454491764307022,-0.15042385458946228,-0.14047449827194214,0.004974678158760071,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0364,0.5791333333333333,0.9636,0.9999
QL-X-138,-0.14527995884418488,-0.10199626038471858,-0.20530965924263,0.12670157849788666,0.10943178462309935,6,6,0.8333333333333334,,,0.0028,0.14308,0.9972,0.9999
levcromakalim,-0.14322316646575928,-0.04028340876102447,-0.1767745018005371,0.17207437753677368,0.1451079742167013,5,5,0.6,Potassium channel activator,KCNJ8,0.0095,0.28555882352941175,0.9906,0.9999
AMG-9810,-0.13993097841739655,-0.13993097841739655,-0.15830984711647034,-0.12155210971832275,0.01837886869907379,2,2,1.0,TRPV antagonist,TRPV1,0.0452,0.5807951219512195,0.9548,0.9999
enalapril,-0.13756179809570312,-0.08315791402544294,-0.18157431483268738,0.16300058364868164,0.10715854635006915,7,7,0.8571428571428571,Angiotensin converting enzyme inhibitor,ACE,0.0059,0.23977692307692308,0.9941,0.9999
GDC-0980,-0.13620895147323608,-0.10095418989658356,-0.26293569803237915,0.11778812110424042,0.12390527488705791,5,5,0.8,MTOR inhibitor,MTOR,0.0161,0.39176666666666665,0.9841,0.9999
