drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
anisomycin,-0.16500449180603027,-0.16500449180603027,-0.16500449180603027,-0.16500449180603027,0.0,1,1,1.0,,,0.0208,0.4428666666666667,0.9796,0.9995560784313726
tobramycin,-0.15972229838371277,-0.15972229838371277,-0.17225390672683716,-0.14719069004058838,0.01253160834312439,2,2,1.0,,,0.0024,0.3832499999999999,0.9976,0.9995560784313726
tetrabenazine,-0.15098139643669128,-0.15098139643669128,-0.1695803999900818,-0.13238239288330078,0.018599003553390503,2,2,1.0,Vesicular monoamine transporter inhibitor,SLC18A2,0.0045,0.3832499999999999,0.9955,0.9995560784313726
apicidin,-0.1341029703617096,-0.1341029703617096,-0.14140969514846802,-0.12679624557495117,0.007306724786758423,2,2,1.0,HDAC inhibitor,HDAC6,0.0117,0.43546086956521735,0.9883,0.9995560784313726
dopamine,-0.13330687582492828,-0.13330687582492828,-0.16291135549545288,-0.10370239615440369,0.029604479670524597,2,2,1.0,Dopamine receptor agonist,DRD1,0.0124,0.43546086956521735,0.9876,0.9995560784313726
atovaquone,-0.1287982165813446,-0.11750737428665162,-0.1490764319896698,-0.07163810729980469,0.03128051418907263,5,5,1.0,,,0.0026,0.3832499999999999,0.9974,0.9995560784313726
cefotaxime,-0.1262606382369995,-0.1262606382369995,-0.13908159732818604,-0.11343967914581299,0.012820959091186523,2,2,1.0,,,0.0187,0.43546086956521735,0.9813,0.9995560784313726
GBR-13069,-0.11973035335540771,-0.11334643512964249,-0.15472447872161865,-0.059200555086135864,0.034376284678093776,4,4,1.0,Dopamine uptake inhibitor,SLC6A3,0.0085,0.43546086956521735,0.9915,0.9995560784313726
gestrinone,-0.11625826358795166,-0.09833632409572601,-0.18821287155151367,0.05189847946166992,0.0741899225317384,6,6,0.8333333333333334,Progesterone receptor antagonist,ESR1,0.0033,0.3832499999999999,0.9967,0.9995560784313726
crotamiton,-0.11473336815834045,-0.11473336815834045,-0.11473336815834045,-0.11473336815834045,0.0,1,1,1.0,,,0.1085,0.6200133333333333,0.8916,0.9995560784313726
terbutaline,-0.11414381861686707,-0.11414381861686707,-0.13961011171340942,-0.08867752552032471,0.02546629309654236,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.035,0.4773487804878049,0.965,0.9995560784313726
orteronel,-0.11376038193702698,-0.12018027901649475,-0.17608565092086792,-0.05861103534698486,0.04276331595940107,6,6,1.0,Cytochrome P450 inhibitor,CYP17A1,0.0042,0.3832499999999999,0.9958,0.9995560784313726
PD-0325901,-0.11234420537948608,-0.07452258983483681,-0.1925588846206665,0.08313822746276855,0.09224799312079726,13,13,0.7692307692307693,MEK inhibitor,MAP2K1,0.0001,0.0511,0.9999,0.9999
orciprenaline,-0.11179186403751373,-0.11179186403751373,-0.11507207155227661,-0.10851165652275085,0.0032802075147628784,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.0383,0.4773487804878049,0.9617,0.9995560784313726
guanethidine,-0.11049985140562057,-0.11049985140562057,-0.14753271639347076,-0.07346698641777039,0.03703286498785019,2,2,1.0,,,0.0415,0.48055744680851065,0.9585,0.9995560784313726
ibutilide,-0.10977481305599213,-0.10977481305599213,-0.15013262629508972,-0.06941699981689453,0.040357813239097595,2,2,1.0,Potassium channel blocker,KCNH2,0.0422,0.48055744680851065,0.9578,0.9995560784313726
VX-222,-0.10738611221313477,-0.08084772825241089,-0.14115214347839355,0.05420231819152832,0.06895041922864163,5,5,0.8,,,0.0165,0.43546086956521735,0.9837,0.9995560784313726
SU-11274,-0.10654816031455994,-0.04556623526981899,-0.12987864017486572,0.1393115520477295,0.09891956730655659,7,7,0.7142857142857143,Tyrosine kinase inhibitor,MET,0.0069,0.43546086956521735,0.9931,0.9995560784313726
mometasone,-0.10490283370018005,-0.10490283370018005,-0.1301746964454651,-0.07963097095489502,0.025271862745285034,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0532,0.5227923076923077,0.9468,0.9995560784313726
ritodrine,-0.10178321599960327,-0.04947631061077118,-0.1369098424911499,0.058667898178100586,0.0885603293961969,7,7,0.5714285714285714,Adrenergic receptor agonist,ADRB2,0.01,0.43546086956521735,0.9905,0.9995560784313726
XMD-1185H,-0.10157415270805359,-0.05803623050451279,-0.15631917119026184,0.10774403810501099,0.09490349132647113,6,6,0.6666666666666666,,,0.0121,0.43546086956521735,0.9879,0.9995560784313726
argatroban,-0.09917576611042023,-0.07444261014461517,-0.14464932680130005,0.10187852382659912,0.08428809179608862,6,6,0.8333333333333334,Thrombin inhibitor,F2,0.0149,0.43546086956521735,0.9851,0.9995560784313726
levcromakalim,-0.09811876714229584,-0.051425471901893616,-0.1142006516456604,0.09394839406013489,0.07707497708644691,5,5,0.8,Potassium channel activator,KCNJ8,0.0324,0.4773487804878049,0.9678,0.9995560784313726
esculin,-0.09803515672683716,-0.01858011484146118,-0.20116889476776123,0.16177403926849365,0.14482737587344754,5,5,0.6,,,0.0329,0.4773487804878049,0.9672,0.9995560784313726
ribavirin,-0.09611763060092926,-0.08308191100756328,-0.18282830715179443,0.08051154017448425,0.08428968740004915,6,6,0.8333333333333334,Antiviral,IMPDH1,0.0192,0.43546086956521735,0.9808,0.9995560784313726
rivaroxaban,-0.09582410752773285,-0.07145678003629048,-0.16340142488479614,0.13977906107902527,0.10185989397747015,6,6,0.8333333333333334,Coagulation factor inhibitor,F10,0.0196,0.43546086956521735,0.9804,0.9995560784313726
nicergoline,-0.09460273385047913,-0.09460273385047913,-0.1528194546699524,-0.03638601303100586,0.05821672081947327,2,2,1.0,Adrenergic receptor antagonist,ADRA1A,0.0789,0.5880202898550725,0.9211,0.9995560784313726
doxycycline,-0.0937698483467102,-0.07011501739422481,-0.15947437286376953,0.12080787122249603,0.09120357297174891,6,6,0.8333333333333334,Metalloproteinase inhibitor,MMP8,0.0245,0.46355,0.9755,0.9995560784313726
GDC-0980,-0.09256523847579956,-0.09060356765985489,-0.18730980157852173,0.057074837386608124,0.08900979885941859,5,5,0.8,MTOR inhibitor,MTOR,0.0457,0.4865145833333333,0.9545,0.9995560784313726
CGS-21680,-0.09223534166812897,-0.09223534166812897,-0.1258036494255066,-0.05866703391075134,0.033568307757377625,2,2,1.0,Adenosine receptor agonist,ADORA1,0.0859,0.6182380281690141,0.9141,0.9995560784313726
naltrexone,-0.0913693904876709,-0.04303383164935642,-0.1204591691493988,0.1443709135055542,0.09253592220150882,9,9,0.7777777777777778,Opioid receptor antagonist,OPRD1,0.0139,0.43546086956521735,0.9862,0.9995560784313726
cefotetan,-0.0896141529083252,-0.0896141529083252,-0.09338897466659546,-0.08583933115005493,0.0037748217582702637,2,2,1.0,,,0.0934,0.6200133333333333,0.9066,0.9995560784313726
sulindac,-0.08934146165847778,-0.0928102433681488,-0.11095434427261353,-0.0781349241733551,0.01362113355108923,3,3,1.0,Cyclooxygenase inhibitor,AKR1B1,0.0997,0.6200133333333333,0.9005,0.9995560784313726
rilmenidine,-0.08912782371044159,-0.0780886709690094,-0.12602519989013672,0.0795515775680542,0.055123996062010044,10,10,0.9,Adrenergic receptor agonist,NISCH,0.0124,0.43546086956521735,0.9876,0.9995560784313726
warfarin,-0.0883563905954361,-0.04763483442366123,-0.16626888513565063,0.09024715423583984,0.09522396226604377,8,8,0.625,Vitamin K antagonist,VKORC1,0.0174,0.43546086956521735,0.9826,0.9995560784313726
nifedipine,-0.08817076683044434,-0.06768397774015154,-0.17880594730377197,0.06971892714500427,0.09073426329093345,7,7,0.7142857142857143,Calcium channel blocker,CACNA1C,0.033,0.4773487804878049,0.9672,0.9995560784313726
nemonapride,-0.0880708247423172,-0.057967837899923325,-0.16499441862106323,0.0759514570236206,0.08256101252146779,8,8,0.75,Dopamine receptor antagonist,DRD2,0.0184,0.43546086956521735,0.9816,0.9995560784313726
saxagliptin,-0.0879637748003006,-0.0879637748003006,-0.09198236465454102,-0.08394518494606018,0.0040185898542404175,2,2,1.0,Dipeptidyl peptidase inhibitor,DPP4,0.0984,0.6200133333333333,0.9016,0.9995560784313726
beclometasone,-0.0876321941614151,-0.0876321941614151,-0.10374504327774048,-0.07151934504508972,0.01611284911632538,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0995,0.6200133333333333,0.9005,0.9995560784313726
talampicillin,-0.08730608224868774,-0.08730608224868774,-0.08730608224868774,-0.08730608224868774,0.0,1,1,1.0,,,0.2039,0.7286216783216782,0.7967,0.9995560784313726
azithromycin,-0.08634939044713974,-0.03739901135365168,-0.1196245551109314,0.10125970840454102,0.08961398596300826,6,6,0.6666666666666666,,,0.0442,0.48055744680851065,0.9558,0.9995560784313726
sulbactam,-0.08558589220046997,-0.08558589220046997,-0.08558589220046997,-0.08558589220046997,0.0,1,1,1.0,,,0.2129,0.7331146666666667,0.7874,0.9995560784313726
