drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
penitrem-a,-0.28190016746520996,-0.28190016746520996,-0.28190016746520996,-0.28190016746520996,0.0,1,1,1.0,Potassium channel blocker,KCNMA1,0.0264,0.53655,0.974,1.0
CHIR-99021,-0.25213053822517395,-0.25213053822517395,-0.25213053822517395,-0.25213053822517395,0.0,1,1,1.0,,,0.0489,0.7074830985915492,0.9514,1.0
brefeldin-a,-0.24835717678070068,-0.17099695246328006,-0.3391838073730469,0.11714541912078857,0.15053789392741468,11,11,0.8181818181818182,,,0.0001,0.02555,1.0,1.0
crotamiton,-0.2442055642604828,-0.2442055642604828,-0.2442055642604828,-0.2442055642604828,0.0,1,1,1.0,,,0.0558,0.7074830985915492,0.9443,1.0
benzatropine,-0.24188745021820068,-0.24188745021820068,-0.24188745021820068,-0.24188745021820068,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.0594,0.7074830985915492,0.941,1.0
guanethidine,-0.23783795535564423,-0.23783795535564423,-0.40495532751083374,-0.07072058320045471,0.16711737215518951,2,2,1.0,,,0.0153,0.4599,0.9847,1.0
BI-2536,-0.21327635645866394,-0.18597491458058357,-0.28753527998924255,0.14143238961696625,0.11041475982257884,12,12,0.9166666666666666,PLK inhibitor,PLK1,0.0001,0.02555,1.0,1.0
ezetimibe,-0.2117258608341217,-0.04451572895050049,-0.28834250569343567,0.43810638785362244,0.2528366775721914,7,7,0.5714285714285714,Cholesterol inhibitor,NPC1L1,0.0019,0.12775,0.9981,1.0
alclometasone,-0.20747022330760956,-0.20747022330760956,-0.3011872470378876,-0.11375319957733154,0.09371702373027802,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0344,0.6079137931034483,0.9656,1.0
XMD-1185H,-0.20438388735055923,-0.16941402107477188,-0.2756493389606476,0.06441700458526611,0.11901227238167525,6,6,0.8333333333333334,,,0.0036,0.2044,0.9964,1.0
withaferin-a,-0.20420265197753906,-0.14948588609695435,-0.3602886199951172,0.09093320369720459,0.141585061008075,9,9,0.7777777777777778,IKK inhibitor,NAMPT,0.002,0.12775,0.9981,1.0
prednisone,-0.20070144534111023,-0.10794119536876678,-0.33241793513298035,0.30205604434013367,0.25808988030060437,4,4,0.75,Glucocorticoid receptor agonist,NR3C1,0.0121,0.41220666666666667,0.9879,1.0
dienestrol,-0.1937400996685028,-0.1937400996685028,-0.2401028871536255,-0.14737731218338013,0.04636278748512268,2,2,1.0,Estrogen receptor agonist,ESR1,0.0459,0.7074830985915492,0.9541,1.0
carbidopa,-0.19135937094688416,-0.19135937094688416,-0.2989550828933716,-0.08376365900039673,0.10759571194648743,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.049,0.7074830985915492,0.951,1.0
silibinin,-0.1911028027534485,-0.1911028027534485,-0.1911028027534485,-0.1911028027534485,0.0,1,1,1.0,,,0.1301,0.7223926315789474,0.8702,1.0
argatroban,-0.1893945038318634,-0.09146270155906677,-0.2582533359527588,0.24234867095947266,0.19546353979889383,6,6,0.6666666666666666,Thrombin inhibitor,F2,0.0092,0.37595,0.9908,1.0
indirubin,-0.18733827769756317,-0.1585104987025261,-0.3962465524673462,0.13472706079483032,0.1701828993768117,8,8,0.75,CDK inhibitor,CDK5,0.0044,0.22484,0.9956,1.0
guggulsterone,-0.18728060275316238,-0.18903949732581773,-0.39034363627433777,-0.07408642768859863,0.08230572704476573,12,12,1.0,IKK inhibitor,NR3C1,0.0003,0.0511,0.9997,1.0
mometasone,-0.18279916048049927,-0.18279916048049927,-0.26593589782714844,-0.0996624231338501,0.08313673734664917,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0616,0.7074830985915492,0.9384,1.0
oxantel,-0.18134789168834686,-0.18134789168834686,-0.28151023387908936,-0.08118554949760437,0.10016234219074249,2,2,1.0,,,0.064,0.7074830985915492,0.936,1.0
CGS-21680,-0.18134251236915588,-0.18134251236915588,-0.20650514960289001,-0.15617987513542175,0.02516263723373413,2,2,1.0,Adenosine receptor agonist,ADORA1,0.064,0.7074830985915492,0.936,1.0
levcromakalim,-0.18062418699264526,-0.05758602619171142,-0.24675440788269043,0.2391040325164795,0.19175212146066042,5,5,0.6,Potassium channel activator,KCNJ8,0.0273,0.53655,0.9728,1.0
serotonin,-0.18048882484436035,-0.18048882484436035,-0.25712162256240845,-0.10385602712631226,0.0766327977180481,2,2,1.0,Growth factor receptor activator,HTR1A,0.065,0.7074830985915492,0.935,1.0
OMDM-2,-0.1783558577299118,-0.1783558577299118,-0.2309074103832245,-0.12580430507659912,0.05255155265331268,2,2,1.0,,,0.0682,0.7074830985915492,0.9318,1.0
austricine,-0.17720457911491394,-0.22405356913805008,-0.3932882845401764,-0.14851683378219604,0.09847001137606519,4,4,1.0,,,0.0324,0.6079137931034483,0.9676,1.0
NSC-693868,-0.1745663806796074,-0.07795189693570137,-0.23863592743873596,0.26401156187057495,0.17026789105776108,12,12,0.6666666666666666,CDK inhibitor,CDK5,0.0017,0.12775,0.9983,1.0
H-9,-0.17362718284130096,-0.08842679858207703,-0.28360068798065186,0.27566397190093994,0.18761023971421023,12,12,0.6666666666666666,PKA inhibitor,PRKACA,0.0019,0.12775,0.9981,1.0
exemestane,-0.17148736119270325,-0.16283106803894043,-0.27268707752227783,-0.0724787712097168,0.05797976866488034,9,9,1.0,Aromatase inhibitor,CYP19A1,0.0097,0.37595,0.9904,1.0
lasalocid,-0.1708579659461975,-0.09882326010200712,-0.3564322292804718,0.2719717025756836,0.20752238841106843,9,9,0.6666666666666666,,,0.0103,0.37595,0.9898,1.0
ampicillin,-0.16849488019943237,-0.16303078333536783,-0.19459670782089233,-0.1260007619857788,0.028269455980597,3,3,1.0,,,0.0859,0.7074830985915492,0.9142,1.0
tribenoside,-0.16769984364509583,-0.16769984364509583,-0.19975782930850983,-0.13564185798168182,0.032057985663414,2,2,1.0,,,0.0851,0.7074830985915492,0.9149,1.0
megestrol,-0.16707485914230347,-0.16707485914230347,-0.1861303150653839,-0.14801940321922302,0.019055455923080444,2,2,1.0,,,0.0866,0.7074830985915492,0.9134,1.0
terbutaline,-0.16654124855995178,-0.16654124855995178,-0.22643625736236572,-0.10664623975753784,0.05989500880241394,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.0872,0.7074830985915492,0.9128,1.0
fluocinonide,-0.16566558182239532,-0.16566558182239532,-0.1922619342803955,-0.13906922936439514,0.026596352458000183,2,2,1.0,,,0.0891,0.7074830985915492,0.9109,1.0
limonin,-0.16270386427640915,-0.16270386427640915,-0.19024279713630676,-0.13516493141651154,0.027538932859897614,2,2,1.0,,,0.0945,0.7074830985915492,0.9055,1.0
taxifolin,-0.16212092339992523,-0.1141822338104248,-0.19618481397628784,0.12323692440986633,0.1119507128392074,6,6,0.8333333333333334,Opioid receptor antagonist,ADIPOR2,0.0345,0.6079137931034483,0.9655,1.0
dinoprost,-0.16131708025932312,-0.16131708025932312,-0.2639304995536804,-0.05870366096496582,0.1026134192943573,2,2,1.0,Prostacyclin analog,PTGDR,0.0968,0.7074830985915492,0.9032,1.0
mevastatin,-0.15659765899181366,-0.16977660357952118,-0.2710452377796173,-0.09486585855484009,0.06383645120554667,4,4,1.0,HMGCR inhibitor,HMGCR,0.063,0.7074830985915492,0.937,1.0
