drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
anisomycin,-0.16789957880973816,-0.16789957880973816,-0.16789957880973816,-0.16789957880973816,0.0,1,1,1.0,,,0.0519,0.7560477272727273,0.9485,1.0
crotamiton,-0.16462817788124084,-0.16462817788124084,-0.16462817788124084,-0.16462817788124084,0.0,1,1,1.0,,,0.055,0.7560477272727273,0.9451,1.0
brefeldin-a,-0.1584542989730835,-0.12663319571451706,-0.23706036806106567,0.09020796418190002,0.08890081713574996,11,11,0.9090909090909091,,,0.0001,0.0511,1.0,1.0
austricine,-0.154200941324234,-0.14831501990556717,-0.22368302941322327,-0.06117516756057739,0.06340231333741901,4,4,1.0,,,0.0046,0.39176666666666665,0.9954,1.0
guanethidine,-0.1472303718328476,-0.1472303718328476,-0.23500803112983704,-0.059452712535858154,0.08777765929698944,2,2,1.0,,,0.028,0.7560477272727273,0.972,1.0
penitrem-a,-0.1456560641527176,-0.1456560641527176,-0.1456560641527176,-0.1456560641527176,0.0,1,1,1.0,Potassium channel blocker,KCNMA1,0.0873,0.7688227272727273,0.9131,1.0
CGS-21680,-0.1404571756720543,-0.1404571756720543,-0.18885883688926697,-0.09205551445484161,0.04840166121721268,2,2,1.0,Adenosine receptor agonist,ADORA1,0.0342,0.7560477272727273,0.9658,1.0
sulindac,-0.14000466465950012,-0.07091893752415974,-0.1476033329963684,0.07485118508338928,0.10312171263087885,3,3,0.6666666666666666,Cyclooxygenase inhibitor,AKR1B1,0.0281,0.7560477272727273,0.972,1.0
indirubin,-0.13948513567447662,-0.08310945332050323,-0.23863285779953003,0.0914229154586792,0.13310707193556884,8,8,0.625,CDK inhibitor,CDK5,0.0011,0.140525,0.9989,1.0
alclometasone,-0.133540540933609,-0.133540540933609,-0.1944209337234497,-0.07266014814376831,0.0608803927898407,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0446,0.7560477272727273,0.9554,1.0
ezetimibe,-0.1279292106628418,-0.023212309394563948,-0.17954543232917786,0.21087342500686646,0.15193262222610623,7,7,0.5714285714285714,Cholesterol inhibitor,NPC1L1,0.0076,0.48545,0.9925,1.0
ampicillin,-0.12762558460235596,-0.12754087646802267,-0.16701409220695496,-0.08798295259475708,0.03226438323912499,3,3,1.0,,,0.0457,0.7560477272727273,0.9544,1.0
dopamine,-0.12664543092250824,-0.12664543092250824,-0.160418301820755,-0.09287256002426147,0.033772870898246765,2,2,1.0,Dopamine receptor agonist,DRD1,0.0569,0.7560477272727273,0.9431,1.0
calcitriol,-0.125288188457489,-0.08422823479542366,-0.20134252309799194,0.11055952310562134,0.09273237211876752,13,13,0.7692307692307693,Vitamin D receptor agonist,VDR,0.0007,0.140525,0.9993,1.0
tobramycin,-0.12437644600868225,-0.12437644600868225,-0.19482198357582092,-0.05393090844154358,0.07044553756713867,2,2,1.0,,,0.0604,0.7560477272727273,0.9396,1.0
dienestrol,-0.12251506745815277,-0.12251506745815277,-0.13656562566757202,-0.10846450924873352,0.01405055820941925,2,2,1.0,Estrogen receptor agonist,ESR1,0.0632,0.7560477272727273,0.9368,1.0
terbutaline,-0.11769071966409683,-0.11769071966409683,-0.15494638681411743,-0.08043505251407623,0.0372556671500206,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.0726,0.7635519230769231,0.9274,1.0
A-443654,-0.11720108985900879,-0.09292105111208829,-0.2425382137298584,0.07445147633552551,0.09333959277129626,11,11,0.8181818181818182,,,0.0036,0.36791999999999997,0.9965,1.0
tribenoside,-0.11520169675350189,-0.11520169675350189,-0.1366209089756012,-0.09378248453140259,0.021419212222099304,2,2,1.0,,,0.0771,0.7635519230769231,0.9229,1.0
norgestrel,-0.1122371107339859,-0.06508731842041016,-0.17930206656455994,0.2059231400489807,0.12547365018300385,6,6,0.8333333333333334,,,0.0241,0.7560477272727273,0.9759,1.0
megestrol,-0.11192308366298676,-0.11192308366298676,-0.11525064706802368,-0.10859552025794983,0.0033275634050369263,2,2,1.0,,,0.0843,0.7688227272727273,0.9157,1.0
limonin,-0.11165229976177216,-0.11165229976177216,-0.16926583647727966,-0.05403876304626465,0.05761353671550751,2,2,1.0,,,0.085,0.7688227272727273,0.915,1.0
celastrol,-0.11145904660224915,-0.05805213004350662,-0.17200201749801636,0.10549086332321167,0.10739102657064165,6,6,0.6666666666666666,,,0.0259,0.7560477272727273,0.9741,1.0
CHIR-99021,-0.11045393347740173,-0.11045393347740173,-0.11045393347740173,-0.11045393347740173,0.0,1,1,1.0,,,0.1792,0.8524409090909091,0.8211,1.0
XMD-1185H,-0.10816999897360802,-0.117030152430137,-0.2127658575773239,-0.0519365519285202,0.05278615927513556,6,6,1.0,,,0.0305,0.7560477272727273,0.9695,1.0
cefotaxime,-0.10781899094581604,-0.10781899094581604,-0.14932620525360107,-0.066311776638031,0.041507214307785034,2,2,1.0,,,0.0941,0.7688227272727273,0.9059,1.0
withaferin-a,-0.10780972242355347,-0.06922008925014073,-0.14940416812896729,0.10270664095878601,0.09064506731707828,9,9,0.7777777777777778,IKK inhibitor,NAMPT,0.0161,0.7479181818181818,0.9845,1.0
XMD-16144,-0.10750839114189148,-0.07064111232757568,-0.12348008155822754,0.08038702607154846,0.07607320218208698,5,5,0.8,,,0.0493,0.7560477272727273,0.9511,1.0
tanespimycin,-0.10605186223983765,-0.0537739623534052,-0.29432249069213867,0.2014363408088684,0.13693531055489325,19,19,0.631578947368421,HSP inhibitor,HSP90AA1,0.001,0.140525,0.999,1.0
carbidopa,-0.10602064430713654,-0.10602064430713654,-0.1343972384929657,-0.07764405012130737,0.028376594185829163,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0973,0.7688227272727273,0.9027,1.0
argatroban,-0.10455463826656342,-0.05189650505781174,-0.2029716521501541,0.2277805209159851,0.14993399083806763,6,6,0.6666666666666666,Thrombin inhibitor,F2,0.0376,0.7560477272727273,0.9624,1.0
tamoxifen,-0.10393337905406952,-0.04993391610108889,-0.2590636909008026,0.14354479312896729,0.13166603576334457,13,13,0.6153846153846154,Estrogen receptor antagonist,ESR1,0.0076,0.48545,0.9924,1.0
exemestane,-0.1024782657623291,-0.10125174290604061,-0.21420645713806152,0.053030937910079956,0.0717284023533146,9,9,0.8888888888888888,Aromatase inhibitor,CYP19A1,0.0242,0.7560477272727273,0.9759,1.0
naltriben,-0.10243452712893486,-0.10243452712893486,-0.14624744653701782,-0.0586216077208519,0.04381291940808296,2,2,1.0,Opioid receptor antagonist,OPRD1,0.1074,0.7782391891891892,0.8926,1.0
