drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
ethisterone,-0.2319922149181366,-0.2319922149181366,-0.26341456174850464,-0.20056986808776855,0.03142234683036804,2,2,1.0,,,0.0032,0.3105307692307692,0.9968,0.9982
anisomycin,-0.22615522146224976,-0.22615522146224976,-0.22615522146224976,-0.22615522146224976,0.0,1,1,1.0,,,0.045,0.499891304347826,0.9553,0.9982
androstanol,-0.2145150899887085,-0.2145150899887085,-0.2145150899887085,-0.2145150899887085,0.0,1,1,1.0,,,0.061,0.5667454545454546,0.9393,0.9982
nitrofural,-0.21127887070178986,-0.21127887070178986,-0.2503582835197449,-0.17219945788383484,0.03907941281795502,2,2,1.0,,,0.0094,0.3105307692307692,0.9906,0.9982
acitretin,-0.2110896110534668,-0.2110896110534668,-0.22714895009994507,-0.19503027200698853,0.01605933904647827,2,2,1.0,Retinoid receptor agonist,RARA,0.0095,0.3105307692307692,0.9905,0.9982
asenapine,-0.21095101535320282,-0.21095101535320282,-0.2403269112110138,-0.18157511949539185,0.029375895857810974,2,2,1.0,Dopamine receptor antagonist,ADRB2,0.0096,0.3105307692307692,0.9904,0.9982
memantine,-0.19125670194625854,-0.13952656586964926,-0.27264153957366943,0.12717321515083313,0.12879365557253605,6,6,0.8333333333333334,Glutamate receptor antagonist,GRIN1,0.002,0.3105307692307692,0.998,0.9982
selegiline,-0.1830352246761322,-0.16534756762640818,-0.2552691698074341,-0.0490381121635437,0.06345889862116895,7,7,1.0,Monoamine oxidase inhibitor,MAOA,0.004,0.3105307692307692,0.996,0.9982
mometasone,-0.18202298879623413,-0.18202298879623413,-0.20753908157348633,-0.15650689601898193,0.025516092777252197,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0293,0.40748974358974355,0.9707,0.9982
atovaquone,-0.18201452493667603,-0.10027039647102357,-0.2560262680053711,0.15761882066726685,0.1471919733794643,5,5,0.8,,,0.0126,0.3105307692307692,0.9874,0.9982
tetrabenazine,-0.18141967058181763,-0.18141967058181763,-0.20517319440841675,-0.1576661467552185,0.02375352382659912,2,2,1.0,Vesicular monoamine transporter inhibitor,SLC18A2,0.0299,0.40748974358974355,0.9701,0.9982
rivaroxaban,-0.18075381219387054,-0.11820539832115173,-0.20824885368347168,0.1560911238193512,0.12675534050353113,6,6,0.8333333333333334,Coagulation factor inhibitor,F10,0.0044,0.3105307692307692,0.9956,0.9982
icariin,-0.18074201047420502,-0.18074201047420502,-0.22982576489448547,-0.13165825605392456,0.04908375442028046,2,2,1.0,,,0.0306,0.40748974358974355,0.9694,0.9982
alimemazine,-0.18059498071670532,-0.18059498071670532,-0.18059498071670532,-0.18059498071670532,0.0,1,1,1.0,Histamine receptor ligand,HRH1,0.1149,0.6907517647058824,0.8853,0.9982
oxymetholone,-0.17587167024612427,-0.17587167024612427,-0.20080304145812988,-0.15094029903411865,0.024931371212005615,2,2,1.0,Androgen receptor agonist,AR,0.0374,0.46613170731707315,0.9626,0.9982
chlortetracycline,-0.17192569375038147,-0.17192569375038147,-0.2020670771598816,-0.14178431034088135,0.030141383409500122,2,2,1.0,,,0.0425,0.49510222222222217,0.9575,0.9982
alprostadil,-0.16690665483474731,-0.13070314526557922,-0.22471877932548523,0.11383974552154541,0.12581118527789317,5,5,0.8,Prostanoid receptor agonist,PTGER1,0.0239,0.40748974358974355,0.9762,0.9982
tranylcypromine,-0.16673767566680908,-0.08371622434684209,-0.2713673710823059,0.19264748692512512,0.16993804357528525,7,7,0.7142857142857143,Monoamine oxidase inhibitor,KDM1A,0.0091,0.3105307692307692,0.991,0.9982
tropisetron,-0.16530799865722656,-0.07775773604710896,-0.19342148303985596,0.181243896484375,0.14259398164072362,9,9,0.6666666666666666,Serotonin receptor antagonist,HTR3A,0.0038,0.3105307692307692,0.9964,0.9982
orantinib,-0.16395433247089386,-0.14765802212059498,-0.2932281494140625,0.08269117772579193,0.1139717548706602,8,8,0.875,FGFR inhibitor,FGFR1,0.0052,0.3105307692307692,0.9948,0.9982
