drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
cefotaxime,-0.1380428671836853,-0.1380428671836853,-0.1561477780342102,-0.1199379563331604,0.018104910850524902,2,2,1.0,,,0.0032,0.14865454545454546,0.9968,1.0
Y-27632,-0.11662882566452026,-0.0703016502989663,-0.14682775735855103,0.07165509462356567,0.07895505621495127,9,9,0.7777777777777778,Rho associated kinase inhibitor,ROCK1,0.0001,0.012775,0.9999,1.0
mometasone,-0.11623385548591614,-0.11623385548591614,-0.13249307870864868,-0.0999746322631836,0.016259223222732544,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0124,0.4224266666666666,0.9876,1.0
tetrabenazine,-0.11223316192626953,-0.11223316192626953,-0.13982221484184265,-0.08464410901069641,0.02758905291557312,2,2,1.0,Vesicular monoamine transporter inhibitor,SLC18A2,0.016,0.45422222222222225,0.984,1.0
ibutilide,-0.10965596139431,-0.10965596139431,-0.11202311515808105,-0.10728880763053894,0.002367153763771057,2,2,1.0,Potassium channel blocker,KCNH2,0.019,0.48545,0.981,1.0
SU-11274,-0.10764533281326294,-0.029557308980396817,-0.11676818132400513,0.11337459087371826,0.09769205046998372,7,7,0.5714285714285714,Tyrosine kinase inhibitor,MET,0.0008,0.0584,0.9992,1.0
SB-366791,-0.10585764050483704,-0.10585764050483704,-0.11415624618530273,-0.09755903482437134,0.008298605680465698,2,2,1.0,TRPV antagonist,TRPV1,0.0244,0.5667454545454546,0.9756,1.0
NVP-AUY922,-0.0986289530992508,-0.10909758359193802,-0.1770545244216919,-0.0641404390335083,0.03991485971516774,10,10,1.0,HSP inhibitor,HSP90AA1,0.0004,0.03406666666666667,0.9996,1.0
dexamethasone,-0.0969991385936737,-0.0830532998630875,-0.1525861620903015,0.08122846484184265,0.061594329911900746,19,19,0.8947368421052632,Glucocorticoid receptor agonist,NR3C1,0.0001,0.012775,1.0,1.0
betamethasone,-0.09575037658214569,-0.09118518233299255,-0.17148703336715698,0.05684120953083038,0.05303896177771171,12,12,0.9166666666666666,Glucocorticoid receptor agonist,NR3C1,0.0001,0.012775,1.0,1.0
alclometasone,-0.09489843249320984,-0.09489843249320984,-0.11613839864730835,-0.07365846633911133,0.02123996615409851,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.042,0.6350999999999999,0.958,1.0
orteronel,-0.09464572370052338,-0.09216855963071187,-0.11577856540679932,-0.046959638595581055,0.02187354520096234,6,6,1.0,Cytochrome P450 inhibitor,CYP17A1,0.0038,0.16181666666666666,0.9962,1.0
GBR-13069,-0.09353505074977875,-0.08827456831932068,-0.10261112451553345,-0.06341704726219177,0.015015200748729885,4,4,1.0,Dopamine uptake inhibitor,SLC6A3,0.0158,0.45422222222222225,0.9842,1.0
U-0126,-0.09272618591785431,-0.06583334964055282,-0.23834967613220215,0.061402827501297,0.0910826116185602,13,13,0.6923076923076923,MEK inhibitor,MAP2K1,0.0003,0.03066,0.9997,1.0
tanespimycin,-0.09242373704910278,-0.05688844974103727,-0.19068454205989838,0.10403875261545181,0.08130839273822207,19,19,0.6842105263157895,HSP inhibitor,HSP90AA1,0.0001,0.012775,1.0,1.0
afatinib,-0.09165501594543457,-0.061428331666522555,-0.12303328514099121,0.0691746175289154,0.07268556414493878,9,9,0.7777777777777778,EGFR inhibitor,EGFR,0.0018,0.1022,0.9982,1.0
