drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
topotecan,-0.32961979508399963,-0.3074328535132938,-0.41408032178878784,-0.15882045030593872,0.07841338834641176,9,9,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.00365,1.0,1.0
camptothecin,-0.2849572002887726,-0.28984298929572105,-0.3529128432273865,-0.22691136598587036,0.04303979440971924,8,8,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.00365,1.0,1.0
epirubicin,-0.2804117500782013,-0.26381118098894757,-0.30491065979003906,-0.19983983039855957,0.036169512804541615,6,6,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.00365,1.0,1.0
SN-38,-0.2788485884666443,-0.2743653605381648,-0.35278546810150146,-0.18384456634521484,0.0637997010507916,6,6,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.00365,1.0,1.0
doxorubicin,-0.2779950499534607,-0.25706312331286346,-0.34260067343711853,-0.15184444189071655,0.06044726890525422,11,11,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.00365,1.0,1.0
idarubicin,-0.27018478512763977,-0.26540009464536396,-0.30999425053596497,-0.19147762656211853,0.037658608785754846,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.00365,1.0,1.0
amsacrine,-0.25468435883522034,-0.25914167506354197,-0.2992103695869446,-0.218481183052063,0.025581775837317054,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.00365,0.9999,1.0
daunorubicin,-0.25137853622436523,-0.24782834603236273,-0.321200966835022,-0.15152904391288757,0.057498720260991544,13,13,1.0,RNA synthesis inhibitor,TOP2A,0.0001,0.00365,1.0,1.0
prothionamide,-0.24921515583992004,-0.24921515583992004,-0.24921515583992004,-0.24921515583992004,0.0,1,1,1.0,,,0.032,0.37279772727272725,0.9682,1.0
staurosporine,-0.2457388937473297,-0.2432066835463047,-0.2774725556373596,-0.20212966203689575,0.02761034862750155,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.00365,1.0,1.0
PIK-75,-0.243747740983963,-0.1764154632886251,-0.29925337433815,0.20964086055755615,0.14709499749693455,9,9,0.8888888888888888,PI3K inhibitor,PIK3CA,0.0001,0.00365,1.0,1.0
celastrol,-0.23683561384677887,-0.16406188905239105,-0.31620439887046814,0.11711585521697998,0.15195292600562313,6,6,0.8333333333333334,,,0.0001,0.00365,1.0,1.0
dactinomycin,-0.23620527982711792,-0.24774611989657083,-0.34792307019233704,-0.18224897980690002,0.0469724161787388,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0001,0.00365,1.0,1.0
mitomycin-c,-0.22077281773090363,-0.20917010307312012,-0.3103141486644745,-0.09663790464401245,0.07426568521871273,6,6,1.0,,,0.0001,0.00365,0.9999,1.0
etoposide,-0.21968066692352295,-0.2125928815115582,-0.33625954389572144,-0.07304306328296661,0.08058393884111233,11,11,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.00365,1.0,1.0
