drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
GDC-0980,-0.41163307428359985,-0.4140516519546509,-0.45389458537101746,-0.37112298607826233,0.027115610952429627,5,5,1.0,MTOR inhibitor,MTOR,0.0001,0.0073,1.0,1.0
temsirolimus,-0.3698267936706543,-0.33244546396391733,-0.3955736756324768,-0.24891075491905212,0.06058523317621597,7,7,1.0,MTOR inhibitor,MTOR,0.0001,0.0073,1.0,1.0
staurosporine,-0.3050083667039871,-0.32053589075803757,-0.366909921169281,-0.297793984413147,0.026379332153363487,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.0073,1.0,1.0
benzatropine,-0.3029688596725464,-0.3029688596725464,-0.3029688596725464,-0.3029688596725464,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.0479,0.4801471698113207,0.9524,1.0
GSK-1059615,-0.29882365465164185,-0.2928949970574606,-0.40503451228141785,-0.15818314254283905,0.069827219624961,21,21,1.0,,,0.0001,0.0073,1.0,1.0
carbidopa,-0.2870286852121353,-0.2870286852121353,-0.3159755766391754,-0.2580817937850952,0.0289468914270401,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.011,0.17497878787878784,0.989,1.0
triptolide,-0.28296297788619995,-0.24957787990570068,-0.31887757778167725,-0.14928355813026428,0.06175054671421489,7,7,1.0,,,0.0007,0.031446153846153846,0.9993,1.0
A-443654,-0.2765001356601715,-0.2586813839999112,-0.36071696877479553,-0.13007554411888123,0.07797424191465455,11,11,1.0,,,0.0001,0.0073,0.9999,1.0
idarubicin,-0.2748066782951355,-0.27421873807907104,-0.3955157995223999,-0.1979333758354187,0.06342487066516683,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0012,0.03607058823529412,0.9988,1.0
QL-X-138,-0.2742520570755005,-0.2492188960313797,-0.36720287799835205,-0.06680825352668762,0.10560086858147051,6,6,1.0,,,0.001,0.03607058823529412,0.999,1.0
SN-38,-0.2714692950248718,-0.24072903394699097,-0.3499036729335785,-0.09328192472457886,0.10060874752770554,6,6,1.0,Topoisomerase inhibitor,TOP1,0.0012,0.03607058823529412,0.9988,1.0
vicriviroc,-0.2714419662952423,-0.19560333589712778,-0.2943390905857086,0.06504189968109131,0.12955929346943085,6,6,0.8333333333333334,CCK receptor antagonist,CCR5,0.0012,0.03607058823529412,0.9988,1.0
ivermectin,-0.27113986015319824,-0.27113986015319824,-0.29276642203330994,-0.24951329827308655,0.021626561880111694,2,2,1.0,,,0.0179,0.2380512195121951,0.9821,1.0
camptothecin,-0.2701772153377533,-0.26047846861183643,-0.31369274854660034,-0.18847092986106873,0.03947442785347259,8,8,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.0073,1.0,1.0
lestaurtinib,-0.26635152846574783,-0.26557403554519016,-0.3552093505859375,-0.16372883319854736,0.07320708634921963,6,6,1.0,JAK inhibitor,FLT3,0.0016,0.04303157894736842,0.9984,1.0
SB-205607,-0.2608637660741806,-0.2073916718363762,-0.32320818305015564,-0.0536922812461853,0.11012319911787267,8,8,1.0,Delta 1 opioid receptor agonist,OPRD1,0.0003,0.01703333333333333,0.9997,1.0
amsacrine,-0.25322312116622925,-0.18606177823884146,-0.3204568326473236,0.08519184589385986,0.13504232180770462,7,7,0.8571428571428571,Topoisomerase inhibitor,TOP2A,0.0041,0.09109130434782609,0.996,1.0
dactinomycin,-0.2531171441078186,-0.26236515243848163,-0.32744109630584717,-0.21900367736816406,0.03686344832402741,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0008,0.031446153846153846,0.9992,1.0
topotecan,-0.24871701002120972,-0.21790576312277052,-0.2942761778831482,0.09235817193984985,0.11246094977823477,9,9,0.8888888888888888,Topoisomerase inhibitor,TOP1,0.0013,0.03690555555555555,0.9988,1.0
doxorubicin,-0.24866241216659546,-0.2218997972932729,-0.3072614073753357,-0.0695032998919487,0.06375627338173916,11,11,1.0,Topoisomerase inhibitor,TOP2A,0.0008,0.031446153846153846,0.9992,1.0
sirolimus,-0.2478429526090622,-0.231959556652741,-0.3942427635192871,0.1747705638408661,0.11293051943650334,22,22,0.9545454545454546,MTOR inhibitor,FKBP1A,0.0001,0.0073,1.0,1.0
isradipine,-0.24655503034591675,-0.1899054433618273,-0.31938743591308594,0.14590483903884888,0.15195442862753622,7,7,0.8571428571428571,Calcium channel blocker,CACNA1C,0.0057,0.10748620689655174,0.9943,1.0
cilastatin,-0.24380207061767578,-0.06290215679577418,-0.37158483266830444,0.31435322761535645,0.2636848370373683,7,7,0.5714285714285714,Dehydropeptidase inhibitor,DPEP1,0.0061,0.10748620689655174,0.9939,1.0
