sig_idx,cmap_name,cell_iname,moa,target,enrichment_score
82888,GDC-0980,HA1E,MTOR inhibitor,MTOR,-0.453895
82894,GDC-0980,MCF7,MTOR inhibitor,MTOR,-0.427409
110145,ezetimibe,PC3,Cholesterol inhibitor,NPC1L1,-0.424675
89763,OSI-027,HA1E,MTOR inhibitor,MTOR,-0.423949
106502,deforolimus,PC3,MTOR inhibitor,MTOR,-0.416685
89984,PD-0325901,HT29,MEK inhibitor,MAP2K1,-0.412121
82896,GDC-0980,PC3,MTOR inhibitor,MTOR,-0.411633
82886,GDC-0980,A375,MTOR inhibitor,MTOR,-0.406198
83233,GSK-1059615,SHSY5Y,,,-0.405035
109951,etoposide,MCF7,Topoisomerase inhibitor,TOP2A,-0.404593
129745,tramadol,PC3,Opioid receptor agonist,OPRM1,-0.403204
90714,PIK-75,A549,PI3K inhibitor,PIK3CA,-0.396858
128105,temsirolimus,HA1E,MTOR inhibitor,MTOR,-0.395574
113292,idarubicin,A549,Topoisomerase inhibitor,TOP2A,-0.395516
126563,sirolimus,VCAP,MTOR inhibitor,FKBP1A,-0.394243
128121,temsirolimus,PC3,MTOR inhibitor,MTOR,-0.392991
131580,withaferin-a,HEPG2,IKK inhibitor,NAMPT,-0.392860
83236,GSK-1059615,THP1,,,-0.392387
89774,OSI-027,PC3,MTOR inhibitor,MTOR,-0.389240
83219,GSK-1059615,HEPG2,,,-0.389166
119037,naringenin,PC3,TRPV antagonist,CYP19A1,-0.387045
129744,tramadol,MCF7,Opioid receptor agonist,OPRM1,-0.380892
83210,GSK-1059615,A549,,,-0.379693
84060,HG-5-113-01,MCF7,,,-0.379357
104091,ceramide,A375,,,-0.378202
128111,temsirolimus,HT29,MTOR inhibitor,MTOR,-0.377622
83214,GSK-1059615,HA1E,,,-0.371899
104513,cilastatin,A549,Dehydropeptidase inhibitor,DPEP1,-0.371585
82892,GDC-0980,HT29,MTOR inhibitor,MTOR,-0.371123
90002,PD-0325901,VCAP,MEK inhibitor,MAP2K1,-0.370871
128115,temsirolimus,MCF7,MTOR inhibitor,MTOR,-0.369827
126554,sirolimus,SKB,MTOR inhibitor,FKBP1A,-0.369234
91392,QL-X-138,HA1E,,,-0.367203
126919,staurosporine,A375,PKC inhibitor,CDK2,-0.366910
1988,AZD-7762,A549,CHK inhibitor,CHEK1,-0.365018
90721,PIK-75,HT29,PI3K inhibitor,PIK3CA,-0.363210
103282,calpeptin,MCF7,,,-0.361081
363,A-443654,MCF10A,,,-0.360717
89773,OSI-027,NPC,MTOR inhibitor,MTOR,-0.360303
110033,everolimus,HT29,MTOR inhibitor,MTOR,-0.359600
129797,tranilast,HA1E,,,-0.358414
86712,L-689560,SKB,,,-0.356380
115156,lestaurtinib,HA1E,JAK inhibitor,FLT3,-0.355209
102800,brucine,PC3,,,-0.354014
89767,OSI-027,HS578T,MTOR inhibitor,MTOR,-0.353744
126929,staurosporine,PC3,PKC inhibitor,CDK2,-0.353741
89656,OBAA,PC3,Phospholipase inhibitor,PLA2G1B,-0.353074
115633,linsitinib,HT29,IGF-1 inhibitor,IGF1R,-0.351811
111571,fulvestrant,MCF7,Estrogen receptor antagonist,ESR1,-0.351180
126513,sirolimus,ASC,MTOR inhibitor,FKBP1A,-0.350740
