drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
fluvastatin,-0.5320059508085251,-0.5320059508085251,-0.5694416761398315,-0.49457022547721863,0.03743572533130646,2,2,1.0,HMGCR inhibitor,HMGCR,0.001,0.0319375,0.999,1.0
ivermectin,-0.5188609659671783,-0.5188609659671783,-0.616091787815094,-0.4216301441192627,0.09723082184791565,2,2,1.0,,,0.0021,0.0511,0.9979,1.0
GDC-0980,-0.5007196664810181,-0.4633049011230469,-0.5871524810791016,-0.31286919116973877,0.10546558967927741,5,5,1.0,MTOR inhibitor,MTOR,0.0005,0.01825,0.9995,1.0
amsacrine,-0.4924291968345642,-0.39349337773663656,-0.5423680543899536,-0.07050035893917084,0.15996690025209429,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0002,0.012775,0.9998,1.0
triptolide,-0.49103814363479614,-0.4155069249016898,-0.5503960251808167,-0.20588281750679016,0.1372413679008438,7,7,1.0,,,0.0002,0.012775,0.9998,1.0
digitoxin,-0.4883779287338257,-0.4883779287338257,-0.4883779287338257,-0.4883779287338257,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.044,0.36264516129032254,0.956,1.0
mevastatin,-0.4872990995645523,-0.405776746571064,-0.5196185111999512,-0.1288902759552002,0.16059238060256767,4,4,1.0,HMGCR inhibitor,HMGCR,0.0007,0.02384666666666667,0.9993,1.0
nutlin-3,-0.4699121564626694,-0.3700009621679783,-0.5777487754821777,0.13712623715400696,0.223794844707255,8,8,0.875,MDM inhibitor,MDM2,0.0001,0.012775,1.0,1.0
pancuronium,-0.4574011266231537,-0.4574011266231537,-0.4574011266231537,-0.4574011266231537,0.0,1,1,1.0,,,0.0637,0.4520930555555556,0.9366,1.0
topotecan,-0.4458372890949249,-0.38625513513882953,-0.5554335117340088,0.22734984755516052,0.22679738660010168,9,9,0.8888888888888888,Topoisomerase inhibitor,TOP1,0.0001,0.012775,1.0,1.0
staurosporine,-0.442063108086586,-0.44372011348605156,-0.5419586896896362,-0.35883793234825134,0.06131174980595584,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.012775,0.9999,1.0
doxorubicin,-0.43657922744750977,-0.3886799785223874,-0.5431063771247864,0.028279125690460205,0.14905405585911594,11,11,0.9090909090909091,Topoisomerase inhibitor,TOP2A,0.0002,0.012775,0.9998,1.0
camptothecin,-0.4285566508769989,-0.46943215653300285,-0.6219034194946289,-0.3610829710960388,0.08137638704923875,8,8,1.0,Topoisomerase inhibitor,TOP1,0.0002,0.012775,0.9998,1.0
epirubicin,-0.4261362701654434,-0.4354371676842372,-0.5434545278549194,-0.3555038571357727,0.06454045710809514,6,6,1.0,Topoisomerase inhibitor,TOP2A,0.0014,0.03974444444444444,0.9986,1.0
dactinomycin,-0.4181683659553528,-0.4419083595275879,-0.5504342913627625,-0.3345937728881836,0.0657854222855212,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0003,0.013936363636363636,0.9998,1.0
NVP-AEW541,-0.4138047397136688,-0.28302444730486187,-0.542905867099762,0.3332505524158478,0.2781064834773859,7,7,0.8571428571428571,IGF-1 inhibitor,IGF1R,0.0021,0.0511,0.998,1.0
lovastatin,-0.4114178419113159,-0.3818320251173443,-0.6132968068122864,-0.16834308207035065,0.13188533058778185,9,9,1.0,HMGCR inhibitor,HMGCR,0.0003,0.013936363636363636,0.9997,1.0
asiatic-acid,-0.40345118939876556,-0.40345118939876556,-0.495885968208313,-0.31101641058921814,0.09243477880954742,2,2,1.0,,,0.0282,0.3002125,0.9718,1.0
pitavastatin,-0.40096572041511536,-0.3731026550134023,-0.5995057821273804,-0.12981995940208435,0.1782735172543308,6,6,1.0,HMGCR inhibitor,HMGCR,0.0032,0.07026249999999999,0.9968,1.0
amikacin,-0.398290753364563,-0.398290753364563,-0.42184606194496155,-0.37473544478416443,0.02355530858039856,2,2,1.0,,,0.0312,0.30467169811320755,0.9688,1.0
SN-38,-0.3971569985151291,-0.37011176844437915,-0.5905759930610657,-0.10508659482002258,0.1663506218229042,6,6,1.0,Topoisomerase inhibitor,TOP1,0.0035,0.07153999999999999,0.9965,1.0
sunitinib,-0.396294042468071,-0.34593371748924256,-0.6175244450569153,0.05481165647506714,0.22325429734966262,10,10,0.9,KIT inhibitor,FLT1,0.0005,0.01825,0.9995,1.0
amlodipine,-0.39110302925109863,-0.2509917105947222,-0.4910726547241211,0.1583104431629181,0.26351185560997864,7,7,0.7142857142857143,Calcium channel blocker,CACNA1C,0.0054,0.10613076923076924,0.9946,1.0
JW-7-24-1,-0.3890942633152008,-0.3162539482116699,-0.4808998703956604,0.0947931706905365,0.20858442586041095,5,5,0.8,,,0.013,0.1748157894736842,0.9873,1.0
XMD-16144,-0.38875067234039307,-0.33714198470115664,-0.41269075870513916,-0.17140844464302063,0.08997636828022337,5,5,1.0,,,0.013,0.1748157894736842,0.987,1.0
cefepime,-0.3858639597892761,-0.3858639597892761,-0.4127705991268158,-0.35895732045173645,0.026906639337539673,2,2,1.0,,,0.0389,0.34360344827586203,0.9611,1.0
lestaurtinib,-0.3804595619440079,-0.3069467519720395,-0.4714699983596802,-0.039632976055145264,0.17005440556000814,6,6,1.0,JAK inhibitor,FLT3,0.0062,0.11629655172413793,0.9938,1.0
WHI-P154,-0.37825818359851837,-0.37825818359851837,-0.4267059564590454,-0.32981041073799133,0.04844777286052704,2,2,1.0,JAK inhibitor,EGFR,0.0429,0.3593754098360656,0.9571,1.0
