drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
sulbactam,-0.21074146032333374,-0.21074146032333374,-0.21074146032333374,-0.21074146032333374,0.0,1,1,1.0,,,0.0316,0.5744344827586206,0.9687,1.0
tranilast,-0.18515977263450623,-0.10634853531207357,-0.2294207513332367,0.07651178538799286,0.12022935973268549,7,7,0.7142857142857143,,,0.0001,0.02555,1.0,1.0
alfaxalone,-0.18322885036468506,-0.18322885036468506,-0.18322885036468506,-0.18322885036468506,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.0599,0.6717417475728155,0.9403,1.0
equol,-0.17306172847747803,-0.16455387572447458,-0.2280701994895935,-0.04524362087249756,0.05926557184618494,6,6,1.0,Estrogen receptor agonist,ESR1,0.0007,0.08176,0.9993,1.0
QL-X-138,-0.17156442999839783,-0.1243057648340861,-0.2732619345188141,0.07417863607406616,0.13339187578154796,6,6,0.6666666666666666,,,0.0007,0.08176,0.9993,1.0
mometasone,-0.16995883733034134,-0.16995883733034134,-0.17295387387275696,-0.16696380078792572,0.002995036542415619,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0171,0.40880000000000005,0.9829,1.0
flucloxacillin,-0.1681935340166092,-0.1681935340166092,-0.24904248118400574,-0.08734458684921265,0.08084894716739655,2,2,1.0,,,0.0186,0.41324347826086955,0.9814,1.0
BIX-02188,-0.16559068858623505,-0.16559068858623505,-0.1725558042526245,-0.15862557291984558,0.006965115666389465,2,2,1.0,,,0.0212,0.433328,0.9788,1.0
emetine,-0.16346116364002228,-0.17266293466091157,-0.24754729866981506,-0.11520668864250183,0.04701687593232094,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0001,0.02555,0.9999,1.0
MMPX,-0.15706515312194824,-0.12140496571858723,-0.1638939380645752,-0.04325580596923828,0.055330078939006946,3,3,1.0,,,0.0246,0.4655777777777778,0.9755,1.0
diflorasone,-0.15411777794361115,-0.15411777794361115,-0.25006940960884094,-0.05816614627838135,0.0959516316652298,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0326,0.5744344827586206,0.9674,1.0
estrone,-0.1533563733100891,-0.06106605794694689,-0.2248707115650177,0.13466787338256836,0.1411803516191238,9,9,0.5555555555555556,Estrogen receptor agonist,ESR1,0.0008,0.08176,0.9992,1.0
orantinib,-0.152740478515625,-0.13384656980633736,-0.25371628999710083,0.09967753291130066,0.10212567148144741,8,8,0.875,FGFR inhibitor,FGFR1,0.0012,0.1022,0.9988,1.0
dichlorobenzamil,-0.1510642170906067,-0.1510642170906067,-0.1510642170906067,-0.1510642170906067,0.0,1,1,1.0,,,0.1056,0.6717417475728155,0.8949,1.0
garcinol,-0.15082839131355286,-0.15082839131355286,-0.1676344871520996,-0.1340222954750061,0.016806095838546753,2,2,1.0,,,0.0365,0.6016612903225806,0.9635,1.0
nadolol,-0.14673495292663574,-0.060169413685798645,-0.1776694655418396,0.142971009016037,0.12412816090961007,9,9,0.6666666666666666,Adrenergic receptor antagonist,ADRB1,0.0021,0.1341375,0.9979,1.0
dorzolamide,-0.14585351943969727,-0.14585351943969727,-0.16583400964736938,-0.12587302923202515,0.01998049020767212,2,2,1.0,Carbonic anhydrase inhibitor,CA1,0.0426,0.62196,0.9574,1.0
anisomycin,-0.14103171229362488,-0.14103171229362488,-0.14103171229362488,-0.14103171229362488,0.0,1,1,1.0,,,0.1292,0.6717417475728155,0.8712,1.0
oxymetholone,-0.14079630374908447,-0.14079630374908447,-0.21348267793655396,-0.06810992956161499,0.07268637418746948,2,2,1.0,Androgen receptor agonist,AR,0.0508,0.6656102564102564,0.9492,1.0
QL-XII-47,-0.1402757614850998,-0.14767363667488098,-0.23622113466262817,-0.0883488655090332,0.059553788117852655,6,6,1.0,,,0.0086,0.28424375,0.9914,1.0
pancuronium,-0.13752537965774536,-0.13752537965774536,-0.13752537965774536,-0.13752537965774536,0.0,1,1,1.0,,,0.1354,0.6717417475728155,0.865,1.0
