drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
QL-X-138,-0.3013291358947754,-0.28276320298512775,-0.35130250453948975,-0.11744463443756104,0.07846015268097661,6,6,1.0,,,0.0001,0.012775,1.0,1.0
QL-XII-47,-0.2479952573776245,-0.22976538042227426,-0.2859344482421875,-0.1424863636493683,0.05140645045606487,6,6,1.0,,,0.0001,0.012775,1.0,1.0
perindopril,-0.24734631180763245,-0.24734631180763245,-0.24734631180763245,-0.24734631180763245,0.0,1,1,1.0,Angiotensin converting enzyme inhibitor,ACE,0.0308,0.46273888888888887,0.9695,1.0
emetine,-0.24223025143146515,-0.2089807152748108,-0.36826735734939575,0.13427045941352844,0.1440255763475318,10,10,0.9,Protein synthesis inhibitor,RPS2,0.0001,0.012775,1.0,1.0
asiatic-acid,-0.23979675769805908,-0.23979675769805908,-0.24235188961029053,-0.23724162578582764,0.0025551319122314453,2,2,1.0,,,0.0073,0.28694615384615385,0.9927,1.0
tribenoside,-0.22622138261795044,-0.22622138261795044,-0.2786455750465393,-0.17379719018936157,0.05242419242858887,2,2,1.0,,,0.0121,0.3388736842105263,0.9879,1.0
naftifine,-0.22616344690322876,-0.22616344690322876,-0.22616344690322876,-0.22616344690322876,0.0,1,1,1.0,,,0.0521,0.5267945454545455,0.9481,1.0
brefeldin-a,-0.22048529982566833,-0.2246970317580483,-0.2882636785507202,-0.11632055044174194,0.04494281779707614,11,11,1.0,,,0.0001,0.012775,1.0,1.0
tunicamycin,-0.2156936526298523,-0.2156936526298523,-0.21706682443618774,-0.21432048082351685,0.0013731718063354492,2,2,1.0,GLCNAC phosphotransferase inhibitor,GNPTAB,0.0195,0.45293181818181816,0.9805,1.0
AMG-9810,-0.21338185667991638,-0.21338185667991638,-0.23508620262145996,-0.1916775107383728,0.02170434594154358,2,2,1.0,TRPV antagonist,TRPV1,0.0218,0.46273888888888887,0.9782,1.0
tazobactam,-0.210565984249115,-0.210565984249115,-0.23025405406951904,-0.19087791442871094,0.019688069820404053,2,2,1.0,,,0.0252,0.46273888888888887,0.9748,1.0
artesunate,-0.2095230221748352,-0.2097051441669464,-0.3043130934238434,-0.12533605098724365,0.07265272346346656,7,7,1.0,,,0.0011,0.1022,0.9989,1.0
WH-4023,-0.2085612267255783,-0.2085612267255783,-0.2085612267255783,-0.2085612267255783,0.0,1,1,1.0,,,0.0845,0.6257898550724639,0.9156,1.0
penitrem-a,-0.2042389065027237,-0.2042389065027237,-0.2042389065027237,-0.2042389065027237,0.0,1,1,1.0,Potassium channel blocker,KCNMA1,0.0927,0.6401310810810811,0.9077,1.0
apicidin,-0.2006639838218689,-0.2006639838218689,-0.26730090379714966,-0.13402706384658813,0.06663691997528076,2,2,1.0,HDAC inhibitor,HDAC6,0.0362,0.4867947368421053,0.9638,1.0
oligomycin-a,-0.1981320083141327,-0.12793820434146458,-0.2860040068626404,0.1471099555492401,0.15169179172268582,9,9,0.7777777777777778,ATPase inhibitor,ATP5F1A,0.0012,0.1022,0.9988,1.0
thiostrepton,-0.1962721198797226,-0.1962721198797226,-0.22721794247627258,-0.1653262972831726,0.030945822596549988,2,2,1.0,FOXM1 inhibitor,FOXM1,0.043,0.5005477272727273,0.957,1.0
mitomycin-c,-0.1943543255329132,-0.15046661098798117,-0.2548437714576721,0.1511889100074768,0.13803636874793734,6,6,0.8333333333333334,,,0.0046,0.2611777777777778,0.9954,1.0
zonisamide,-0.1894235908985138,-0.1894235908985138,-0.1966487169265747,-0.18219846487045288,0.007225126028060913,2,2,1.0,Sodium channel blocker,SCN11A,0.0566,0.5267945454545455,0.9434,1.0
biotin,-0.1892961487174034,-0.1892961487174034,-0.2931537926197052,-0.08543850481510162,0.10385764390230179,2,2,1.0,,,0.0567,0.5267945454545455,0.9433,1.0
OMDM-2,-0.1872682422399521,-0.1872682422399521,-0.2590618431568146,-0.1154746413230896,0.07179360091686249,2,2,1.0,,,0.0613,0.5326525423728814,0.9388,1.0
CO-102862,-0.18659034371376038,-0.12191372613112132,-0.2115277647972107,0.17324092984199524,0.13684607738334625,6,6,0.8333333333333334,,,0.0092,0.293825,0.9908,1.0
sulbactam,-0.18582552671432495,-0.18582552671432495,-0.18582552671432495,-0.18582552671432495,0.0,1,1,1.0,,,0.1447,0.8037141304347826,0.8558,1.0
verteporfin,-0.18384398519992828,-0.18384398519992828,-0.2531055808067322,-0.11458238959312439,0.0692615956068039,2,2,1.0,,,0.068,0.5791333333333334,0.932,1.0
indirubin,-0.18216952681541443,-0.154536422342062,-0.28134554624557495,0.13840734958648682,0.11676412369774535,8,8,0.875,CDK inhibitor,CDK5,0.006,0.28104999999999997,0.994,1.0
NVP-AUY922,-0.18174652755260468,-0.17339622527360915,-0.23456478118896484,-0.10955318808555603,0.04256664584146585,10,10,1.0,HSP inhibitor,HSP90AA1,0.0024,0.1752,0.9976,1.0
beclometasone,-0.18083690851926804,-0.18083690851926804,-0.2241123914718628,-0.13756142556667328,0.04327548295259476,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0734,0.5953555555555556,0.9266,1.0
atovaquone,-0.17933624982833862,-0.14417121410369874,-0.24289649724960327,0.06821870803833008,0.11217965481409067,5,5,0.8,,,0.0287,0.46273888888888887,0.9715,1.0
nifedipine,-0.1788727045059204,-0.08900263479777745,-0.23979094624519348,0.17580190300941467,0.16455488832240664,7,7,0.7142857142857143,Calcium channel blocker,CACNA1C,0.014,0.3577,0.986,1.0
fluvastatin,-0.17750535905361176,-0.17750535905361176,-0.19504964351654053,-0.15996107459068298,0.017544284462928772,2,2,1.0,HMGCR inhibitor,HMGCR,0.0823,0.6184602941176471,0.9177,1.0
BIX-02188,-0.17534414678812027,-0.17534414678812027,-0.18597614765167236,-0.16471214592456818,0.010632000863552094,2,2,1.0,,,0.0883,0.6401310810810811,0.9117,1.0
rimantadine,-0.1744692623615265,-0.1744692623615265,-0.2066144347190857,-0.14232409000396729,0.032145172357559204,2,2,1.0,,,0.0902,0.6401310810810811,0.9098,1.0
saxagliptin,-0.1726209670305252,-0.1726209670305252,-0.1736581027507782,-0.17158383131027222,0.0010371357202529907,2,2,1.0,Dipeptidyl peptidase inhibitor,DPP4,0.0952,0.6486293333333334,0.9048,1.0
cymarin,-0.17225594818592072,-0.17225594818592072,-0.17225594818592072,-0.17225594818592072,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.1771,0.8695810344827586,0.8233,1.0
