drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
cymarin,-0.39533326029777527,-0.39533326029777527,-0.39533326029777527,-0.39533326029777527,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0207,0.3205363636363636,0.9795,1.0
digitoxin,-0.38730233907699585,-0.38730233907699585,-0.38730233907699585,-0.38730233907699585,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0251,0.35405000000000003,0.9752,1.0
withaferin-a,-0.37619757652282715,-0.28454869488875073,-0.44829314947128296,0.07265400886535645,0.16025909404346836,9,9,0.8888888888888888,IKK inhibitor,NAMPT,0.0001,0.017033333333333334,1.0,1.0
pancuronium,-0.3610329031944275,-0.3610329031944275,-0.3610329031944275,-0.3610329031944275,0.0,1,1,1.0,,,0.039,0.4240212765957446,0.9614,1.0
carbidopa,-0.33319196105003357,-0.33319196105003357,-0.36497947573661804,-0.3014044463634491,0.03178751468658447,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.013,0.26572,0.987,1.0
ceramide,-0.33051732182502747,-0.18785488179751805,-0.4502606987953186,0.2619864046573639,0.2672814481366524,7,7,0.7142857142857143,,,0.0004,0.0511,0.9996,1.0
asiatic-acid,-0.33043378591537476,-0.33043378591537476,-0.34422963857650757,-0.31663793325424194,0.013795852661132812,2,2,1.0,,,0.0147,0.2782111111111111,0.9853,1.0
bortezomib,-0.3280791789293289,-0.30866164962450665,-0.42136257886886597,-0.15478795766830444,0.07937288209429008,12,12,1.0,Proteasome inhibitor,PSMB1,0.0001,0.017033333333333334,1.0,1.0
benzatropine,-0.32508623600006104,-0.32508623600006104,-0.32508623600006104,-0.32508623600006104,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.0731,0.5659712121212122,0.9273,1.0
ivermectin,-0.32507604360580444,-0.32507604360580444,-0.3730662167072296,-0.2770858705043793,0.04799017310142517,2,2,1.0,,,0.0161,0.28104999999999997,0.9839,1.0
sulpiride,-0.3191725015640259,-0.1901118814945221,-0.3610614538192749,0.21624469757080078,0.21731935988900888,5,5,0.8,Dopamine receptor antagonist,DRD2,0.0055,0.1852375,0.9945,1.0
ursolic-acid,-0.3164757192134857,-0.2627878061362675,-0.4249887466430664,0.060284435749053955,0.15027741995514096,7,7,0.8571428571428571,STAT inhibitor,HSD11B1,0.0012,0.0876,0.9988,1.0
JW-7-24-1,-0.31203919649124146,-0.2853845775127411,-0.43593573570251465,-0.079853355884552,0.1152421925149769,5,5,1.0,,,0.007,0.1936421052631579,0.993,1.0
