drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
dactinomycin,-0.20232194662094116,-0.18547899855507743,-0.24105405807495117,-0.11360734701156616,0.038693076652743706,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0001,0.01022,1.0,1.0
staurosporine,-0.19235040247440338,-0.18952832370996475,-0.2095644474029541,-0.16656291484832764,0.013286415340767466,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.01022,1.0,1.0
naringenin,-0.17652863264083862,-0.10759501372064863,-0.20962569117546082,0.09267276525497437,0.11862625730599834,7,7,0.7142857142857143,TRPV antagonist,CYP19A1,0.0001,0.01022,1.0,1.0
flucloxacillin,-0.17246951162815094,-0.17246951162815094,-0.22145208716392517,-0.12348693609237671,0.04898257553577423,2,2,1.0,,,0.0069,0.2074058823529412,0.9931,1.0
cefepime,-0.1700352057814598,-0.1700352057814598,-0.23259314894676208,-0.10747726261615753,0.06255794316530228,2,2,1.0,,,0.0075,0.21291666666666667,0.9925,1.0
orciprenaline,-0.16736747324466705,-0.16736747324466705,-0.2346905767917633,-0.1000443696975708,0.06732310354709625,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.0085,0.22860526315789476,0.9915,1.0
A-443654,-0.16129034757614136,-0.16267867928201502,-0.2257363200187683,-0.10238015651702881,0.03701420207221617,11,11,1.0,,,0.0001,0.01022,1.0,1.0
carbidopa,-0.15463638305664062,-0.15463638305664062,-0.18980520963668823,-0.11946755647659302,0.03516882658004761,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0164,0.3607058823529412,0.9836,1.0
PD-166793,-0.15412649512290955,-0.15412649512290955,-0.17657992243766785,-0.13167306780815125,0.0224534273147583,2,2,1.0,Collagenase inhibitor,MMP2,0.0173,0.3607058823529412,0.9827,1.0
naftifine,-0.1526622772216797,-0.1526622772216797,-0.1526622772216797,-0.1526622772216797,0.0,1,1,1.0,,,0.0814,0.53144,0.9187,1.0
vincamine,-0.15136772394180298,-0.0566114604473114,-0.20792555809020996,0.17037871479988098,0.15277801426737278,5,5,0.6,,,0.0043,0.15329999999999996,0.9957,1.0
mephentermine,-0.15059460699558258,-0.15059460699558258,-0.1633099913597107,-0.13787922263145447,0.012715384364128113,2,2,1.0,,,0.0204,0.3607058823529412,0.9796,1.0
streptozotocin,-0.14916351437568665,-0.14916351437568665,-0.19409111142158508,-0.10423591732978821,0.04492759704589844,2,2,1.0,,,0.022,0.3607058823529412,0.9781,1.0
noretynodrel,-0.14686328172683716,-0.10961667516014793,-0.21169662475585938,0.09806612133979797,0.09791660912750313,11,11,0.8181818181818182,Progestogen hormone,PGR,0.0004,0.0292,0.9996,1.0
epirubicin,-0.1464800387620926,-0.09935377538204193,-0.18569642305374146,0.16005706787109375,0.11799009358390838,6,6,0.8333333333333334,Topoisomerase inhibitor,TOP2A,0.0031,0.1320083333333333,0.9969,1.0
PIK-75,-0.14513170719146729,-0.13705669674608442,-0.23026064038276672,0.0998639166355133,0.08949937961358762,9,9,0.8888888888888888,PI3K inhibitor,PIK3CA,0.0006,0.038325,0.9994,1.0
daunorubicin,-0.1427065134048462,-0.07804851004710564,-0.2066972255706787,0.2463894933462143,0.14272564892952963,13,13,0.7692307692307693,RNA synthesis inhibitor,TOP2A,0.0001,0.01022,1.0,1.0
molsidomine,-0.14144670963287354,-0.09642669558525085,-0.16333815455436707,0.13206040859222412,0.1043929554510438,6,6,0.8333333333333334,Guanylyl cyclase activator,GUCY1A1,0.0043,0.15329999999999996,0.9957,1.0
isradipine,-0.14056771993637085,-0.07466991458620344,-0.1994166374206543,0.11446481943130493,0.11637817033049166,7,7,0.7142857142857143,Calcium channel blocker,CACNA1C,0.0029,0.1320083333333333,0.9971,1.0
