drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
norgestimate,-0.283565878868103,-0.283565878868103,-0.283565878868103,-0.283565878868103,0.0,1,1,1.0,Progesterone receptor agonist,PGR,0.0202,0.6155227272727273,0.9799,0.9998
anisomycin,-0.26656389236450195,-0.26656389236450195,-0.26656389236450195,-0.26656389236450195,0.0,1,1,1.0,,,0.0311,0.6356839999999999,0.9693,0.9998
cortisone,-0.2626216560602188,-0.2626216560602188,-0.28257623314857483,-0.2426670789718628,0.019954577088356018,2,2,1.0,,,0.007,0.4371888888888889,0.993,0.9998
alimemazine,-0.23874104022979736,-0.23874104022979736,-0.23874104022979736,-0.23874104022979736,0.0,1,1,1.0,Histamine receptor ligand,HRH1,0.0647,0.7414714285714286,0.9358,0.9998
crotamiton,-0.2355937957763672,-0.2355937957763672,-0.2355937957763672,-0.2355937957763672,0.0,1,1,1.0,,,0.0695,0.7414714285714286,0.9306,0.9998
ethisterone,-0.23302236199378967,-0.23302236199378967,-0.2519629895687103,-0.21408173441886902,0.018940627574920654,2,2,1.0,,,0.021,0.6155227272727273,0.979,0.9998
pivmecillinam,-0.22704413533210754,-0.22704413533210754,-0.2572517991065979,-0.1968364715576172,0.030207663774490356,2,2,1.0,,,0.0262,0.6155227272727273,0.9738,0.9998
GBR-13069,-0.22352366149425507,-0.22303292155265808,-0.30350419878959656,-0.14158016443252563,0.058024126011515194,4,4,1.0,Dopamine uptake inhibitor,SLC6A3,0.0058,0.4371888888888889,0.9942,0.9998
oxymetholone,-0.21968689560890198,-0.21968689560890198,-0.3230207562446594,-0.11635303497314453,0.10333386063575745,2,2,1.0,Androgen receptor agonist,AR,0.0339,0.6415888888888889,0.9661,0.9998
TTNPB,-0.21392762660980225,-0.10288502896825473,-0.2553049921989441,0.15619726479053497,0.1687411593235359,12,12,0.6666666666666666,Retinoid receptor agonist,RARB,0.0002,0.07665,0.9998,0.9998
tobramycin,-0.21207009255886078,-0.21207009255886078,-0.25863078236579895,-0.1655094027519226,0.04656068980693817,2,2,1.0,,,0.0426,0.6567852941176471,0.9574,0.9998
beclometasone,-0.20825764536857605,-0.20825764536857605,-0.29532772302627563,-0.12118756771087646,0.08707007765769958,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0468,0.68328,0.9532,0.9998
retinol,-0.20666775107383728,-0.1381482986303476,-0.3019143342971802,0.1879461407661438,0.1686453813690919,13,13,0.7692307692307693,Retinoid receptor ligand,RXRA,0.0003,0.07665,0.9997,0.9998
HG-5-88-01,-0.20080304145812988,-0.10261734823385875,-0.3040395677089691,0.2536340057849884,0.2209980668143827,6,6,0.6666666666666666,,,0.0091,0.46501000000000003,0.9909,0.9998
erythromycin,-0.19737184047698975,-0.10739238560199738,-0.1979234218597412,0.07311810553073883,0.12764039098770597,3,3,0.6666666666666666,NFKB pathway inhibitor,MLNR,0.0574,0.7414714285714286,0.9427,0.9998
methysergide,-0.196585014462471,-0.15331901237368584,-0.2884165942668915,0.12465929985046387,0.1250846127879259,12,12,0.8333333333333334,Serotonin receptor antagonist,HTR1B,0.0011,0.1533,0.9989,0.9998
safinamide,-0.19576576352119446,-0.21035584062337875,-0.2526606321334839,-0.1808890402317047,0.029355306887604835,6,6,1.0,Glutamate inhibitor,MAOB,0.0124,0.49527692307692306,0.9876,0.9998
ranitidine,-0.19554674625396729,-0.11336930096149445,-0.27027904987335205,0.15483450889587402,0.16349089687625526,12,12,0.6666666666666666,Histamine receptor antagonist,HRH2,0.0012,0.1533,0.9988,0.9998
tetrabenazine,-0.1952465921640396,-0.1952465921640396,-0.22944515943527222,-0.161048024892807,0.034198567271232605,2,2,1.0,Vesicular monoamine transporter inhibitor,SLC18A2,0.0656,0.7414714285714286,0.9344,0.9998
mefloquine,-0.19437050819396973,-0.11695650219917297,-0.22957491874694824,0.14180728793144226,0.13850554355695185,5,5,0.8,,,0.029,0.6174583333333333,0.9714,0.9998
guanadrel,-0.18868431448936462,-0.18868431448936462,-0.21153473854064941,-0.16583389043807983,0.02285042405128479,2,2,1.0,Adrenergic inhibitor,SLC6A2,0.0797,0.7709051724137931,0.9203,0.9998
sulpiride,-0.18776768445968628,-0.03797209858894348,-0.29102858901023865,0.25582411885261536,0.2357867651144678,5,5,0.6,Dopamine receptor antagonist,DRD2,0.0409,0.65471875,0.9593,0.9998
azithromycin,-0.18522876501083374,-0.0852666012942791,-0.21322190761566162,0.17951005697250366,0.15824387050056182,6,6,0.6666666666666666,,,0.0227,0.6155227272727273,0.9773,0.9998
cefotaxime,-0.1850746124982834,-0.1850746124982834,-0.1924237310886383,-0.17772549390792847,0.007349118590354919,2,2,1.0,,,0.0858,0.7709051724137931,0.9142,0.9998
nateglinide,-0.18322521448135376,-0.13240707878555572,-0.27100908756256104,0.10757624357938766,0.14782556881140152,7,7,0.7142857142857143,Insulin secretagogue,KCNJ11,0.0279,0.6174583333333333,0.9727,0.9998
pregnenolone,-0.18298181891441345,-0.11801937435354505,-0.31320568919181824,0.22506488859653473,0.17261939619319555,14,14,0.7142857142857143,,,0.0028,0.28616,0.9972,0.9998
emetine,-0.18238157033920288,-0.15530174672603608,-0.27191758155822754,0.1151038408279419,0.10233099132042657,10,10,0.9,Protein synthesis inhibitor,RPS2,0.0077,0.4371888888888889,0.9923,0.9998
nitrofural,-0.18221935629844666,-0.18221935629844666,-0.21283259987831116,-0.15160611271858215,0.030613243579864502,2,2,1.0,,,0.0905,0.77672,0.9095,0.9998
mometasone,-0.1817488744854927,-0.1817488744854927,-0.19768008589744568,-0.16581766307353973,0.015931211411952972,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0912,0.77672,0.9088,0.9998
desoxycortone,-0.1798020601272583,-0.1798020601272583,-0.1798020601272583,-0.1798020601272583,0.0,1,1,1.0,Mineralocorticoid receptor agonist,NR3C2,0.1934,0.8322,0.8069,0.9998
