drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
penitrem-a,-0.2884904444217682,-0.2884904444217682,-0.2884904444217682,-0.2884904444217682,0.0,1,1,1.0,Potassium channel blocker,KCNMA1,0.0007,0.03974444444444444,0.9997,1.0
cymarin,-0.2589972913265228,-0.2589972913265228,-0.2589972913265228,-0.2589972913265228,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0032,0.08176,0.997,1.0
QL-XII-47,-0.2513566240668297,-0.2311159446835518,-0.2550871670246124,-0.13611292839050293,0.04286576172900986,6,6,1.0,,,0.0001,0.0073,1.0,1.0
digitoxin,-0.21063879132270813,-0.21063879132270813,-0.21063879132270813,-0.21063879132270813,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.0199,0.26074102564102564,0.9804,1.0
tunicamycin,-0.20575860142707825,-0.20575860142707825,-0.21654540300369263,-0.19497179985046387,0.01078680157661438,2,2,1.0,GLCNAC phosphotransferase inhibitor,GNPTAB,0.0025,0.07097222222222223,0.9975,1.0
benzatropine,-0.19379809498786926,-0.19379809498786926,-0.19379809498786926,-0.19379809498786926,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.036,0.3785571428571428,0.9644,1.0
ouabain,-0.19378401339054108,-0.17086669376918248,-0.2781141996383667,0.1588386595249176,0.09749420285676681,14,14,0.9285714285714286,ATPase inhibitor,ATP1A1,0.0001,0.0073,1.0,1.0
bortezomib,-0.19180825352668762,-0.189090176175038,-0.26086127758026123,-0.1136503666639328,0.0406408251645946,12,12,1.0,Proteasome inhibitor,PSMB1,0.0001,0.0073,1.0,1.0
NSC-632839,-0.1916460394859314,-0.1736573709381951,-0.23167437314987183,-0.09503668546676636,0.04013730110912575,9,9,1.0,Ubiquitin specific protease inhibitor,SENP2,0.0001,0.0073,1.0,1.0
securinine,-0.19144243001937866,-0.19144243001937866,-0.19144243001937866,-0.19144243001937866,0.0,1,1,1.0,TP53 activator,GABRA1,0.0386,0.3793192307692308,0.9615,1.0
emetine,-0.1770625114440918,-0.1768597185611725,-0.2858169376850128,-0.07631707191467285,0.04937294283794789,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0001,0.0073,1.0,1.0
