drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
silibinin,-0.20517459511756897,-0.20517459511756897,-0.20517459511756897,-0.20517459511756897,0.0,1,1,1.0,,,0.0268,0.351148717948718,0.9735,1.0
GDC-0980,-0.2025979459285736,-0.20578407347202302,-0.254847913980484,-0.17588531970977783,0.02696740187595149,5,5,1.0,MTOR inhibitor,MTOR,0.0006,0.03406666666666666,0.9994,1.0
lestaurtinib,-0.19522832334041595,-0.18608021984497705,-0.23650449514389038,-0.11864113807678223,0.0414749740281246,6,6,1.0,JAK inhibitor,FLT3,0.0002,0.0219,0.9998,1.0
staurosporine,-0.19358132779598236,-0.19051363319158554,-0.21816909313201904,-0.16273492574691772,0.01974243978508868,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.0219,1.0,1.0
SN-38,-0.19271133840084076,-0.18258029222488403,-0.2138078808784485,-0.14151433110237122,0.025928097008398307,6,6,1.0,Topoisomerase inhibitor,TOP1,0.0003,0.0219,0.9997,1.0
roxithromycin,-0.1906985342502594,-0.1906985342502594,-0.21637657284736633,-0.16502049565315247,0.025678038597106934,2,2,1.0,,,0.0059,0.14600000000000002,0.9941,1.0
ivermectin,-0.1857066974043846,-0.1857066974043846,-0.20576941967010498,-0.16564397513866425,0.020062722265720367,2,2,1.0,,,0.0097,0.18925925925925927,0.9903,1.0
GSK-1059615,-0.18292328715324402,-0.17144040479546502,-0.23809024691581726,-0.0669303834438324,0.042763651169428915,21,21,1.0,,,0.0001,0.0219,1.0,1.0
temsirolimus,-0.17865118384361267,-0.16479395542825973,-0.23161524534225464,-0.08361965417861938,0.04873117872360945,7,7,1.0,MTOR inhibitor,MTOR,0.0009,0.045989999999999996,0.9991,1.0
nutlin-3,-0.17596162110567093,-0.17112766578793526,-0.1994694173336029,-0.10127909481525421,0.03002641384851599,8,8,1.0,MDM inhibitor,MDM2,0.0002,0.0219,0.9998,1.0
topotecan,-0.17453494668006897,-0.1535267432530721,-0.22915315628051758,0.09166598320007324,0.09108197387738039,9,9,0.8888888888888888,Topoisomerase inhibitor,TOP1,0.0003,0.0219,0.9997,1.0
naringenin,-0.1731877326965332,-0.08213771720017705,-0.2313130497932434,0.1811530590057373,0.14728846724084402,7,7,0.7142857142857143,TRPV antagonist,CYP19A1,0.0017,0.07239166666666666,0.9984,1.0
prothionamide,-0.17273128032684326,-0.17273128032684326,-0.17273128032684326,-0.17273128032684326,0.0,1,1,1.0,,,0.0895,0.6299999999999999,0.9109,1.0
camptothecin,-0.17254440486431122,-0.1773974634706974,-0.2423114776611328,-0.08336195349693298,0.05216566976917172,8,8,1.0,Topoisomerase inhibitor,TOP1,0.0005,0.0319375,0.9995,1.0
A-443654,-0.1672249436378479,-0.13616829433224417,-0.21573874354362488,0.081144779920578,0.08264510345229943,11,11,0.9090909090909091,,,0.0003,0.0219,0.9997,1.0
pancuronium,-0.16559624671936035,-0.16559624671936035,-0.16559624671936035,-0.16559624671936035,0.0,1,1,1.0,,,0.111,0.7090125,0.8894,1.0
amsacrine,-0.16542446613311768,-0.14742851044450486,-0.20538932085037231,-0.051966845989227295,0.045759689287307115,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0038,0.1213625,0.9963,1.0
dactinomycin,-0.16286534070968628,-0.17402138147089216,-0.2554999887943268,-0.12238678336143494,0.037321741366416576,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0023,0.08395,0.9977,1.0
epirubicin,-0.16258302330970764,-0.16329293449719748,-0.18541723489761353,-0.14379990100860596,0.013837705303407097,6,6,1.0,Topoisomerase inhibitor,TOP2A,0.0045,0.12774999999999997,0.9955,1.0
