drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
withaferin-a,-0.33519160747528076,-0.20236565669377646,-0.4470883905887604,0.17200642824172974,0.22567282777168035,9,9,0.6666666666666666,IKK inhibitor,NAMPT,0.0001,0.01022,1.0,1.0
topotecan,-0.2805338501930237,-0.2490648461712731,-0.36061257123947144,0.07266297936439514,0.12210196642513658,9,9,0.8888888888888888,Topoisomerase inhibitor,TOP1,0.0001,0.01022,1.0,1.0
SN-38,-0.26688025891780853,-0.2796771228313446,-0.3153625428676605,-0.25350335240364075,0.02435166794903614,6,6,1.0,Topoisomerase inhibitor,TOP1,0.0002,0.017033333333333334,0.9998,1.0
staurosporine,-0.26479004323482513,-0.26392102241516113,-0.3364715278148651,-0.1846032738685608,0.04744748140291507,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.01022,1.0,1.0
camptothecin,-0.253015398979187,-0.2500915825366974,-0.3784017264842987,-0.12288075685501099,0.08659521314845627,8,8,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.01022,0.9999,1.0
A-443654,-0.24965247511863708,-0.2157224172895605,-0.2928174138069153,-0.07833856344223022,0.07380276756953172,11,11,1.0,,,0.0001,0.01022,1.0,1.0
benzatropine,-0.24727705121040344,-0.24727705121040344,-0.24727705121040344,-0.24727705121040344,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.0803,0.7127568965517241,0.9201,1.0
sulmazole,-0.23627600073814392,-0.23028553128242493,-0.38598397374153137,-0.08696678280830383,0.1164456511396292,5,5,1.0,,,0.0066,0.18736666666666665,0.9936,1.0
tribenoside,-0.2337011992931366,-0.2337011992931366,-0.3098278343677521,-0.15757456421852112,0.07612663507461548,2,2,1.0,,,0.0289,0.461496875,0.9711,1.0
picrotoxin,-0.2315511852502823,-0.12458132704099019,-0.293603777885437,0.1930769383907318,0.18634328243551437,6,6,0.6666666666666666,GABA receptor antagonist,GABRA1,0.0038,0.16181666666666666,0.9962,1.0
perindopril,-0.22746509313583374,-0.22746509313583374,-0.22746509313583374,-0.22746509313583374,0.0,1,1,1.0,Angiotensin converting enzyme inhibitor,ACE,0.1094,0.765478,0.8908,1.0
celastrol,-0.22552983462810516,-0.26205230007568997,-0.4629931151866913,-0.1380639523267746,0.11780949451903486,6,6,1.0,,,0.0045,0.16424999999999998,0.9955,1.0
fludarabine,-0.21704763174057007,-0.16037035236756006,-0.2755652666091919,0.05057036876678467,0.12834760808350731,12,12,0.75,DNA synthesis inhibitor,RRM1,0.0004,0.0292,0.9996,1.0
digitoxin,-0.2154650092124939,-0.2154650092124939,-0.2154650092124939,-0.2154650092124939,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.1275,0.765478,0.8727,1.0
dihydrexidine,-0.21518579870462418,-0.1200815886259079,-0.2991392910480499,0.21092166006565094,0.1871115042748865,8,8,0.75,Dopamine receptor agonist,DRD1,0.003,0.16181666666666666,0.997,1.0
amsacrine,-0.2125508189201355,-0.18632125215870993,-0.30078640580177307,-0.07801325619220734,0.09361394487911354,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0062,0.18636470588235293,0.9939,1.0
daunorubicin,-0.21099165081977844,-0.13863421518069047,-0.3040122389793396,0.1966477632522583,0.15201930677167116,13,13,0.8461538461538461,RNA synthesis inhibitor,TOP2A,0.0007,0.0447125,0.9993,1.0
carbidopa,-0.20953112840652466,-0.20953112840652466,-0.2661873400211334,-0.1528749167919159,0.056656211614608765,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0515,0.6250837209302326,0.9485,1.0
flucloxacillin,-0.20852744579315186,-0.20852744579315186,-0.2540208101272583,-0.1630340814590454,0.045493364334106445,2,2,1.0,,,0.0526,0.6250837209302326,0.9474,1.0
cymarin,-0.20522642135620117,-0.20522642135620117,-0.20522642135620117,-0.20522642135620117,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.143,0.765478,0.8573,1.0
cilastatin,-0.20457151532173157,-0.05770859548023769,-0.40391579270362854,0.3499744236469269,0.2599618348004101,7,7,0.5714285714285714,Dehydropeptidase inhibitor,DPEP1,0.0093,0.25012105263157897,0.9908,1.0
dactinomycin,-0.20322924852371216,-0.1962618264887068,-0.30911150574684143,-0.08592933416366577,0.06063825847119762,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0052,0.17714666666666667,0.9948,1.0
sulpiride,-0.20299959182739258,-0.1023496299982071,-0.3667586147785187,0.18076524138450623,0.21915363725614795,5,5,0.6,Dopamine receptor antagonist,DRD2,0.0246,0.4326466666666667,0.9755,1.0
silibinin,-0.20272383093833923,-0.20272383093833923,-0.20272383093833923,-0.20272383093833923,0.0,1,1,1.0,,,0.1485,0.765478,0.8518,1.0
fluocinonide,-0.20249368250370026,-0.20249368250370026,-0.2635557949542999,-0.14143157005310059,0.06106211245059967,2,2,1.0,,,0.0624,0.6838702127659574,0.9376,1.0
oxiconazole,-0.2016471028327942,-0.19470546394586563,-0.22817549109458923,-0.1473521590232849,0.03285970597419388,4,4,1.0,,,0.0277,0.45660322580645163,0.9723,1.0
etomidate,-0.19765105843544006,-0.05638219629015241,-0.21152877807617188,0.20523753762245178,0.17356254041863964,7,7,0.5714285714285714,GABA receptor modulator,GABRA1,0.0127,0.3090333333333333,0.9873,1.0
cefepime,-0.1922384798526764,-0.1922384798526764,-0.2131194770336151,-0.17135748267173767,0.02088099718093872,2,2,1.0,,,0.0768,0.7127568965517241,0.9232,1.0
epirubicin,-0.19197842478752136,-0.19864178697268167,-0.27417343854904175,-0.12790566682815552,0.044615431989483846,6,6,1.0,Topoisomerase inhibitor,TOP2A,0.0197,0.3728407407407407,0.9803,1.0
doxorubicin,-0.18981951475143433,-0.1642509021542289,-0.30357593297958374,0.11584243178367615,0.1287653811197696,11,11,0.8181818181818182,Topoisomerase inhibitor,TOP2A,0.0044,0.16424999999999998,0.9956,1.0
roxithromycin,-0.18503789603710175,-0.18503789603710175,-0.2207196056842804,-0.1493561863899231,0.03568170964717865,2,2,1.0,,,0.0891,0.7343564516129032,0.9109,1.0
OBAA,-0.18479454517364502,-0.12089581042528152,-0.332227885723114,0.24710629880428314,0.17635422094472736,12,12,0.75,Phospholipase inhibitor,PLA2G1B,0.0037,0.16181666666666666,0.9963,1.0
