drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
alfaxalone,-0.4125567674636841,-0.4125567674636841,-0.4125567674636841,-0.4125567674636841,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.0032,0.2044,0.997,1.0
pancuronium,-0.3311973214149475,-0.3311973214149475,-0.3311973214149475,-0.3311973214149475,0.0,1,1,1.0,,,0.0279,0.365365,0.9725,1.0
A-443654,-0.2974529564380646,-0.29407557574185456,-0.3623458743095398,-0.17748218774795532,0.05719662466434971,11,11,1.0,,,0.0001,0.02555,1.0,1.0
staurosporine,-0.29587122797966003,-0.28271009773015976,-0.3292504549026489,-0.1941920816898346,0.040211936334131566,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.02555,1.0,1.0
carbidopa,-0.2880029231309891,-0.2880029231309891,-0.31448736786842346,-0.2615184783935547,0.026484444737434387,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0173,0.29063125,0.9827,1.0
GDC-0980,-0.2866644859313965,-0.2718202441930771,-0.30248215794563293,-0.2202303558588028,0.0312753872453468,5,5,1.0,MTOR inhibitor,MTOR,0.005,0.22544117647058823,0.9951,1.0
dactinomycin,-0.2712523937225342,-0.26823312044143677,-0.313270628452301,-0.22899091243743896,0.027003761879891373,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0005,0.063875,0.9995,1.0
triptolide,-0.27019792795181274,-0.24013859459332057,-0.31537964940071106,-0.12426996231079102,0.06933929314846454,7,7,1.0,,,0.0043,0.22544117647058823,0.9957,1.0
naringenin,-0.26752111315727234,-0.15116575147424424,-0.44824787974357605,0.20635950565338135,0.23480809301609734,7,7,0.7142857142857143,TRPV antagonist,CYP19A1,0.0045,0.22544117647058823,0.9956,1.0
emetine,-0.2601395398378372,-0.2656392097473145,-0.386761873960495,-0.12037640810012817,0.07364966724821052,10,10,1.0,Protein synthesis inhibitor,RPS2,0.001,0.1022,0.999,1.0
sulmazole,-0.25932836532592773,-0.19660935401916504,-0.3300616443157196,0.07624918222427368,0.15283802959974044,5,5,0.8,,,0.015,0.27375,0.9855,1.0
isradipine,-0.25786828994750977,-0.19847964708294188,-0.37191760540008545,0.11348149925470352,0.15763301311166084,7,7,0.8571428571428571,Calcium channel blocker,CACNA1C,0.0075,0.22544117647058823,0.9926,1.0
nateglinide,-0.2574627101421356,-0.12021414296967643,-0.28463661670684814,0.2555159330368042,0.19734613657234323,7,7,0.7142857142857143,Insulin secretagogue,KCNJ11,0.0081,0.22995,0.992,1.0
sulpiride,-0.25413694977760315,-0.13200843930244446,-0.3401200473308563,0.17423751950263977,0.2155730498583325,5,5,0.6,Dopamine receptor antagonist,DRD2,0.0202,0.29491999999999996,0.9799,1.0
lestaurtinib,-0.24833709001541138,-0.24201004952192307,-0.2958306670188904,-0.1329493522644043,0.05394457447211748,6,6,1.0,JAK inhibitor,FLT3,0.0099,0.23459545454545452,0.9901,1.0
SB-205607,-0.24505192041397095,-0.22995416074991226,-0.33330628275871277,-0.08395522832870483,0.07718524067667766,8,8,1.0,Delta 1 opioid receptor agonist,OPRD1,0.0068,0.22544117647058823,0.9932,1.0
sulbactam,-0.2435918152332306,-0.2435918152332306,-0.2435918152332306,-0.2435918152332306,0.0,1,1,1.0,,,0.1414,0.7605831578947367,0.8589,1.0
epirubicin,-0.24265898764133453,-0.23652118692795435,-0.2915314733982086,-0.1716417819261551,0.04874290706411393,6,6,1.0,Topoisomerase inhibitor,TOP2A,0.0135,0.2555,0.9865,1.0
nicardipine,-0.23929265141487122,-0.112886647383372,-0.24115833640098572,0.14179104566574097,0.18008593448264357,3,3,0.6666666666666666,Calcium channel blocker,CACNA1C,0.0631,0.5562360655737705,0.9371,1.0
fludarabine,-0.23629136383533478,-0.2036894348760446,-0.4164503216743469,0.14446789026260376,0.17297113035708275,12,12,0.8333333333333334,DNA synthesis inhibitor,RRM1,0.0027,0.19710000000000003,0.9973,1.0
tanespimycin,-0.23596689105033875,-0.18542299537282242,-0.34579822421073914,0.11713172495365143,0.12603349576489084,19,19,0.8947368421052632,HSP inhibitor,HSP90AA1,0.0002,0.03406666666666667,0.9998,1.0
ezetimibe,-0.23483124375343323,-0.12643692323139735,-0.350908488035202,0.18802720308303833,0.2072245319950533,7,7,0.7142857142857143,Cholesterol inhibitor,NPC1L1,0.0195,0.29491999999999996,0.9806,1.0
galantamine,-0.23434460163116455,-0.16277695979390824,-0.3516385555267334,0.2429428994655609,0.1834515990298848,7,7,0.8571428571428571,Acetylcholinesterase inhibitor,ACHE,0.0197,0.29491999999999996,0.9805,1.0
tribenoside,-0.2324383556842804,-0.2324383556842804,-0.2671966254711151,-0.19768008589744568,0.03475826978683472,2,2,1.0,,,0.078,0.6326666666666666,0.922,1.0
doxorubicin,-0.23150551319122314,-0.21172791448506442,-0.41758596897125244,0.07543802261352539,0.14967356745997096,11,11,0.8181818181818182,Topoisomerase inhibitor,TOP2A,0.0062,0.22544117647058823,0.9938,1.0
topotecan,-0.23142442107200623,-0.15847393373648325,-0.2616807222366333,0.15517520904541016,0.12658292613550615,9,9,0.8888888888888888,Topoisomerase inhibitor,TOP1,0.009,0.23459545454545452,0.9912,1.0
nutlin-3,-0.2310188114643097,-0.20031635835766792,-0.30442896485328674,-0.07308566570281982,0.07655135230051222,8,8,1.0,MDM inhibitor,MDM2,0.0122,0.23977692307692308,0.9878,1.0
withaferin-a,-0.22988316416740417,-0.07590669724676344,-0.3236534595489502,0.2536502182483673,0.23189779083744808,9,9,0.5555555555555556,IKK inhibitor,NAMPT,0.0097,0.23459545454545452,0.9904,1.0
PIK-75,-0.2292342483997345,-0.20668397347132364,-0.37191757559776306,0.1466580331325531,0.14589777450813918,9,9,0.8888888888888888,PI3K inhibitor,PIK3CA,0.0101,0.23459545454545452,0.99,1.0
