drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
sparfloxacin,-0.21012645959854126,-0.21012645959854126,-0.2638108730316162,-0.1564420461654663,0.05368441343307495,2,2,1.0,,,0.0015,0.2555,0.9985,0.9998
colchicine,-0.20930474996566772,-0.20930474996566772,-0.20930474996566772,-0.20930474996566772,0.0,1,1,1.0,Microtubule inhibitor,TUBB,0.0228,0.40175172413793103,0.9775,0.9998
cyanocobalamin,-0.18918199837207794,-0.18918199837207794,-0.21199607849121094,-0.16636791825294495,0.022814080119132996,2,2,1.0,Vitamin B,MMUT,0.0065,0.31124545454545455,0.9935,0.9998
alfacalcidol,-0.17285919189453125,-0.17285919189453125,-0.19662755727767944,-0.14909082651138306,0.023768365383148193,2,2,1.0,Vitamin D receptor agonist,VDR,0.0131,0.35259,0.9869,0.9998
PAC-1,-0.17139413952827454,-0.1258210465312004,-0.23585546016693115,0.09456890821456909,0.1206065526094977,8,8,0.75,Caspase activator,CASP3,0.0002,0.1022,0.9998,0.9998
erythromycin,-0.1662525087594986,-0.0926273912191391,-0.1777380406856537,0.06610837578773499,0.11234103481913793,3,3,0.6666666666666666,NFKB pathway inhibitor,MLNR,0.0165,0.38325,0.9837,0.9998
beclomethasone-dipropionate,-0.162933349609375,-0.16961376865704855,-0.2380600869655609,-0.13910892605781555,0.03365635743414924,6,6,1.0,Immunosuppressant,NR3C1,0.0006,0.1533,0.9994,0.9998
calcipotriol,-0.1585431694984436,-0.09118093053499858,-0.19506391882896423,0.08006429672241211,0.12200310700072999,3,3,0.6666666666666666,Vitamin D receptor agonist,VDR,0.0217,0.40175172413793103,0.9783,0.9998
CPCCOEt,-0.15364718437194824,-0.15364718437194824,-0.15364718437194824,-0.15364718437194824,0.0,1,1,1.0,Glutamate receptor antagonist,GRM1,0.1027,0.827158273381295,0.8974,0.9998
amantadine,-0.15259861946105957,-0.15259861946105957,-0.182539701461792,-0.12265753746032715,0.029941082000732422,2,2,1.0,,,0.0301,0.42725277777777776,0.9699,0.9998
