drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
dactinomycin,-0.2639894485473633,-0.2631671528021495,-0.3095891773700714,-0.17273995280265808,0.03593138109823533,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0001,0.0073,1.0,1.0
PIK-75,-0.2616058588027954,-0.23338713579707676,-0.3312222361564636,-0.08716243505477905,0.06718925069848768,9,9,1.0,PI3K inhibitor,PIK3CA,0.0001,0.0073,1.0,1.0
lestaurtinib,-0.2591349482536316,-0.2522743692000707,-0.33138445019721985,-0.15175580978393555,0.05526508830667399,6,6,1.0,JAK inhibitor,FLT3,0.0001,0.0073,1.0,1.0
staurosporine,-0.2581584006547928,-0.2602900415658951,-0.3239404559135437,-0.18506962060928345,0.044178933371959446,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.0073,1.0,1.0
idarubicin,-0.24961936473846436,-0.2175615472452981,-0.2884865403175354,-0.07372832298278809,0.07580975576041989,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.0073,1.0,1.0
doxorubicin,-0.242231547832489,-0.23763516816225919,-0.328957200050354,-0.09886807203292847,0.07180372342391411,11,11,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.0073,0.9999,1.0
tunicamycin,-0.23998838663101196,-0.23998838663101196,-0.25711947679519653,-0.2228572964668274,0.01713109016418457,2,2,1.0,GLCNAC phosphotransferase inhibitor,GNPTAB,0.0098,0.26356842105263156,0.9902,1.0
epirubicin,-0.23906493186950684,-0.23399931689103445,-0.28195977210998535,-0.17695176601409912,0.032453389168288355,6,6,1.0,Topoisomerase inhibitor,TOP2A,0.0003,0.0191625,0.9997,1.0
benzatropine,-0.2339577078819275,-0.2339577078819275,-0.2339577078819275,-0.2339577078819275,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.0565,0.6415888888888889,0.9441,1.0
WH-4023,-0.2323852777481079,-0.2323852777481079,-0.2323852777481079,-0.2323852777481079,0.0,1,1,1.0,,,0.06,0.6665217391304348,0.9402,1.0
amikacin,-0.21609656512737274,-0.21609656512737274,-0.31612837314605713,-0.11606475710868835,0.10003180801868439,2,2,1.0,,,0.0256,0.4302290322580646,0.9744,1.0
daunorubicin,-0.21332299709320068,-0.2058862436276216,-0.32888856530189514,0.12339016795158386,0.10794163407610244,13,13,0.9230769230769231,RNA synthesis inhibitor,TOP2A,0.0001,0.0073,0.9999,1.0
HG-6-64-01,-0.20731105655431747,-0.12947636619210243,-0.27188265323638916,0.1690710186958313,0.15367494081221378,10,10,0.8,,,0.0005,0.02838888888888889,0.9995,1.0
brefeldin-a,-0.20315232872962952,-0.2169165231964805,-0.31658387184143066,-0.12281614542007446,0.062066741295605146,11,11,1.0,,,0.0007,0.03577,0.9993,1.0
triptolide,-0.19882196187973022,-0.22982792130538396,-0.33946487307548523,-0.16020441055297852,0.06664691621342561,7,7,1.0,,,0.0052,0.17714666666666667,0.9948,1.0
CHIR-99021,-0.19728076457977295,-0.19728076457977295,-0.19728076457977295,-0.19728076457977295,0.0,1,1,1.0,,,0.1199,0.847,0.8805,1.0
hydralazine,-0.19347451627254486,-0.19347451627254486,-0.19821667671203613,-0.1887323558330536,0.004742160439491272,2,2,1.0,,,0.0512,0.6132,0.9488,1.0
desoxycortone,-0.19034215807914734,-0.19034215807914734,-0.19034215807914734,-0.19034215807914734,0.0,1,1,1.0,Mineralocorticoid receptor agonist,NR3C2,0.1348,0.8668074074074074,0.8655,1.0
naringenin,-0.18463289737701416,-0.12885792553424835,-0.20982255041599274,0.14803701639175415,0.11783663103854583,7,7,0.8571428571428571,TRPV antagonist,CYP19A1,0.0111,0.283605,0.9889,1.0
A-443654,-0.1832726150751114,-0.18150846660137177,-0.3458106815814972,0.12284106016159058,0.11290590566539584,11,11,0.9090909090909091,,,0.0027,0.1139923076923077,0.9973,1.0
amsacrine,-0.1826673448085785,-0.18550640983240946,-0.3281897306442261,-0.06351394951343536,0.08088879000781986,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0124,0.2880181818181818,0.9876,1.0
norgestimate,-0.18112611770629883,-0.18112611770629883,-0.18112611770629883,-0.18112611770629883,0.0,1,1,1.0,Progesterone receptor agonist,PGR,0.1547,0.9187676767676768,0.8457,1.0
SB-205607,-0.18042729794979095,-0.1522417813539505,-0.32138848304748535,0.09746414422988892,0.11200562405224357,8,8,0.875,Delta 1 opioid receptor agonist,OPRD1,0.0066,0.2107875,0.9934,1.0
silibinin,-0.18024009466171265,-0.18024009466171265,-0.18024009466171265,-0.18024009466171265,0.0,1,1,1.0,,,0.1576,0.9187676767676768,0.8431,1.0
carbidopa,-0.1800186038017273,-0.1800186038017273,-0.21529477834701538,-0.1447424292564392,0.035276174545288086,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.074,0.7099249999999999,0.926,1.0
NVP-AUY922,-0.1785990595817566,-0.20687739551067352,-0.45472466945648193,0.05359905958175659,0.130311489768504,10,10,0.9,HSP inhibitor,HSP90AA1,0.0039,0.14235,0.9961,1.0
SN-38,-0.17687690258026123,-0.14607044557730356,-0.2709217071533203,0.07384064793586731,0.10662171724733528,6,6,0.8333333333333334,Topoisomerase inhibitor,TOP1,0.0203,0.37047499999999994,0.9797,1.0
NNC-63-0532,-0.17615310102701187,-0.17615310102701187,-0.1880023032426834,-0.16430389881134033,0.01184920221567154,2,2,1.0,Opioid receptor agonist,OPRL1,0.0815,0.7266593220338984,0.9185,1.0
lasalocid,-0.17562898993492126,-0.1831568098730511,-0.3483564257621765,-0.05806666612625122,0.08993361914191862,9,9,1.0,,,0.009,0.25549999999999995,0.991,1.0
naltrindole,-0.1754012107849121,-0.13463930040597916,-0.25953423976898193,0.14421206712722778,0.13387831566591515,6,6,0.8333333333333334,Opioid receptor antagonist,OPRD1,0.0215,0.37884482758620686,0.9785,1.0
aloisine,-0.17444029450416565,-0.18401200758914152,-0.3097451329231262,-0.10651177167892456,0.055890988502739235,12,12,1.0,CDK inhibitor,CDK2,0.0029,0.1139923076923077,0.9971,1.0
GW-5074,-0.1738724708557129,-0.163364814594388,-0.2906017303466797,0.12810736894607544,0.1214505354300349,8,8,0.875,RAF inhibitor,RAF1,0.0119,0.2880181818181818,0.9881,1.0
diflorasone,-0.17195066809654236,-0.17195066809654236,-0.2075575590133667,-0.13634377717971802,0.03560689091682434,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.0916,0.7479181818181818,0.9084,1.0
cefotiam,-0.1705373376607895,-0.1705373376607895,-0.2456134855747223,-0.09546118974685669,0.0750761479139328,2,2,1.0,,,0.0941,0.7479181818181818,0.906,1.0
sulmazole,-0.16959518194198608,-0.16080715656280517,-0.1908850073814392,-0.12918055057525635,0.02472825494622573,5,5,1.0,,,0.0491,0.6132,0.951,1.0
flucloxacillin,-0.16956085711717606,-0.16956085711717606,-0.1806768923997879,-0.1584448218345642,0.011116035282611847,2,2,1.0,,,0.0961,0.7479181818181818,0.9039,1.0
WHI-P154,-0.1693081259727478,-0.1693081259727478,-0.21614333987236023,-0.12247291207313538,0.04683521389961243,2,2,1.0,JAK inhibitor,EGFR,0.0966,0.7479181818181818,0.9034,1.0
camptothecin,-0.1667093113064766,-0.17627086490392685,-0.25756874680519104,-0.07948759198188782,0.05619376374907197,8,8,1.0,Topoisomerase inhibitor,TOP1,0.0196,0.37047499999999994,0.9804,1.0
pitavastatin,-0.1658981293439865,-0.08498060951630275,-0.20176082849502563,0.12322169542312622,0.1338130380475979,6,6,0.6666666666666666,HMGCR inhibitor,HMGCR,0.033,0.511,0.967,1.0
picrotoxin,-0.16299979388713837,-0.059666129450003304,-0.18126966059207916,0.18560004234313965,0.1590018488494385,6,6,0.6666666666666666,GABA receptor antagonist,GABRA1,0.0384,0.5303351351351351,0.9616,1.0
