drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
dactinomycin,-0.2703731656074524,-0.25253384643130833,-0.3710628151893616,-0.1457144021987915,0.07751181571525961,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0001,0.01022,1.0,1.0
staurosporine,-0.20467786490917206,-0.2093953974545002,-0.2973001003265381,-0.12490743398666382,0.05637121517810216,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.01022,1.0,1.0
NVP-AUY922,-0.19491194188594818,-0.21460359543561935,-0.37201619148254395,-0.06296080350875854,0.09852499951836016,10,10,1.0,HSP inhibitor,HSP90AA1,0.0001,0.01022,1.0,1.0
demeclocycline,-0.19412076473236084,-0.19412076473236084,-0.21873116493225098,-0.1695103645324707,0.024610400199890137,2,2,1.0,,,0.0179,0.3793192307692308,0.9821,1.0
PIK-75,-0.19371476769447327,-0.1835953096548716,-0.3205188512802124,0.15696099400520325,0.1338202249084077,9,9,0.8888888888888888,PI3K inhibitor,PIK3CA,0.0002,0.017033333333333334,0.9998,1.0
doxorubicin,-0.19126945734024048,-0.16134093024513937,-0.27034100890159607,0.12425896525382996,0.10622431382351404,11,11,0.9090909090909091,Topoisomerase inhibitor,TOP2A,0.0001,0.01022,1.0,1.0
triptolide,-0.19070610404014587,-0.21831461361476354,-0.33021289110183716,-0.14233195781707764,0.06467445544820492,7,7,1.0,,,0.0006,0.038325,0.9994,1.0
sulmazole,-0.187282532453537,-0.1490648329257965,-0.25934135913848877,0.0773167610168457,0.11662920580193936,5,5,0.8,,,0.0035,0.13757692307692307,0.9965,1.0
mephentermine,-0.18401138484477997,-0.18401138484477997,-0.29012516140937805,-0.07789760828018188,0.10611377656459808,2,2,1.0,,,0.0243,0.41561333333333333,0.9757,1.0
ascorbic-acid,-0.1838149130344391,-0.16104655464490256,-0.23394066095352173,-0.06538408994674683,0.07067120118410455,3,3,1.0,Antioxidant,SLC23A1,0.0181,0.3793192307692308,0.9821,1.0
orciprenaline,-0.18380309641361237,-0.18380309641361237,-0.20341649651527405,-0.16418969631195068,0.019613400101661682,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.0244,0.41561333333333333,0.9756,1.0
carbidopa,-0.1783880889415741,-0.1783880889415741,-0.233684241771698,-0.1230919361114502,0.0552961528301239,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0281,0.4631967741935484,0.9719,1.0
SB-366791,-0.17530953884124756,-0.17530953884124756,-0.20857572555541992,-0.1420433521270752,0.03326618671417236,2,2,1.0,TRPV antagonist,TRPV1,0.0302,0.47073939393939396,0.9698,1.0
naringenin,-0.17004436254501343,-0.14289855531283788,-0.23063403367996216,0.05383789539337158,0.08480614845382245,7,7,0.8571428571428571,TRPV antagonist,CYP19A1,0.0023,0.11753,0.9977,1.0
dinoprost,-0.16714760661125183,-0.16714760661125183,-0.17831164598464966,-0.155983567237854,0.011164039373397827,2,2,1.0,Prostacyclin analog,PTGDR,0.0378,0.5020575,0.9622,1.0
tobramycin,-0.1664578914642334,-0.1664578914642334,-0.17553210258483887,-0.15738368034362793,0.009074211120605469,2,2,1.0,,,0.0385,0.5020575,0.9615,1.0
tanespimycin,-0.16537299752235413,-0.14479315673050128,-0.32752057909965515,0.14932096004486084,0.11721658310308505,19,19,0.8947368421052632,HSP inhibitor,HSP90AA1,0.0001,0.01022,1.0,1.0
guanethidine,-0.16299863159656525,-0.16299863159656525,-0.19187435507774353,-0.13412290811538696,0.028875723481178284,2,2,1.0,,,0.0418,0.5195166666666667,0.9582,1.0
daunorubicin,-0.15440154075622559,-0.1340153286090264,-0.36149922013282776,0.2559838593006134,0.16236649249574547,13,13,0.8461538461538461,RNA synthesis inhibitor,TOP2A,0.0006,0.038325,0.9994,1.0
idarubicin,-0.15230107307434082,-0.07482642361095973,-0.23434212803840637,0.43702736496925354,0.21360728067968657,7,7,0.8571428571428571,Topoisomerase inhibitor,TOP2A,0.0096,0.3066,0.9905,1.0
A-443654,-0.15010321140289307,-0.14106871052221817,-0.3691001236438751,0.10302364826202393,0.13260515921321284,11,11,0.8181818181818182,,,0.002,0.11355555555555556,0.998,1.0
oxantel,-0.14905884861946106,-0.14905884861946106,-0.2289847731590271,-0.06913292407989502,0.07992592453956604,2,2,1.0,,,0.0598,0.5929528301886793,0.9402,1.0
Y-27632,-0.14740273356437683,-0.11928608351283604,-0.23203909397125244,0.11350882053375244,0.106154519760303,9,9,0.8888888888888888,Rho associated kinase inhibitor,ROCK1,0.0056,0.2044,0.9944,1.0
MMPX,-0.1458696722984314,-0.07495104769865672,-0.16725580394268036,0.0882723331451416,0.11574611785350444,3,3,0.6666666666666666,,,0.0612,0.5929528301886793,0.9389,1.0
sulbactam,-0.14193454384803772,-0.14193454384803772,-0.14193454384803772,-0.14193454384803772,0.0,1,1,1.0,,,0.1641,0.7932113636363637,0.8361,1.0
tozasertib,-0.14191516488790512,-0.1156014546751976,-0.33021289110183716,0.10588225722312927,0.1479718165565185,10,10,0.7,JAK inhibitor,FLT3,0.0026,0.12078181818181818,0.9974,1.0
cyanocobalamin,-0.1407770812511444,-0.1407770812511444,-0.20669415593147278,-0.07486000657081604,0.06591707468032837,2,2,1.0,Vitamin B,MMUT,0.0733,0.6643,0.9267,1.0
cabergoline,-0.13941380381584167,-0.09976121783256531,-0.2497583031654358,0.08154904842376709,0.11031905521734918,10,10,0.7,Dopamine receptor agonist,ADRA1A,0.0035,0.13757692307692307,0.9965,1.0
equol,-0.13914844393730164,-0.11516428738832474,-0.1927984356880188,0.06465649604797363,0.08748885890085245,6,6,0.8333333333333334,Estrogen receptor agonist,ESR1,0.0191,0.3793192307692308,0.9809,1.0
CGS-21680,-0.13880789279937744,-0.13880789279937744,-0.1964690387248993,-0.08114674687385559,0.05766114592552185,2,2,1.0,Adenosine receptor agonist,ADORA1,0.0765,0.6643,0.9235,1.0
epirubicin,-0.13869985938072205,-0.12173870205879211,-0.2750094532966614,0.17624789476394653,0.14765582810015213,6,6,0.8333333333333334,Topoisomerase inhibitor,TOP2A,0.0193,0.3793192307692308,0.9807,1.0
austricine,-0.13737186789512634,-0.15180543810129166,-0.23151978850364685,-0.10095822811126709,0.04959603514150449,4,4,1.0,,,0.045,0.5347674418604651,0.955,1.0
cefuroxime,-0.13630491495132446,-0.0953015685081482,-0.17860758304595947,0.029007792472839355,0.08958047351444143,3,3,0.6666666666666666,,,0.0833,0.6813333333333333,0.9171,1.0
