drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
staurosporine,-0.3302762508392334,-0.3276412561535835,-0.359834223985672,-0.28305262327194214,0.02190786628776157,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.0063875,1.0,1.0
GDC-0980,-0.29661375284194946,-0.3013279438018799,-0.3608931601047516,-0.24238833785057068,0.04042651518067378,5,5,1.0,MTOR inhibitor,MTOR,0.0015,0.05475000000000001,0.9986,1.0
doxorubicin,-0.28574565052986145,-0.27337258512323553,-0.336009681224823,-0.136661559343338,0.05332738851758893,11,11,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.0063875,1.0,1.0
PIK-75,-0.28174740076065063,-0.16882615122530195,-0.3487788140773773,0.2762816548347473,0.202008851192595,9,9,0.7777777777777778,PI3K inhibitor,PIK3CA,0.0001,0.0063875,1.0,1.0
triptolide,-0.27977848052978516,-0.2682610239301409,-0.31700488924980164,-0.20872658491134644,0.034570925586847955,7,7,1.0,,,0.0001,0.0063875,1.0,1.0
idarubicin,-0.27842018008232117,-0.28133717605045866,-0.3433602750301361,-0.21645331382751465,0.04184065836668489,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.0063875,1.0,1.0
daunorubicin,-0.2731623649597168,-0.2527260711559883,-0.3277004361152649,-0.05317234992980957,0.08023887645940248,13,13,1.0,RNA synthesis inhibitor,TOP2A,0.0001,0.0063875,1.0,1.0
dactinomycin,-0.2718806862831116,-0.2826624380217658,-0.33246856927871704,-0.23712319135665894,0.028326498821319195,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0001,0.0063875,0.9999,1.0
lestaurtinib,-0.251637801527977,-0.15946895877520242,-0.3707849085330963,0.16246682405471802,0.21561044209369756,6,6,0.6666666666666666,JAK inhibitor,FLT3,0.0017,0.05791333333333333,0.9983,1.0
camptothecin,-0.2412114441394806,-0.22676907107234,-0.289617121219635,-0.11718481779098511,0.049463972785258305,8,8,1.0,Topoisomerase inhibitor,TOP1,0.0012,0.04716923076923077,0.9988,1.0
epirubicin,-0.24043786525726318,-0.24244562039772669,-0.3200976252555847,-0.16621734201908112,0.047655317977396604,6,6,1.0,Topoisomerase inhibitor,TOP2A,0.0027,0.08115882352941177,0.9973,1.0
amsacrine,-0.2398368865251541,-0.20914401007550104,-0.32952630519866943,-0.07247360795736313,0.09271676292164664,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0035,0.09936111111111111,0.9966,1.0
cefotiam,-0.2389136254787445,-0.2389136254787445,-0.2560615539550781,-0.2217656970024109,0.017147928476333618,2,2,1.0,,,0.0303,0.44238,0.9697,1.0
calpeptin,-0.2355760782957077,-0.14837472438812255,-0.35970592498779297,0.14645594358444214,0.18712359666061118,10,10,0.7,,,0.0011,0.04684166666666667,0.9989,1.0
wortmannin,-0.23257771134376526,-0.23525194709117597,-0.3562120497226715,-0.1076204925775528,0.08165495238635222,13,13,1.0,PI3K inhibitor,PIK3CA,0.0006,0.03066,0.9994,1.0
sulpiride,-0.23078283667564392,-0.11521651148796082,-0.3417453169822693,0.1684177815914154,0.2124951482066867,5,5,0.6,Dopamine receptor antagonist,DRD2,0.0163,0.3203576923076923,0.9837,1.0
fluvastatin,-0.22894076257944107,-0.22894076257944107,-0.29494422674179077,-0.16293729841709137,0.0660034641623497,2,2,1.0,HMGCR inhibitor,HMGCR,0.0396,0.47947021276595747,0.9604,1.0
amikacin,-0.22698146104812622,-0.22698146104812622,-0.23421776294708252,-0.21974515914916992,0.007236301898956299,2,2,1.0,,,0.0419,0.47947021276595747,0.9581,1.0
digitoxin,-0.22585836052894592,-0.22585836052894592,-0.22585836052894592,-0.22585836052894592,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.1376,0.7743615384615384,0.8626,1.0
alfaxalone,-0.22049137949943542,-0.22049137949943542,-0.22049137949943542,-0.22049137949943542,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.1467,0.8148228260869566,0.8533,1.0
OSI-027,-0.21795615553855896,-0.23417730691532293,-0.4165211617946625,-0.09218186140060425,0.10036341492362297,12,12,1.0,MTOR inhibitor,MTOR,0.0006,0.03066,0.9994,1.0
ascorbic-acid,-0.21789124608039856,-0.07615477840105693,-0.24145475029945374,0.23088166117668152,0.2173205636906013,3,3,0.6666666666666666,Antioxidant,SLC23A1,0.0571,0.5505301886792453,0.943,1.0
molsidomine,-0.21554405987262726,-0.1827989468971888,-0.3501400947570801,0.1165417730808258,0.14454504045691197,6,6,0.8333333333333334,Guanylyl cyclase activator,GUCY1A1,0.0105,0.2235625,0.9895,1.0
fludarabine,-0.21441800892353058,-0.19468221440911293,-0.3789319097995758,0.10808509588241577,0.15814162497765483,12,12,0.8333333333333334,DNA synthesis inhibitor,RRM1,0.0009,0.04180909090909091,0.9991,1.0
lovastatin,-0.21208927035331726,-0.18923629323641458,-0.28485190868377686,-0.10270781815052032,0.059306307379728626,9,9,1.0,HMGCR inhibitor,HMGCR,0.0086,0.20926666666666666,0.9915,1.0
topotecan,-0.21059080958366394,-0.21743161148495144,-0.2908397912979126,-0.0711078941822052,0.06773827134526099,9,9,1.0,Topoisomerase inhibitor,TOP1,0.0091,0.21136818181818182,0.9909,1.0
sirolimus,-0.20992420613765717,-0.19125668704509735,-0.3304790258407593,0.1450592577457428,0.10355067956777445,22,22,0.9545454545454546,MTOR inhibitor,FKBP1A,0.0001,0.0063875,1.0,1.0
cefepime,-0.20927302539348602,-0.20927302539348602,-0.2406863570213318,-0.17785969376564026,0.031413331627845764,2,2,1.0,,,0.0646,0.5791333333333334,0.9354,1.0
naftifine,-0.2082531899213791,-0.2082531899213791,-0.2082531899213791,-0.2082531899213791,0.0,1,1,1.0,,,0.1711,0.8451153846153846,0.8292,1.0
temsirolimus,-0.2067842185497284,-0.2210354059934616,-0.29823753237724304,-0.11235028505325317,0.058879126365924954,7,7,1.0,MTOR inhibitor,MTOR,0.0178,0.3368814814814815,0.9823,1.0
tribenoside,-0.20133325457572937,-0.20133325457572937,-0.23012948036193848,-0.17253702878952026,0.028796225786209106,2,2,1.0,,,0.0775,0.6286111111111111,0.9225,1.0
noretynodrel,-0.19999557733535767,-0.11128493161364035,-0.33631494641304016,0.32167866826057434,0.2113044411268717,11,11,0.7272727272727273,Progestogen hormone,PGR,0.0076,0.19418,0.9925,1.0
nutlin-3,-0.199955016374588,-0.20326492562890053,-0.32919004559516907,-0.07425224781036377,0.07968056282108735,8,8,1.0,MDM inhibitor,MDM2,0.0143,0.292292,0.9857,1.0
isradipine,-0.19661524891853333,-0.1563708782196045,-0.3067031502723694,0.20670756697654724,0.16082164915048805,7,7,0.8571428571428571,Calcium channel blocker,CACNA1C,0.0272,0.44238,0.973,1.0
A-443654,-0.19423338770866394,-0.18695933710445056,-0.3385876715183258,-0.07737743854522705,0.07582490091002414,11,11,1.0,,,0.0101,0.2235625,0.99,1.0
