drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
silibinin,-0.20546266436576843,-0.20546266436576843,-0.20546266436576843,-0.20546266436576843,0.0,1,1,1.0,,,0.0215,0.4053933333333334,0.9788,1.0
topotecan,-0.20179146528244019,-0.20068447291851044,-0.3309142589569092,-0.09841209650039673,0.06112274126794657,9,9,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.005677777777777778,1.0,1.0
SN-38,-0.1906294971704483,-0.2164092113574346,-0.333783358335495,-0.11792245507240295,0.07537804741690249,6,6,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.005677777777777778,0.9999,1.0
alfaxalone,-0.1788957118988037,-0.1788957118988037,-0.1788957118988037,-0.1788957118988037,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.0428,0.5621,0.9574,1.0
idarubicin,-0.17650026082992554,-0.16779383165495737,-0.2060503363609314,-0.12470218539237976,0.028666435494386844,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0001,0.005677777777777778,0.9999,1.0
doxorubicin,-0.16833758354187012,-0.16308153623884375,-0.24289804697036743,0.03472447395324707,0.07390900145821395,11,11,0.9090909090909091,Topoisomerase inhibitor,TOP2A,0.0001,0.005677777777777778,1.0,1.0
apicidin,-0.16787128895521164,-0.16787128895521164,-0.17861491441726685,-0.15712766349315643,0.010743625462055206,2,2,1.0,HDAC inhibitor,HDAC6,0.017,0.3619583333333334,0.983,1.0
PIK-75,-0.16367992758750916,-0.15301494465933907,-0.20073583722114563,-0.06647437810897827,0.0389564310740981,9,9,1.0,PI3K inhibitor,PIK3CA,0.0001,0.005677777777777778,0.9999,1.0
staurosporine,-0.1635415107011795,-0.14137723296880722,-0.19669592380523682,-0.03785005211830139,0.05078840623148456,8,8,1.0,PKC inhibitor,CDK2,0.0001,0.005677777777777778,1.0,1.0
camptothecin,-0.16221728920936584,-0.19073040783405304,-0.3023403286933899,-0.07356160879135132,0.07817965098494026,8,8,1.0,Topoisomerase inhibitor,TOP1,0.0001,0.005677777777777778,1.0,1.0
dactinomycin,-0.15654850006103516,-0.13844025797314113,-0.21640828251838684,-0.06522190570831299,0.04565264839520864,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0005,0.02555,0.9995,1.0
daunorubicin,-0.1546056866645813,-0.15995181638460892,-0.27669572830200195,-0.0632893294095993,0.055045313337000086,13,13,1.0,RNA synthesis inhibitor,TOP2A,0.0001,0.005677777777777778,1.0,1.0
epirubicin,-0.15246176719665527,-0.15555326640605927,-0.20340752601623535,-0.11756396293640137,0.031301005877979536,6,6,1.0,Topoisomerase inhibitor,TOP2A,0.0019,0.06472666666666667,0.9981,1.0
amsacrine,-0.1511976718902588,-0.176519370504788,-0.26603037118911743,-0.11248427629470825,0.05890521325841685,7,7,1.0,Topoisomerase inhibitor,TOP2A,0.0019,0.06472666666666667,0.9981,1.0
tramadol,-0.15087661147117615,-0.08125273883342743,-0.18598860502243042,0.08596783876419067,0.09665504258265345,9,9,0.7777777777777778,Opioid receptor agonist,OPRM1,0.0011,0.04684166666666667,0.999,1.0
mitomycin-c,-0.15064290165901184,-0.18123608827590942,-0.3366695046424866,-0.0901336669921875,0.08584888125972248,6,6,1.0,,,0.0021,0.06706875,0.9979,1.0
CHIR-99021,-0.14307814836502075,-0.14307814836502075,-0.14307814836502075,-0.14307814836502075,0.0,1,1,1.0,,,0.1113,0.768544,0.889,1.0
ascorbic-acid,-0.14305034279823303,-0.098731795946757,-0.21335986256599426,0.0602148175239563,0.11599964538120956,3,3,0.6666666666666666,Antioxidant,SLC23A1,0.0338,0.4797722222222222,0.9665,1.0
A-443654,-0.14260560274124146,-0.12580765241926367,-0.22813892364501953,0.10004287958145142,0.08724945874214415,11,11,0.9090909090909091,,,0.0006,0.02787272727272727,0.9994,1.0
bortezomib,-0.14248250424861908,-0.1502539316813151,-0.3221786618232727,-0.042728930711746216,0.0672852707678632,12,12,1.0,Proteasome inhibitor,PSMB1,0.0001,0.005677777777777778,0.9999,1.0
tribenoside,-0.13769866526126862,-0.13769866526126862,-0.2038823664188385,-0.07151496410369873,0.06618370115756989,2,2,1.0,,,0.0508,0.5621,0.9492,1.0
carbidopa,-0.13602301478385925,-0.13602301478385925,-0.15440034866333008,-0.11764568090438843,0.018377333879470825,2,2,1.0,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.0532,0.5621,0.9468,1.0
isradipine,-0.13259655237197876,-0.10011954818453107,-0.1658286452293396,0.060530245304107666,0.07440649685228386,7,7,0.8571428571428571,Calcium channel blocker,CACNA1C,0.0093,0.2795470588235294,0.991,1.0
