drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
piperacillin,-0.1984902024269104,-0.1984902024269104,-0.22734156250953674,-0.16963884234428406,0.028851360082626343,2,2,1.0,,,0.0011,0.08030000000000001,0.9989,1.0
cefotiam,-0.1715065985918045,-0.1715065985918045,-0.186020165681839,-0.15699303150177002,0.014513567090034485,2,2,1.0,,,0.0081,0.22995,0.9919,1.0
benzatropine,-0.16697031259536743,-0.16697031259536743,-0.16697031259536743,-0.16697031259536743,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.0641,0.6257339622641509,0.9363,1.0
cefepime,-0.1664191484451294,-0.1664191484451294,-0.20073336362838745,-0.13210493326187134,0.03431421518325806,2,2,1.0,,,0.0119,0.2895666666666667,0.9881,1.0
fluvastatin,-0.16580869257450104,-0.16580869257450104,-0.17577451467514038,-0.1558428704738617,0.009965822100639343,2,2,1.0,HMGCR inhibitor,HMGCR,0.0125,0.2903409090909091,0.9875,1.0
demeclocycline,-0.1608709990978241,-0.1608709990978241,-0.17480531334877014,-0.14693668484687805,0.013934314250946045,2,2,1.0,,,0.0178,0.333975,0.9822,1.0
staurosporine,-0.1605735719203949,-0.16060452908277512,-0.18801474571228027,-0.11910346150398254,0.019436939003682683,8,8,1.0,PKC inhibitor,CDK2,0.0002,0.0511,0.9998,1.0
GDC-0980,-0.15928509831428528,-0.17527995705604554,-0.24628323316574097,-0.12774336338043213,0.04221150499999484,5,5,1.0,MTOR inhibitor,MTOR,0.0044,0.18736666666666668,0.9957,1.0
dactinomycin,-0.15735703706741333,-0.16051107976171705,-0.20247423648834229,-0.13020393252372742,0.02473297992831378,9,9,1.0,RNA polymerase inhibitor,POLR2A,0.0003,0.0511,0.9997,1.0
ascorbic-acid,-0.1548549234867096,-0.05699624617894491,-0.16065576672554016,0.14452195167541504,0.14251456181836786,3,3,0.6666666666666666,Antioxidant,SLC23A1,0.0212,0.3735586206896552,0.9791,1.0
thapsigargin,-0.1507408320903778,-0.10369741419951121,-0.15988200902938843,0.07333105802536011,0.0874265011088516,9,9,0.7777777777777778,ATPase inhibitor,ATP2A1,0.0013,0.0830375,0.9987,1.0
ambrisentan,-0.14994945377111435,-0.14994945377111435,-0.1790982186794281,-0.1208006888628006,0.02914876490831375,2,2,1.0,Endothelin receptor antagonist,EDNRA,0.0339,0.48034,0.9661,1.0
calpeptin,-0.1492110788822174,-0.11579039841890335,-0.26135626435279846,0.10313612222671509,0.11057974864342195,10,10,0.8,,,0.0004,0.0511,0.9996,1.0
cytisine,-0.14834898710250854,-0.14834898710250854,-0.14834898710250854,-0.14834898710250854,0.0,1,1,1.0,Acetylcholine receptor agonist,CHRNA2,0.1195,0.782878205128205,0.8806,1.0
cefuroxime,-0.14793714880943298,-0.08357250690460205,-0.15354040265083313,0.05076003074645996,0.09501498870260167,3,3,0.6666666666666666,,,0.0336,0.48034,0.9665,1.0
ivermectin,-0.14749517291784286,-0.14749517291784286,-0.1657639890909195,-0.12922635674476624,0.01826881617307663,2,2,1.0,,,0.0375,0.48034,0.9625,1.0
noretynodrel,-0.14544957876205444,-0.115501653064381,-0.20257824659347534,0.1425294280052185,0.09080473756965761,11,11,0.9090909090909091,Progestogen hormone,PGR,0.0005,0.0511,0.9995,1.0
