drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
crotamiton,-0.25203412771224976,-0.25203412771224976,-0.25203412771224976,-0.25203412771224976,0.0,1,1,1.0,,,0.0078,0.5620999999999999,0.9923,0.9997
apicidin,-0.22396276891231537,-0.22396276891231537,-0.29445791244506836,-0.15346762537956238,0.07049514353275299,2,2,1.0,HDAC inhibitor,HDAC6,0.002,0.37473333333333336,0.998,0.9997
WH-4023,-0.2216530293226242,-0.2216530293226242,-0.2216530293226242,-0.2216530293226242,0.0,1,1,1.0,,,0.0254,0.607068,0.9746,0.9997
CHIR-99021,-0.2158958911895752,-0.2158958911895752,-0.2158958911895752,-0.2158958911895752,0.0,1,1,1.0,,,0.0297,0.607068,0.9706,0.9997
tribenoside,-0.2093701809644699,-0.2093701809644699,-0.2538914978504181,-0.16484886407852173,0.04452131688594818,2,2,1.0,,,0.0057,0.5620999999999999,0.9943,0.9997
sulbactam,-0.20058777928352356,-0.20058777928352356,-0.20058777928352356,-0.20058777928352356,0.0,1,1,1.0,,,0.0452,0.6999151515151514,0.9551,0.9997
EPZ-5676,-0.18601393699645996,-0.19898142417271933,-0.295851469039917,-0.115078866481781,0.07436755677785077,3,3,1.0,DOT1L inhibitor,DOT1L,0.0137,0.5833916666666666,0.9863,0.9997
megestrol-acetate,-0.18209849298000336,-0.11079791560769081,-0.2120646834373474,0.13307000696659088,0.14137864029273478,4,4,0.75,DNA inhibitor,PGR,0.004,0.511,0.996,0.9997
cefuroxime,-0.1789880096912384,-0.1746326982975006,-0.1998744010925293,-0.14503568410873413,0.022598639680439656,3,3,1.0,,,0.0211,0.607068,0.9791,0.9997
naltrindole,-0.17323189973831177,-0.13431346168120703,-0.22464600205421448,0.11671572923660278,0.11449632876728946,6,6,0.8333333333333334,Opioid receptor antagonist,OPRD1,0.0022,0.37473333333333336,0.9978,0.9997
oxandrolone,-0.17032106220722198,-0.17032106220722198,-0.2351287305355072,-0.10551339387893677,0.06480766832828522,2,2,1.0,Androgen receptor agonist,AR,0.0354,0.69496,0.9646,0.9997
quinidine,-0.1611424684524536,-0.08389124045005211,-0.22483527660369873,0.18504676222801208,0.14193173417347205,13,13,0.6923076923076923,Sodium channel blocker,SCN5A,0.0003,0.1533,0.9997,0.9997
salsolinol,-0.15892112255096436,-0.15892112255096436,-0.15892112255096436,-0.15892112255096436,0.0,1,1,1.0,,,0.13,0.8243490566037736,0.8703,0.9997
prednisolone,-0.15541130304336548,-0.15541130304336548,-0.1797347068786621,-0.13108789920806885,0.02432340383529663,2,2,1.0,,,0.0617,0.74606,0.9383,0.9997
physostigmine,-0.15525008738040924,-0.12276827650410789,-0.2809198498725891,0.10742898285388947,0.11166349853887422,7,7,0.8571428571428571,Cholinesterase inhibitor,ACHE,0.0103,0.5620999999999999,0.9898,0.9997
naftifine,-0.15458661317825317,-0.15458661317825317,-0.15458661317825317,-0.15458661317825317,0.0,1,1,1.0,,,0.1455,0.8243490566037736,0.855,0.9997
nicergoline,-0.15048402547836304,-0.15048402547836304,-0.15556210279464722,-0.14540594816207886,0.00507807731628418,2,2,1.0,Adrenergic receptor antagonist,ADRA1A,0.0736,0.7479181818181818,0.9264,0.9997
vincamine,-0.15011066198349,-0.10055783987045289,-0.18410664796829224,0.12459233403205872,0.1136239332903207,5,5,0.8,,,0.0286,0.607068,0.9718,0.9997
cymarin,-0.14942845702171326,-0.14942845702171326,-0.14942845702171326,-0.14942845702171326,0.0,1,1,1.0,ATPase inhibitor,ATP1A1,0.1609,0.8243490566037736,0.8393,0.9997
ampicillin,-0.14741092920303345,-0.14258071780204773,-0.15066391229629517,-0.12966731190681458,0.00922722470419441,3,3,1.0,,,0.076,0.7479181818181818,0.924,0.9997
nemonapride,-0.14506793022155762,-0.1363658905029297,-0.26575735211372375,0.1112871766090393,0.11414219105119074,8,8,0.875,Dopamine receptor antagonist,DRD2,0.0124,0.5760363636363636,0.9876,0.9997
CD-1530,-0.1444491744041443,-0.07501235604286194,-0.1505495309829712,0.06996163725852966,0.10254234129669286,3,3,0.6666666666666666,Retinoid receptor agonist,RARG,0.0858,0.7603327586206896,0.9143,0.9997
nitrofural,-0.14362863823771477,-0.14362863823771477,-0.16234463453292847,-0.12491264194250107,0.0187159962952137,2,2,1.0,,,0.0914,0.7784233333333332,0.9086,0.9997
HG-5-113-01,-0.14278317242860794,-0.09866326302289963,-0.18716202676296234,0.10855421423912048,0.09796207165243502,6,6,0.8333333333333334,,,0.0269,0.607068,0.9731,0.9997
halcinonide,-0.14264902472496033,-0.10211450358231862,-0.19475573301315308,0.15099462866783142,0.11887567404420565,6,6,0.8333333333333334,Glucocorticoid receptor agonist,NR3C1,0.0274,0.607068,0.9726,0.9997
OMDM-2,-0.14242231100797653,-0.14242231100797653,-0.17160436511039734,-0.11324025690555573,0.029182054102420807,2,2,1.0,,,0.0955,0.7871048387096774,0.9045,0.9997
ZD-7114,-0.14183786511421204,-0.11691890160242717,-0.25966739654541016,0.15980923175811768,0.13721743365583744,6,6,0.8333333333333334,Adrenergic receptor agonist,ADRB3,0.0295,0.607068,0.9706,0.9997
brefeldin-a,-0.14093413949012756,-0.1325256661935286,-0.23636001348495483,0.10126206278800964,0.08448068243203297,11,11,0.9090909090909091,,,0.0095,0.5620999999999999,0.9905,0.9997
penitrem-a,-0.14041416347026825,-0.14041416347026825,-0.14041416347026825,-0.14041416347026825,0.0,1,1,1.0,Potassium channel blocker,KCNMA1,0.2027,0.8678483333333333,0.7977,0.9997
