drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
emetine,-0.1769881546497345,-0.17305531203746796,-0.2481738030910492,-0.06000322103500366,0.050665491245828684,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0001,0.017033333333333334,1.0,1.0
JW-7-24-1,-0.17336279153823853,-0.1368096500635147,-0.2067745327949524,0.05430276691913605,0.09649003272152956,5,5,0.8,,,0.0004,0.04088,0.9997,1.0
benzatropine,-0.15992671251296997,-0.15992671251296997,-0.15992671251296997,-0.15992671251296997,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.0338,0.6529444444444444,0.9663,1.0
QL-XII-47,-0.15304064750671387,-0.14880731205145517,-0.19013115763664246,-0.08699214458465576,0.03532642418403372,6,6,1.0,,,0.0001,0.017033333333333334,1.0,1.0
naltriben,-0.14307665824890137,-0.14307665824890137,-0.22473853826522827,-0.06141477823257446,0.0816618800163269,2,2,1.0,Opioid receptor antagonist,OPRD1,0.0146,0.4144777777777778,0.9854,1.0
vincristine,-0.13502320647239685,-0.09706954928961667,-0.25148072838783264,0.06668221950531006,0.09346620126950883,11,11,0.8181818181818182,Tubulin inhibitor,TUBB,0.0001,0.017033333333333334,0.9999,1.0
galantamine,-0.13317212462425232,-0.09601670503616333,-0.20517796277999878,0.0814393162727356,0.0933841656996184,7,7,0.8571428571428571,Acetylcholinesterase inhibitor,ACHE,0.0004,0.04088,0.9996,1.0
cefazolin,-0.12758134305477142,-0.12758134305477142,-0.16691774129867554,-0.08824494481086731,0.039336398243904114,2,2,1.0,,,0.0297,0.6323625,0.9703,1.0
rifaximin,-0.12589871883392334,-0.11723509679238002,-0.17709028720855713,-0.03842204809188843,0.05102451406281797,6,6,1.0,RNA synthesis inhibitor,NR1I2,0.0031,0.19801249999999998,0.9969,1.0
piperacillin,-0.11616069078445435,-0.11616069078445435,-0.16546452045440674,-0.06685686111450195,0.04930382966995239,2,2,1.0,,,0.0478,0.7665000000000001,0.9522,1.0
homatropine,-0.11550429463386536,-0.0411615925175803,-0.1460442841053009,0.18741050362586975,0.12999974842837766,7,7,0.7142857142857143,Acetylcholine receptor antagonist,CHRM1,0.0065,0.3019545454545454,0.9935,1.0
dopamine,-0.11045980826020241,-0.11045980826020241,-0.11858707666397095,-0.10233253985643387,0.00812726840376854,2,2,1.0,Dopamine receptor agonist,DRD1,0.0613,0.7665000000000001,0.9387,1.0
roxithromycin,-0.11035144329071045,-0.11035144329071045,-0.15619152784347534,-0.06451135873794556,0.04584008455276489,2,2,1.0,,,0.0616,0.7665000000000001,0.9384,1.0
pancuronium,-0.11021023988723755,-0.11021023988723755,-0.11021023988723755,-0.11021023988723755,0.0,1,1,1.0,,,0.134,0.8070794117647058,0.8661,1.0
securinine,-0.11003345251083374,-0.11003345251083374,-0.11003345251083374,-0.11003345251083374,0.0,1,1,1.0,TP53 activator,GABRA1,0.1348,0.8070794117647058,0.8657,1.0
bortezomib,-0.1094074696302414,-0.10554807881514232,-0.1990581750869751,0.08135434985160828,0.07109984474081542,12,12,0.9166666666666666,Proteasome inhibitor,PSMB1,0.0009,0.0657,0.9991,1.0
vinblastine,-0.10924330353736877,-0.10416570535072914,-0.2436600923538208,0.05594351887702942,0.08461709413243623,13,13,0.8461538461538461,Tubulin inhibitor,TUBB,0.0006,0.0511,0.9994,1.0
brucine,-0.10668706893920898,-0.040044035230364115,-0.13875499367713928,0.09004366397857666,0.09848374703322631,7,7,0.5714285714285714,,,0.013,0.4144777777777778,0.987,1.0
